HIX,BIX,month
6.03,0.69,April
4.76,0.7,April
5.33,0.7,April
5.87,0.62,April
5.53,0.69,April
5.62,0.7,April
7.17,0.67,April
4.07,0.71,April
5.06,0.72,April
5.11,0.73,April
4.46,0.72,April
3.52,0.82,April
4.73,0.74,April
5.3,0.75,April
2.85,1.07,April
2.48,0.82,April
5.18,0.76,April
5.46,0.79,April
5.36,0.75,April
4.71,0.78,April
4.4,0.87,April
2.78,1.36,April
3.76,0.85,April
4.61,0.77,April
4.34,0.86,April
4.93,0.79,April
5.07,0.75,April
4.81,0.79,April
3.87,0.83,April
6.54,0.82,April
4.04,0.83,April
6.39,0.69,April
3.74,0.95,April
4.11,0.88,April
5.9,0.8,April
4.25,0.85,April
3.07,1.09,April
3.79,0.87,April
6.68,0.72,May
5.75,0.69,May
6.08,0.7,May
6.54,0.67,May
6.1,0.69,May
7.11,0.68,May
7.24,0.69,May
6.69,0.7,May
6.63,0.7,May
7.34,0.74,May
6.77,0.74,May
5.76,0.7,May
6.48,0.74,May
5.85,0.73,May
6.41,0.72,May
4.5,0.72,May
6.18,0.72,May
5.4,0.74,May
6.51,0.74,May
5.36,0.76,May
5.06,0.81,May
2.95,1.23,May
5.74,0.8,May
6.11,0.73,May
5.83,0.82,May
6.22,0.79,May
5.69,0.81,May
6.52,0.77,May
4.97,0.85,May
5.97,0.76,May
4.54,0.82,May
6.21,0.73,May
6.03,0.78,May
4.4,0.81,May
6.71,0.74,May
5.67,0.78,May
2.64,1.12,May
3.24,1.05,June
8.15,0.69,June
6.26,0.68,June
7.11,0.72,June
6.68,0.67,June
6.22,0.66,June
8.39,0.66,June
6.93,0.69,June
7.29,0.71,June
6.03,0.74,June
8.51,0.72,June
7.76,0.76,June
5.75,0.76,June
6.68,0.73,June
10.03,0.69,June
8.32,0.72,June
8.32,0.73,June
8.61,0.75,June
5.73,0.76,June
7.16,0.73,June
6.76,0.73,June
5.52,0.81,June
2.98,1.25,June
6.64,0.79,June
7.83,0.78,June
6.95,0.79,June
8.4,0.75,June
7.68,0.77,June
7.23,0.71,June
6.01,0.81,June
6.11,0.78,June
6.11,0.8,June
6.8,0.75,June
6.59,0.76,June
6.14,0.84,June
5.78,0.78,June
6.27,0.77,June
2.43,1.22,June
2.54,1.41,June
10.99,0.7,June
6.97,0.65,June
6.82,0.7,June
6.91,0.68,June
6.93,0.67,June
5.26,0.82,June
7.94,0.65,June
8.41,0.67,June
7.69,0.73,June
6.62,0.76,June
9.47,0.71,June
7.9,0.76,June
7.21,0.74,June
7.71,0.73,June
10.36,0.67,June
8.86,0.72,June
8.93,0.7,June
8.92,0.71,June
5.37,0.76,June
8.29,0.74,June
7.99,0.72,June
6.49,0.78,June
3.87,1.12,June
7.09,0.76,June
8.59,0.81,June
5.54,0.88,June
7.88,0.72,June
7.8,0.74,June
7.53,0.75,June
7.47,0.75,June
7.26,0.76,June
7.57,0.74,June
7.62,0.74,June
7.54,0.72,June
7.74,0.74,June
8.33,0.72,June
7.31,0.77,June
3.07,1.11,June
2.81,1.28,June
7.8,0.68,July
6.59,0.67,July
6.97,0.66,July
6.65,0.65,July
4.87,0.8,July
7.13,0.69,July
7.5,0.68,July
6.92,0.68,July
6.06,0.67,July
7.88,0.62,July
6.81,0.69,July
5.62,0.74,July
7.45,0.71,July
10.61,0.67,July
7.48,0.7,July
8.88,0.67,July
8.18,0.7,July
5.96,0.73,July
8.08,0.7,July
6.68,0.73,July
7.06,0.79,July
4.83,0.94,July
7.21,0.75,July
9.07,0.77,July
7.04,0.76,July
6.74,0.72,July
6.4,0.74,July
6.5,0.75,July
6.78,0.73,July
5.8,0.78,July
7.38,0.74,July
7.8,0.72,July
5.56,0.74,July
7.41,0.75,July
7.21,0.78,July
7.23,0.74,July
3.61,1.02,July
3,1.32,July
5.61,0.68,July
6.74,0.67,July
4.83,0.65,July
8.9,0.62,July
7.66,0.64,July
7.08,0.66,July
6.65,0.66,July
5.07,0.69,July
5.32,0.71,July
5.25,0.67,July
6.58,0.67,July
5.35,0.75,July
5.42,0.72,July
6.76,0.69,July
4.89,0.7,July
7.71,0.7,July
6.13,0.72,July
5.16,0.71,July
4.71,0.71,July
7.36,0.76,July
5.38,0.7,July
5.28,0.75,July
7.18,0.72,July
4.92,0.75,July
6.3,0.72,July
5.17,0.72,July
5.24,0.7,July
6.09,0.77,July
5.72,0.69,July
6.95,0.75,July
5.74,0.71,July
6.74,0.75,July
6.23,0.8,July
6.71,0.7,July
6.66,0.7,July
3.11,1.03,July
