HIX,BIX,stream
6.03,0.69,Main
4.76,0.7,Tributary
5.33,0.7,Main
5.87,0.62,Tributary
5.53,0.69,Main
5.62,0.7,Tributary
7.17,0.67,Main
4.07,0.71,Tributary
5.06,0.72,Main
5.11,0.73,Tributary
4.46,0.72,Main
3.52,0.82,Tributary
4.73,0.74,Main
5.3,0.75,Tributary
2.85,1.07,Main
2.48,0.82,Tributary
5.18,0.76,Main
5.46,0.79,Tributary
5.36,0.75,Main
4.71,0.78,Tributary
4.4,0.87,Main
2.78,1.36,Tributary
3.76,0.85,Main
4.61,0.77,Tributary
4.34,0.86,Main
4.93,0.79,Tributary
5.07,0.75,Main
4.81,0.79,Tributary
3.87,0.83,Main
6.54,0.82,Tributary
4.04,0.83,Main
6.39,0.69,Tributary
3.74,0.95,Tributary
4.11,0.88,Main
5.9,0.8,Tributary
4.25,0.85,Main
3.07,1.09,Tributary
3.79,0.87,Main
6.68,0.72,Main
5.75,0.69,Tributary
6.08,0.7,Main
6.54,0.67,Tributary
6.1,0.69,Main
7.11,0.68,Tributary
7.24,0.69,Main
6.69,0.7,Tributary
6.63,0.7,Main
7.34,0.74,Tributary
6.77,0.74,Main
5.76,0.7,Tributary
6.48,0.74,Main
5.85,0.73,Tributary
6.41,0.72,Main
4.5,0.72,Tributary
6.18,0.72,Main
5.4,0.74,Tributary
6.51,0.74,Main
5.36,0.76,Tributary
5.06,0.81,Main
2.95,1.23,Tributary
5.74,0.8,Main
6.11,0.73,Tributary
5.83,0.82,Main
6.22,0.79,Tributary
5.69,0.81,Main
6.52,0.77,Tributary
4.97,0.85,Main
5.97,0.76,Tributary
4.54,0.82,Main
6.21,0.73,Tributary
6.03,0.78,Tributary
4.4,0.81,Main
6.71,0.74,Tributary
5.67,0.78,Main
2.64,1.12,Tributary
3.24,1.05,Tributary
8.15,0.69,Main
6.26,0.68,Tributary
7.11,0.72,Main
6.68,0.67,Tributary
6.22,0.66,Main
8.39,0.66,Tributary
6.93,0.69,Main
7.29,0.71,Tributary
6.03,0.74,Main
8.51,0.72,Tributary
7.76,0.76,Main
5.75,0.76,Tributary
6.68,0.73,Main
10.03,0.69,Tributary
8.32,0.72,Main
8.32,0.73,Tributary
8.61,0.75,Main
5.73,0.76,Tributary
7.16,0.73,Main
6.76,0.73,Tributary
5.52,0.81,Main
2.98,1.25,Tributary
6.64,0.79,Main
7.83,0.78,Tributary
6.95,0.79,Main
8.4,0.75,Tributary
7.68,0.77,Main
7.23,0.71,Tributary
6.01,0.81,Main
6.11,0.78,Tributary
6.11,0.8,Main
6.8,0.75,Tributary
6.59,0.76,Tributary
6.14,0.84,Main
5.78,0.78,Tributary
6.27,0.77,Main
2.43,1.22,Tributary
2.54,1.41,Tributary
10.99,0.7,Tributary
6.97,0.65,Main
6.82,0.7,Tributary
6.91,0.68,Main
6.93,0.67,Tributary
5.26,0.82,Main
7.94,0.65,Tributary
8.41,0.67,Main
7.69,0.73,Tributary
6.62,0.76,Main
9.47,0.71,Tributary
7.9,0.76,Main
7.21,0.74,Tributary
7.71,0.73,Main
10.36,0.67,Tributary
8.86,0.72,Main
8.93,0.7,Tributary
8.92,0.71,Main
5.37,0.76,Tributary
8.29,0.74,Main
7.99,0.72,Tributary
6.49,0.78,Main
3.87,1.12,Tributary
7.09,0.76,Main
8.59,0.81,Tributary
5.54,0.88,Main
7.88,0.72,Tributary
7.8,0.74,Main
7.53,0.75,Tributary
7.47,0.75,Main
7.26,0.76,Tributary
7.57,0.74,Main
7.62,0.74,Tributary
7.54,0.72,Tributary
7.74,0.74,Main
8.33,0.72,Tributary
7.31,0.77,Main
3.07,1.11,Tributary
2.81,1.28,Main
7.8,0.68,Main
6.59,0.67,Tributary
6.97,0.66,Main
6.65,0.65,Tributary
4.87,0.8,Main
7.13,0.69,Tributary
7.5,0.68,Main
6.92,0.68,Tributary
6.06,0.67,Main
7.88,0.62,Tributary
6.81,0.69,Main
5.62,0.74,Tributary
7.45,0.71,Main
10.61,0.67,Tributary
7.48,0.7,Main
8.88,0.67,Tributary
8.18,0.7,Main
5.96,0.73,Tributary
8.08,0.7,Main
6.68,0.73,Tributary
7.06,0.79,Main
4.83,0.94,Tributary
7.21,0.75,Main
9.07,0.77,Tributary
7.04,0.76,Main
6.74,0.72,Tributary
6.4,0.74,Main
6.5,0.75,Tributary
6.78,0.73,Main
5.8,0.78,Tributary
7.38,0.74,Main
7.8,0.72,Tributary
5.56,0.74,Tributary
7.41,0.75,Main
7.21,0.78,Tributary
7.23,0.74,Main
3.61,1.02,Tributary
3,1.32,Main
5.61,0.68,Main
6.74,0.67,Tributary
4.83,0.65,Main
8.9,0.62,Tributary
7.66,0.64,Main
7.08,0.66,Tributary
6.65,0.66,Main
5.07,0.69,Tributary
5.32,0.71,Main
5.25,0.67,Tributary
6.58,0.67,Main
5.35,0.75,Tributary
5.42,0.72,Main
6.76,0.69,Tributary
4.89,0.7,Main
7.71,0.7,Tributary
6.13,0.72,Main
5.16,0.71,Tributary
4.71,0.71,Main
7.36,0.76,Tributary
5.38,0.7,Main
5.28,0.75,Tributary
7.18,0.72,Main
4.92,0.75,Tributary
6.3,0.72,Main
5.17,0.72,Tributary
5.24,0.7,Main
6.09,0.77,Tributary
5.72,0.69,Main
6.95,0.75,Tributary
5.74,0.71,Main
6.74,0.75,Tributary
6.23,0.8,Tributary
6.71,0.7,Main
6.66,0.7,Main
3.11,1.03,Tributary
