HIX,FI,month
6.03,1.3,April
4.76,1.27,April
5.33,1.24,April
5.87,1.26,April
5.53,1.33,April
5.62,1.33,April
7.17,1.29,April
4.07,1.3,April
5.06,1.35,April
5.11,1.32,April
4.46,1.37,April
3.52,1.37,April
4.73,1.36,April
5.3,1.31,April
2.85,1.37,April
2.48,1.35,April
5.18,1.38,April
5.46,1.36,April
5.36,1.33,April
4.71,1.35,April
4.4,1.34,April
2.78,1.45,April
3.76,1.41,April
4.61,1.34,April
4.34,1.37,April
4.93,1.31,April
5.07,1.28,April
4.81,1.36,April
3.87,1.34,April
6.54,1.43,April
4.04,1.37,April
6.39,1.24,April
3.74,1.41,April
4.11,1.4,April
5.9,1.4,April
4.25,1.4,April
3.07,1.57,April
3.79,1.35,April
6.68,1.31,May
5.75,1.29,May
6.08,1.24,May
6.54,1.27,May
6.1,1.31,May
7.11,1.3,May
7.24,1.3,May
6.69,1.32,May
6.63,1.29,May
7.34,1.36,May
6.77,1.32,May
5.76,1.28,May
6.48,1.32,May
5.85,1.32,May
6.41,1.32,May
4.5,1.35,May
6.18,1.36,May
5.4,1.41,May
6.51,1.36,May
5.36,1.33,May
5.06,1.35,May
2.95,1.5,May
5.74,1.38,May
6.11,1.33,May
5.83,1.36,May
6.22,1.38,May
5.69,1.32,May
6.52,1.35,May
4.97,1.37,May
5.97,1.44,May
4.54,1.33,May
6.21,1.33,May
6.03,1.36,May
4.4,1.33,May
6.71,1.35,May
5.67,1.35,May
2.64,1.5,May
3.24,1.66,June
8.15,1.25,June
6.26,1.28,June
7.11,1.28,June
6.68,1.3,June
6.22,1.3,June
8.39,1.27,June
6.93,1.29,June
7.29,1.38,June
6.03,1.34,June
8.51,1.39,June
7.76,1.32,June
5.75,1.35,June
6.68,1.3,June
10.03,1.31,June
8.32,1.35,June
8.32,1.33,June
8.61,1.31,June
5.73,1.35,June
7.16,1.34,June
6.76,1.32,June
5.52,1.38,June
2.98,1.53,June
6.64,1.35,June
7.83,1.33,June
6.95,1.34,June
8.4,1.38,June
7.68,1.33,June
7.23,1.32,June
6.01,1.32,June
6.11,1.38,June
6.11,1.36,June
6.8,1.33,June
6.59,1.36,June
6.14,1.32,June
5.78,1.35,June
6.27,1.37,June
2.43,1.51,June
2.54,1.61,June
10.99,1.35,June
6.97,1.26,June
6.82,1.31,June
6.91,1.3,June
6.93,1.27,June
5.26,1.3,June
7.94,1.27,June
8.41,1.27,June
7.69,1.36,June
6.62,1.29,June
9.47,1.35,June
7.9,1.3,June
7.21,1.38,June
7.71,1.28,June
10.36,1.34,June
8.86,1.3,June
8.93,1.35,June
8.92,1.33,June
5.37,1.32,June
8.29,1.29,June
7.99,1.33,June
6.49,1.32,June
3.87,1.47,June
7.09,1.3,June
8.59,1.37,June
5.54,1.35,June
7.88,1.37,June
7.8,1.32,June
7.53,1.33,June
7.47,1.29,June
7.26,1.4,June
7.57,1.31,June
7.62,1.3,June
7.54,1.31,June
7.74,1.3,June
8.33,1.32,June
7.31,1.32,June
3.07,1.57,June
2.81,1.58,June
7.8,1.27,July
6.59,1.23,July
6.97,1.32,July
6.65,1.26,July
4.87,1.27,July
7.13,1.28,July
7.5,1.31,July
6.92,1.38,July
6.06,1.29,July
7.88,1.27,July
6.81,1.29,July
5.62,1.34,July
7.45,1.36,July
10.61,1.35,July
7.48,1.32,July
8.88,1.34,July
8.18,1.32,July
5.96,1.4,July
8.08,1.33,July
6.68,1.32,July
7.06,1.35,July
4.83,1.39,July
7.21,1.38,July
9.07,1.37,July
7.04,1.35,July
6.74,1.34,July
6.4,1.32,July
6.5,1.31,July
6.78,1.34,July
5.8,1.4,July
7.38,1.3,July
7.8,1.33,July
5.56,1.34,July
7.41,1.32,July
7.21,1.37,July
7.23,1.37,July
3.61,1.55,July
3,1.53,July
5.61,1.31,July
6.74,1.23,July
4.83,1.25,July
8.9,1.23,July
7.66,1.28,July
7.08,1.28,July
6.65,1.3,July
5.07,1.3,July
5.32,1.23,July
5.25,1.2,July
6.58,1.31,July
5.35,1.34,July
5.42,1.34,July
6.76,1.31,July
4.89,1.31,July
7.71,1.31,July
6.13,1.31,July
5.16,1.24,July
4.71,1.25,July
7.36,1.33,July
5.38,1.33,July
5.28,1.37,July
7.18,1.29,July
4.92,1.29,July
6.3,1.31,July
5.17,1.31,July
5.24,1.29,July
6.09,1.36,July
5.72,1.29,July
6.95,1.34,July
5.74,1.29,July
6.74,1.31,July
6.23,1.35,July
6.71,1.31,July
6.66,1.3,July
3.11,1.52,July
