Source,HIX,FI
leaves,5.01,0.54
leaves,0.53,0.33
leaves,0.77,0.5
plants,18.25,1.25
plants,15.89,1.3
plants,15.67,1.21
plants,12.96,1.31
algae,7.54,1.46
algae,10.9,1.37
algae,5.47,1.54
algae,11.12,1.39
algae,46.28,1
algae,3.42,1.37
algae,19.15,1.39
algae,6.89,1.34
compost,13.84,0.9
compost,2.83,0.63
compost,0.87,1.01
compost,13.03,1.16
soil,13.36,1.11
soil,4.26,1.37
soil,19.8,1.22
soil,17.71,1.3
soil,11.7,1.2
soil,10.66,1.27
soil,4.08,1.32
soil,6.37,1.27
soil,175.63,0.85
soil,6.59,1.25
soil,4.53,1.42
soil,4.32,1.35
soil,10.64,1.33
soil,4.77,1.2
soil,3.02,1.44
soil,17.55,1.07
soil,5.51,1.31
soil,22.72,1.03
soil,8.37,1.13
soil,14.32,1.24
effluent,4.61,1.34
effluent,10.99,1.35
effluent,4.53,1.33
effluent,5.07,1.28
effluent,5.17,1.3
effluent,23.44,1.31
sewage,3.07,1.57
sewage,2.29,1.5
sewage,2.64,1.5
sewage,2.43,1.51
sewage,3.07,1.57
sewage,3.61,1.55
sewage,3.11,1.52
sewage,2.54,1.61
sewage,1.89,1.69
sewage,2.81,1.58
sewage,3,1.53
groundwater,3.24,1.66
groundwater,3.4,1.7
groundwater,5.26,1.79
