BIX,FI,monsoon
0.69,1.3,pre_monsoon
0.7,1.27,pre_monsoon
0.7,1.24,pre_monsoon
0.62,1.26,pre_monsoon
0.69,1.33,pre_monsoon
0.7,1.33,pre_monsoon
0.67,1.29,pre_monsoon
0.71,1.3,pre_monsoon
0.72,1.35,pre_monsoon
0.73,1.32,pre_monsoon
0.72,1.37,pre_monsoon
0.82,1.37,pre_monsoon
0.74,1.36,pre_monsoon
0.75,1.31,pre_monsoon
1.07,1.37,pre_monsoon
0.82,1.35,pre_monsoon
0.76,1.38,pre_monsoon
0.79,1.36,pre_monsoon
0.75,1.33,pre_monsoon
0.78,1.35,pre_monsoon
0.87,1.34,pre_monsoon
1.36,1.45,pre_monsoon
0.85,1.41,pre_monsoon
0.77,1.34,pre_monsoon
0.86,1.37,pre_monsoon
0.79,1.31,pre_monsoon
0.75,1.28,pre_monsoon
0.79,1.36,pre_monsoon
0.83,1.34,pre_monsoon
0.82,1.43,pre_monsoon
0.83,1.37,pre_monsoon
0.69,1.24,pre_monsoon
0.95,1.41,pre_monsoon
0.88,1.4,pre_monsoon
0.8,1.4,pre_monsoon
0.85,1.4,pre_monsoon
0.72,1.31,pre_monsoon
0.69,1.29,pre_monsoon
0.7,1.24,pre_monsoon
0.67,1.27,pre_monsoon
0.69,1.31,pre_monsoon
0.68,1.3,pre_monsoon
0.69,1.3,pre_monsoon
0.7,1.32,pre_monsoon
0.7,1.29,pre_monsoon
0.74,1.36,pre_monsoon
0.74,1.32,pre_monsoon
0.7,1.28,pre_monsoon
0.74,1.32,pre_monsoon
0.73,1.32,pre_monsoon
0.72,1.32,pre_monsoon
0.72,1.35,pre_monsoon
0.72,1.36,pre_monsoon
0.74,1.41,pre_monsoon
0.74,1.36,pre_monsoon
0.76,1.33,pre_monsoon
0.81,1.35,pre_monsoon
1.23,1.5,pre_monsoon
0.8,1.38,pre_monsoon
0.73,1.33,pre_monsoon
0.82,1.36,pre_monsoon
0.79,1.38,pre_monsoon
0.81,1.32,pre_monsoon
0.77,1.35,pre_monsoon
0.85,1.37,pre_monsoon
0.76,1.44,pre_monsoon
0.82,1.33,pre_monsoon
0.73,1.33,pre_monsoon
0.78,1.36,pre_monsoon
0.81,1.33,pre_monsoon
0.74,1.35,pre_monsoon
0.78,1.35,pre_monsoon
0.69,1.25,pre_monsoon
0.68,1.28,pre_monsoon
0.72,1.28,pre_monsoon
0.67,1.3,pre_monsoon
0.66,1.3,pre_monsoon
0.66,1.27,pre_monsoon
0.69,1.29,pre_monsoon
0.71,1.38,pre_monsoon
0.74,1.34,pre_monsoon
0.72,1.39,pre_monsoon
0.76,1.32,pre_monsoon
0.76,1.35,pre_monsoon
0.73,1.3,pre_monsoon
0.69,1.31,pre_monsoon
0.72,1.35,pre_monsoon
0.73,1.33,pre_monsoon
0.75,1.31,pre_monsoon
0.76,1.35,pre_monsoon
0.73,1.34,pre_monsoon
0.73,1.32,pre_monsoon
0.81,1.38,pre_monsoon
1.25,1.53,pre_monsoon
0.79,1.35,pre_monsoon
0.78,1.33,pre_monsoon
0.79,1.34,pre_monsoon
0.75,1.38,pre_monsoon
0.77,1.33,pre_monsoon
0.71,1.32,pre_monsoon
0.81,1.32,pre_monsoon
0.78,1.38,pre_monsoon
0.8,1.36,pre_monsoon
0.75,1.33,pre_monsoon
0.76,1.36,pre_monsoon
0.84,1.32,pre_monsoon
0.78,1.35,pre_monsoon
0.77,1.37,pre_monsoon
0.65,1.26,pre_monsoon
0.7,1.31,pre_monsoon
0.68,1.3,pre_monsoon
0.67,1.27,pre_monsoon
0.82,1.3,pre_monsoon
0.65,1.27,pre_monsoon
0.67,1.27,pre_monsoon
0.73,1.36,pre_monsoon
0.76,1.29,pre_monsoon
0.71,1.35,pre_monsoon
0.76,1.3,pre_monsoon
0.74,1.38,pre_monsoon
0.73,1.28,pre_monsoon
0.67,1.34,pre_monsoon
0.72,1.3,pre_monsoon
0.7,1.35,pre_monsoon
0.71,1.33,pre_monsoon
0.76,1.32,pre_monsoon
0.74,1.29,pre_monsoon
0.72,1.33,pre_monsoon
0.78,1.32,pre_monsoon
1.12,1.47,pre_monsoon
0.76,1.3,pre_monsoon
0.81,1.37,pre_monsoon
0.88,1.35,pre_monsoon
0.72,1.37,pre_monsoon
0.74,1.32,pre_monsoon
0.75,1.33,pre_monsoon
0.75,1.29,pre_monsoon
0.76,1.4,pre_monsoon
0.74,1.31,pre_monsoon
0.74,1.3,pre_monsoon
0.72,1.31,pre_monsoon
0.74,1.3,pre_monsoon
0.72,1.32,pre_monsoon
0.77,1.32,pre_monsoon
0.68,1.27,monsoon
0.67,1.23,monsoon
0.66,1.32,monsoon
0.65,1.26,monsoon
0.8,1.27,monsoon
0.69,1.28,monsoon
0.68,1.31,monsoon
0.68,1.38,monsoon
0.67,1.29,monsoon
0.62,1.27,monsoon
0.69,1.29,monsoon
0.74,1.34,monsoon
0.71,1.36,monsoon
0.67,1.35,monsoon
0.7,1.32,monsoon
0.67,1.34,monsoon
0.7,1.32,monsoon
0.73,1.4,monsoon
0.7,1.33,monsoon
0.73,1.32,monsoon
0.79,1.35,monsoon
0.94,1.39,monsoon
0.75,1.38,monsoon
0.77,1.37,monsoon
0.76,1.35,monsoon
0.72,1.34,monsoon
0.74,1.32,monsoon
0.75,1.31,monsoon
0.73,1.34,monsoon
0.78,1.4,monsoon
0.74,1.3,monsoon
0.72,1.33,monsoon
0.74,1.34,monsoon
0.75,1.32,monsoon
0.78,1.37,monsoon
0.74,1.37,monsoon
0.68,1.31,monsoon
0.67,1.23,monsoon
0.65,1.25,monsoon
0.62,1.23,monsoon
0.64,1.28,monsoon
0.66,1.28,monsoon
0.66,1.3,monsoon
0.69,1.3,monsoon
0.71,1.23,monsoon
0.67,1.2,monsoon
0.67,1.31,monsoon
0.75,1.34,monsoon
0.72,1.34,monsoon
0.69,1.31,monsoon
0.7,1.31,monsoon
0.7,1.31,monsoon
0.72,1.31,monsoon
0.71,1.24,monsoon
0.71,1.25,monsoon
0.76,1.33,monsoon
0.7,1.33,monsoon
0.75,1.37,monsoon
0.72,1.29,monsoon
0.75,1.29,monsoon
0.72,1.31,monsoon
0.72,1.31,monsoon
0.7,1.29,monsoon
0.77,1.36,monsoon
0.69,1.29,monsoon
0.75,1.34,monsoon
0.71,1.29,monsoon
0.75,1.31,monsoon
0.8,1.35,monsoon
0.7,1.31,monsoon
0.7,1.3,monsoon
