BIX,FI,stream
0.69,1.3,upper
0.7,1.27,upper
0.7,1.24,upper
0.62,1.26,upper
0.69,1.33,upper
0.7,1.33,upper
0.67,1.29,upper
0.71,1.3,upper
0.72,1.35,upper
0.73,1.32,upper
0.72,1.37,upper
0.82,1.37,upper
0.74,1.36,middle
0.75,1.31,middle
1.07,1.37,middle
0.82,1.35,middle
0.76,1.38,middle
0.79,1.36,middle
0.75,1.33,middle
0.78,1.35,middle
0.87,1.34,middle
1.36,1.45,middle
0.85,1.41,middle
0.77,1.34,middle
0.86,1.37,lower
0.79,1.31,lower
0.75,1.28,lower
0.79,1.36,lower
0.83,1.34,lower
0.82,1.43,lower
0.83,1.37,lower
0.69,1.24,lower
0.95,1.41,lower
0.88,1.4,lower
0.8,1.4,lower
0.85,1.4,lower
0.72,1.31,upper
0.69,1.29,upper
0.7,1.24,upper
0.67,1.27,upper
0.69,1.31,upper
0.68,1.3,upper
0.69,1.3,upper
0.7,1.32,upper
0.7,1.29,upper
0.74,1.36,upper
0.74,1.32,upper
0.7,1.28,upper
0.74,1.32,middle
0.73,1.32,middle
0.72,1.32,middle
0.72,1.35,middle
0.72,1.36,middle
0.74,1.41,middle
0.74,1.36,middle
0.76,1.33,middle
0.81,1.35,middle
1.23,1.5,middle
0.8,1.38,middle
0.73,1.33,middle
0.82,1.36,lower
0.79,1.38,lower
0.81,1.32,lower
0.77,1.35,lower
0.85,1.37,lower
0.76,1.44,lower
0.82,1.33,lower
0.73,1.33,lower
0.78,1.36,lower
0.81,1.33,lower
0.74,1.35,lower
0.78,1.35,lower
0.69,1.25,upper
0.68,1.28,upper
0.72,1.28,upper
0.67,1.3,upper
0.66,1.3,upper
0.66,1.27,upper
0.69,1.29,upper
0.71,1.38,upper
0.74,1.34,upper
0.72,1.39,upper
0.76,1.32,upper
0.76,1.35,upper
0.73,1.3,middle
0.69,1.31,middle
0.72,1.35,middle
0.73,1.33,middle
0.75,1.31,middle
0.76,1.35,middle
0.73,1.34,middle
0.73,1.32,middle
0.81,1.38,middle
1.25,1.53,middle
0.79,1.35,middle
0.78,1.33,middle
0.79,1.34,lower
0.75,1.38,lower
0.77,1.33,lower
0.71,1.32,lower
0.81,1.32,lower
0.78,1.38,lower
0.8,1.36,lower
0.75,1.33,lower
0.76,1.36,lower
0.84,1.32,lower
0.78,1.35,lower
0.77,1.37,lower
0.65,1.26,upper
0.7,1.31,upper
0.68,1.3,upper
0.67,1.27,upper
0.82,1.3,upper
0.65,1.27,upper
0.67,1.27,upper
0.73,1.36,upper
0.76,1.29,upper
0.71,1.35,upper
0.76,1.3,upper
0.74,1.38,upper
0.73,1.28,middle
0.67,1.34,middle
0.72,1.3,middle
0.7,1.35,middle
0.71,1.33,middle
0.76,1.32,middle
0.74,1.29,middle
0.72,1.33,middle
0.78,1.32,middle
1.12,1.47,middle
0.76,1.3,middle
0.81,1.37,middle
0.88,1.35,lower
0.72,1.37,lower
0.74,1.32,lower
0.75,1.33,lower
0.75,1.29,lower
0.76,1.4,lower
0.74,1.31,lower
0.74,1.3,lower
0.72,1.31,lower
0.74,1.3,lower
0.72,1.32,lower
0.77,1.32,lower
0.68,1.27,upper
0.67,1.23,upper
0.66,1.32,upper
0.65,1.26,upper
0.8,1.27,upper
0.69,1.28,upper
0.68,1.31,upper
0.68,1.38,upper
0.67,1.29,upper
0.62,1.27,upper
0.69,1.29,upper
0.74,1.34,upper
0.71,1.36,middle
0.67,1.35,middle
0.7,1.32,middle
0.67,1.34,middle
0.7,1.32,middle
0.73,1.4,middle
0.7,1.33,middle
0.73,1.32,middle
0.79,1.35,middle
0.94,1.39,middle
0.75,1.38,middle
0.77,1.37,middle
0.76,1.35,lower
0.72,1.34,lower
0.74,1.32,lower
0.75,1.31,lower
0.73,1.34,lower
0.78,1.4,lower
0.74,1.3,lower
0.72,1.33,lower
0.74,1.34,lower
0.75,1.32,lower
0.78,1.37,lower
0.74,1.37,lower
0.68,1.31,upper
0.67,1.23,upper
0.65,1.25,upper
0.62,1.23,upper
0.64,1.28,upper
0.66,1.28,upper
0.66,1.3,upper
0.69,1.3,upper
0.71,1.23,upper
0.67,1.2,upper
0.67,1.31,upper
0.75,1.34,upper
0.72,1.34,middle
0.69,1.31,middle
0.7,1.31,middle
0.7,1.31,middle
0.72,1.31,middle
0.71,1.24,middle
0.71,1.25,middle
0.76,1.33,middle
0.7,1.33,middle
0.75,1.37,middle
0.72,1.29,middle
0.75,1.29,middle
0.72,1.31,lower
0.72,1.31,lower
0.7,1.29,lower
0.77,1.36,lower
0.69,1.29,lower
0.75,1.34,lower
0.71,1.29,lower
0.75,1.31,lower
0.8,1.35,lower
0.7,1.31,lower
0.7,1.3,lower
