d15N,d18O,month
3.87,1.59,April
4.2,3.13,April
4.48,2.11,April
2.32,2.49,April
4.56,2.34,April
5.29,1.96,April
5.16,1.99,April
12.37,1.23,April
8.4,4.9,April
6.75,1.97,April
8.77,6.38,April
6.9,1.1,April
9.17,3.61,April
6.52,2.88,April
8.77,3.77,April
8.74,2.49,April
8.71,4.45,April
5.41,2.25,April
8.2,3.53,April
8.59,3.51,April
8.75,4.05,April
7.48,1.74,April
6.54,12.27,April
7.52,3.73,April
7.69,4.36,April
8.29,2.86,April
6.91,5.44,April
8.3,3.67,April
7.02,4.09,April
9.19,2.41,April
7.59,5.01,April
9.95,3.7,April
10.21,2.8,April
7.58,4.32,April
12.01,5.67,April
8.58,4.87,April
3.78,2.01,April
4.27,2.37,April
4.5,2.29,April
2.41,2.35,April
4.56,2.99,April
5.95,2.46,April
5.22,3.37,April
9.08,4.62,April
9.08,4.05,April
7.47,1.41,April
12.43,3.41,April
6.71,1.62,April
10.07,4.31,April
6.86,2.61,April
9.47,5.39,April
11.14,1.94,April
10.29,4.78,April
5.64,1.22,April
10.58,3.54,April
8.69,2.75,April
9.78,3.68,April
13.1,1.02,April
9.05,7.36,April
8.14,7.11,April
9.05,5.2,April
8.6,4.27,April
8.96,8.98,April
10.22,3.58,April
10.5,7.16,April
14.01,3.85,April
10.41,4.92,April
9.1,6.2,April
11.43,0.84,April
10.5,5.06,April
12.62,5.42,April
10.89,4.53,April
3.3,2.48,May
3.52,3.04,May
3.61,2.16,May
1.81,2.22,May
3.85,2.26,May
4.38,2.24,May
3.64,1.17,May
8.39,1.86,May
5.99,1.63,May
6.11,1.21,May
8.26,1.58,May
6.84,2.23,May
6.5,1.95,May
5.18,2.31,May
6,1.41,May
7.27,1.99,May
6.14,1.89,May
5.11,2.8,May
5.9,1.97,May
6.79,2.69,May
6.79,2.49,May
5.7,-0.68,May
6.38,2.35,May
6.94,3.07,May
6.37,2.46,May
7.54,2.41,May
6.09,2.36,May
6.6,2.39,May
5.52,2.68,May
7.38,1.66,May
6.05,2.9,May
7.74,3.22,May
8.07,2.42,May
6.09,2.94,May
7.3,3.37,May
6.22,2.95,May
11.48,-0.39,May
6.27,2.06,May
7.17,1.43,May
-1.51,-4.58,May
5.73,1.85,May
5.15,1.12,May
5.49,0.44,May
9.11,7.68,May
8.7,4.07,May
10.93,1.68,May
8.42,4.56,May
5.75,1.47,May
8.01,4,May
8.84,2.7,May
8.58,6.7,May
7.21,4.17,May
9.04,6.43,May
8.87,1.45,May
10.48,6.58,May
8.19,3.22,May
9.77,3.74,May
20.17,-2.1,May
8.17,6.16,May
7.7,4.89,May
8.69,5.16,May
8.49,2.58,May
9.24,6.7,May
9.46,3.75,May
10.51,9.89,May
15.24,5.65,May
12.19,9.81,May
10.33,3.47,May
10.06,1.24,May
12.27,6.77,May
7.56,1.72,May
11.08,3.28,May
3.98,-0.49,June
7.05,2.16,June
7.81,2.87,June
7.62,0.31,June
7.23,4.27,June
5.52,-1.41,June
7.76,2.1,June
9.16,13.54,June
9.05,7.58,June
11.99,4.31,June
5.98,9.96,June
5.91,4.4,June
7.97,6.34,June
8.32,3.18,June
8.88,7.56,June
6.38,1.42,June
9.25,5.33,June
8.56,2.98,June
10.05,6.47,June
5.16,10.28,June
9.02,2.76,June
19.38,3.14,June
8.26,5.61,June
7.89,0.1,June
8.49,5.03,June
8.32,2.76,June
7.37,8.71,June
4.73,1.03,June
11.11,8.88,June
9.15,5.78,June
11.59,8.86,June
12.06,4.85,June
9.63,2.5,June
11.8,8.14,June
8.84,3.22,June
10.72,4.22,June
6.12,1.97,June
6.55,1.17,June
7.43,2.73,June
6.53,0.43,June
7.01,3.91,June
6.21,-0.51,June
7.7,2.04,June
10.48,12.49,June
8.81,4.87,June
10.86,1.1,June
7.56,5.75,June
8.78,2.46,June
9.63,3.12,June
5.39,-2.71,June
9.68,3.41,June
4.48,-3.74,June
9.07,1.86,June
8.57,2.31,June
8.5,4.31,June
7.82,2.5,June
8.67,2.59,June
17.45,3.43,June
8.4,4.21,June
6.67,-0.71,June
8.73,3.22,June
8.03,2.42,June
8.59,5.72,June
9.61,3.81,June
7.91,4.46,June
12.22,6.25,June
8.25,3.45,June
8.81,2.65,June
7.21,-0.72,June
7.76,2.06,June
10.16,1.11,June
9.77,3.2,June
6.11,2.89,July
3.81,2.95,July
4.62,2.84,July
6.03,1.99,July
4.99,2.78,July
6.02,1.75,July
5.99,2.52,July
11.9,5.72,July
8.87,4.33,July
7,0.8,July
9.21,4.83,July
6.29,2.6,July
8.46,3.28,July
9.51,-0.05,July
8.83,2.51,July
8.56,0.56,July
8.73,2.43,July
8.97,0.02,July
8.94,2.55,July
7.36,1.4,July
8.72,1.45,July
10.63,-0.49,July
8.49,0.88,July
8.81,2.57,July
8.29,1.21,July
9.08,1.4,July
8.57,2.86,July
9.38,3.81,July
9.07,2.54,July
13.35,3.66,July
9.42,2.26,July
9.68,2.73,July
5.7,4.75,July
9.36,2.82,July
10.91,6.07,July
9.63,2.47,July
4.04,3.23,July
4.16,3.24,July
4.56,3.31,July
3.74,3.08,July
4.84,3.06,July
5.85,3.45,July
5.44,3.11,July
6.88,4.84,July
6.38,4.01,July
5.6,3.19,July
7.77,4.05,July
5.33,2.58,July
6.31,3.55,July
6.58,3.86,July
6.33,4.24,July
7.76,3.75,July
6.59,4.16,July
5.72,3.28,July
6.53,3.1,July
