d15N,d18O,rain
3.87,1.59,non_rain
4.2,3.13,non_rain
4.48,2.11,non_rain
2.32,2.49,non_rain
4.56,2.34,non_rain
5.29,1.96,non_rain
5.16,1.99,non_rain
12.37,1.23,non_rain
8.4,4.9,non_rain
6.75,1.97,non_rain
8.77,6.38,non_rain
6.9,1.1,non_rain
9.17,3.61,non_rain
6.52,2.88,non_rain
8.77,3.77,non_rain
8.74,2.49,non_rain
8.71,4.45,non_rain
5.41,2.25,non_rain
8.2,3.53,non_rain
8.59,3.51,non_rain
8.75,4.05,non_rain
7.48,1.74,non_rain
6.54,12.27,non_rain
7.52,3.73,non_rain
7.69,4.36,non_rain
8.29,2.86,non_rain
6.91,5.44,non_rain
8.3,3.67,non_rain
7.02,4.09,non_rain
9.19,2.41,non_rain
7.59,5.01,non_rain
9.95,3.7,non_rain
10.21,2.8,non_rain
7.58,4.32,non_rain
12.01,5.67,non_rain
8.58,4.87,non_rain
3.78,2.01,non_rain
4.27,2.37,non_rain
4.5,2.29,non_rain
2.41,2.35,non_rain
4.56,2.99,non_rain
5.95,2.46,non_rain
5.22,3.37,non_rain
9.08,4.62,non_rain
9.08,4.05,non_rain
7.47,1.41,non_rain
12.43,3.41,non_rain
6.71,1.62,non_rain
10.07,4.31,non_rain
6.86,2.61,non_rain
9.47,5.39,non_rain
11.14,1.94,non_rain
10.29,4.78,non_rain
5.64,1.22,non_rain
10.58,3.54,non_rain
8.69,2.75,non_rain
9.78,3.68,non_rain
13.1,1.02,non_rain
9.05,7.36,non_rain
8.14,7.11,non_rain
9.05,5.2,non_rain
8.6,4.27,non_rain
8.96,8.98,non_rain
10.22,3.58,non_rain
10.5,7.16,non_rain
14.01,3.85,non_rain
10.41,4.92,non_rain
9.1,6.2,non_rain
11.43,0.84,non_rain
10.5,5.06,non_rain
12.62,5.42,non_rain
10.89,4.53,non_rain
3.3,2.48,rain
3.52,3.04,rain
3.61,2.16,rain
1.81,2.22,rain
3.85,2.26,rain
4.38,2.24,rain
3.64,1.17,rain
8.39,1.86,rain
5.99,1.63,rain
6.11,1.21,rain
8.26,1.58,rain
6.84,2.23,rain
6.5,1.95,rain
5.18,2.31,rain
6,1.41,rain
7.27,1.99,rain
6.14,1.89,rain
5.11,2.8,rain
5.9,1.97,rain
6.79,2.69,rain
6.79,2.49,rain
5.7,-0.68,rain
6.38,2.35,rain
6.94,3.07,rain
6.37,2.46,rain
7.54,2.41,rain
6.09,2.36,rain
6.6,2.39,rain
5.52,2.68,rain
7.38,1.66,rain
6.05,2.9,rain
7.74,3.22,rain
8.07,2.42,rain
6.09,2.94,rain
7.3,3.37,rain
6.22,2.95,rain
11.48,-0.39,non_rain
6.27,2.06,non_rain
7.17,1.43,non_rain
-1.51,-4.58,non_rain
5.73,1.85,non_rain
5.15,1.12,non_rain
5.49,0.44,non_rain
9.11,7.68,non_rain
8.7,4.07,non_rain
10.93,1.68,non_rain
8.42,4.56,non_rain
5.75,1.47,non_rain
8.01,4,non_rain
8.84,2.7,non_rain
8.58,6.7,non_rain
7.21,4.17,non_rain
9.04,6.43,non_rain
8.87,1.45,non_rain
10.48,6.58,non_rain
8.19,3.22,non_rain
9.77,3.74,non_rain
20.17,-2.1,non_rain
8.17,6.16,non_rain
7.7,4.89,non_rain
8.69,5.16,non_rain
8.49,2.58,non_rain
9.24,6.7,non_rain
9.46,3.75,non_rain
10.51,9.89,non_rain
15.24,5.65,non_rain
12.19,9.81,non_rain
10.33,3.47,non_rain
10.06,1.24,non_rain
12.27,6.77,non_rain
7.56,1.72,non_rain
11.08,3.28,non_rain
3.98,-0.49,non_rain
7.05,2.16,non_rain
7.81,2.87,non_rain
7.62,0.31,non_rain
7.23,4.27,non_rain
5.52,-1.41,non_rain
7.76,2.1,non_rain
9.16,13.54,non_rain
9.05,7.58,non_rain
11.99,4.31,non_rain
5.98,9.96,non_rain
5.91,4.4,non_rain
7.97,6.34,non_rain
8.32,3.18,non_rain
8.88,7.56,non_rain
6.38,1.42,non_rain
9.25,5.33,non_rain
8.56,2.98,non_rain
10.05,6.47,non_rain
5.16,10.28,non_rain
9.02,2.76,non_rain
19.38,3.14,non_rain
8.26,5.61,non_rain
7.89,0.1,non_rain
8.49,5.03,non_rain
8.32,2.76,non_rain
7.37,8.71,non_rain
4.73,1.03,non_rain
11.11,8.88,non_rain
9.15,5.78,non_rain
11.59,8.86,non_rain
12.06,4.85,non_rain
9.63,2.5,non_rain
11.8,8.14,non_rain
8.84,3.22,non_rain
10.72,4.22,non_rain
6.12,1.97,non_rain
6.55,1.17,non_rain
7.43,2.73,non_rain
6.53,0.43,non_rain
7.01,3.91,non_rain
6.21,-0.51,non_rain
7.7,2.04,non_rain
10.48,12.49,non_rain
8.81,4.87,non_rain
10.86,1.1,non_rain
7.56,5.75,non_rain
8.78,2.46,non_rain
9.63,3.12,non_rain
5.39,-2.71,non_rain
9.68,3.41,non_rain
4.48,-3.74,non_rain
9.07,1.86,non_rain
8.57,2.31,non_rain
8.5,4.31,non_rain
7.82,2.5,non_rain
8.67,2.59,non_rain
17.45,3.43,non_rain
8.4,4.21,non_rain
6.67,-0.71,non_rain
8.73,3.22,non_rain
8.03,2.42,non_rain
8.59,5.72,non_rain
9.61,3.81,non_rain
7.91,4.46,non_rain
12.22,6.25,non_rain
8.25,3.45,non_rain
8.81,2.65,non_rain
7.21,-0.72,non_rain
7.76,2.06,non_rain
10.16,1.11,non_rain
9.77,3.2,non_rain
6.11,2.89,rain
3.81,2.95,rain
4.62,2.84,rain
6.03,1.99,rain
4.99,2.78,rain
6.02,1.75,rain
5.99,2.52,rain
11.9,5.72,rain
8.87,4.33,rain
7,0.8,rain
9.21,4.83,rain
6.29,2.6,rain
8.46,3.28,rain
9.51,-0.05,rain
8.83,2.51,rain
8.56,0.56,rain
8.73,2.43,rain
8.97,0.02,rain
