Source,d15N,d18O
compost,15.97,2.65
compost,19.62,7.36
compost,21.09,4.13
compost,24.48,1.67
compost,17.72,8.82
fertilizer,-17.75,13.45
fertilizer,0.54,20.49
fertilizer,7.14,16.78
soil,8.01,10.42
soil,8.61,1.57
soil,8.19,-0.4
soil,4.79,2.92
soil,7.38,7.32
soil,3.35,6.93
soil,2.53,10.61
soil,0.91,10.36
soil,8.6,7.99
soil,0.98,4.29
soil,8.37,2.18
soil,6.83,3.8
soil,5.11,4.53
sewage,9.77,-1.17
sewage,11.48,0.36
sewage,9.83,-1.54
sewage,8.12,-0.73
sewage,8.98,-0.69
sewage,11.7,0.36
sewage,12.29,2.32
sewage,12.98,2.63
sewage,20.5,5.45
sewage,10.89,0.19
sewage,10.95,-2.96
sewage,21.7,4.57
sewage,20.47,1.22
sewage,13.38,4.66
sewage,20.62,0.06
sewage,12.28,-1.7
sewage,18.02,0.77
sewage,23.7,6.6
groundwater,13.13,3.23
groundwater,11.84,2.75
groundwater,10.35,3.55
groundwater,11.62,5.07
precipitation,-0.28,47.37
