d15N,d18O,site
3.87,1.59,JS-01
4.2,3.13,JS-02
4.48,2.11,JS-03
2.32,2.49,JS-04
4.56,2.34,JS-05
5.29,1.96,JS-06
5.16,1.99,JS-07
12.37,1.23,JS-08
8.4,4.9,JS-09
6.75,1.97,JS-10
8.77,6.38,JS-11
6.9,1.1,JS-12
9.17,3.61,JS-13
6.52,2.88,JS-14
8.77,3.77,JS-15
8.74,2.49,JS-16
8.71,4.45,JS-17
5.41,2.25,JS-18
8.2,3.53,JS-19
8.59,3.51,JS-20
8.75,4.05,JS-21
7.48,1.74,JS-22
6.54,12.27,JS-23
7.52,3.73,JS-24
7.69,4.36,JS-25
8.29,2.86,JS-26
6.91,5.44,JS-27
8.3,3.67,JS-28
7.02,4.09,JS-29
9.19,2.41,JS-30
7.59,5.01,JS-31
9.95,3.7,JS-32
10.21,2.8,JS-33
7.58,4.32,JS-34
12.01,5.67,JS-35
8.58,4.87,JS-36
3.78,2.01,JS-01
4.27,2.37,JS-02
4.5,2.29,JS-03
2.41,2.35,JS-04
4.56,2.99,JS-05
5.95,2.46,JS-06
5.22,3.37,JS-07
9.08,4.62,JS-08
9.08,4.05,JS-09
7.47,1.41,JS-10
12.43,3.41,JS-11
6.71,1.62,JS-12
10.07,4.31,JS-13
6.86,2.61,JS-14
9.47,5.39,JS-15
11.14,1.94,JS-16
10.29,4.78,JS-17
5.64,1.22,JS-18
10.58,3.54,JS-19
8.69,2.75,JS-20
9.78,3.68,JS-21
13.1,1.02,JS-22
9.05,7.36,JS-23
8.14,7.11,JS-24
9.05,5.2,JS-25
8.6,4.27,JS-26
8.96,8.98,JS-27
10.22,3.58,JS-28
10.5,7.16,JS-29
14.01,3.85,JS-30
10.41,4.92,JS-31
9.1,6.2,JS-32
11.43,0.84,JS-33
10.5,5.06,JS-34
12.62,5.42,JS-35
10.89,4.53,JS-36
3.3,2.48,JS-01
3.52,3.04,JS-02
3.61,2.16,JS-03
1.81,2.22,JS-04
3.85,2.26,JS-05
4.38,2.24,JS-06
3.64,1.17,JS-07
8.39,1.86,JS-08
5.99,1.63,JS-09
6.11,1.21,JS-10
8.26,1.58,JS-11
6.84,2.23,JS-12
6.5,1.95,JS-13
5.18,2.31,JS-14
6,1.41,JS-15
7.27,1.99,JS-16
6.14,1.89,JS-17
5.11,2.8,JS-18
5.9,1.97,JS-19
6.79,2.69,JS-20
6.79,2.49,JS-21
5.7,-0.68,JS-22
6.38,2.35,JS-23
6.94,3.07,JS-24
6.37,2.46,JS-25
7.54,2.41,JS-26
6.09,2.36,JS-27
6.6,2.39,JS-28
5.52,2.68,JS-29
7.38,1.66,JS-30
6.05,2.9,JS-31
7.74,3.22,JS-32
8.07,2.42,JS-33
6.09,2.94,JS-34
7.3,3.37,JS-35
6.22,2.95,JS-36
