d15N,d18O,site
3.78,2.01,JS-01
4.27,2.37,JS-02
4.5,2.29,JS-03
2.41,2.35,JS-04
4.56,2.99,JS-05
5.95,2.46,JS-06
5.22,3.37,JS-07
9.08,4.62,JS-08
9.08,4.05,JS-09
7.47,1.41,JS-10
12.43,3.41,JS-11
6.71,1.62,JS-12
10.07,4.31,JS-13
6.86,2.61,JS-14
9.47,5.39,JS-15
11.14,1.94,JS-16
10.29,4.78,JS-17
5.64,1.22,JS-18
10.58,3.54,JS-19
8.69,2.75,JS-20
9.78,3.68,JS-21
13.1,1.02,JS-22
9.05,7.36,JS-23
8.14,7.11,JS-24
9.05,5.2,JS-25
8.6,4.27,JS-26
8.96,8.98,JS-27
10.22,3.58,JS-28
10.5,7.16,JS-29
14.01,3.85,JS-30
10.41,4.92,JS-31
9.1,6.2,JS-32
11.43,0.84,JS-33
10.5,5.06,JS-34
12.62,5.42,JS-35
10.89,4.53,JS-36
