Source,d15N,d18O
precipitation,-0.28,47.37
precipitation,-2.19,52.37
precipitation,-2.10,51.50
fertilizer,0.54,20.49
fertilizer,-2.84,20.30
soil,8.01 ,10.42 
soil,4.79 ,2.92 
soil,7.38 ,7.32 
soil,3.35 ,6.93 
soil,2.53 ,10.61 
soil,0.91 ,10.36 
soil,8.60 ,7.99 
soil,0.98 ,4.29 
soil,6.83,3.8
soil,5.11,4.53
soil,6.91,5.44
sewage,9.77,-1.17
sewage,11.48,0.36
sewage,9.83,-1.54
sewage,8.12,-0.73
sewage,8.98,-0.69
sewage,11.70,0.36
sewage,12.29,2.32
sewage,12.98,2.63
sewage,10.89,0.19
sewage,10.95,-2.96
sewage,13.38,4.66
sewage,12.28,-1.70
manure,19.62,7.36
manure,21.09,4.13
manure,24.48,1.67
manure,17.72,8.82
manure,18.17,9.27
