site,A_manure,B_fertilizer,C_soil,D_sewage,E_precipitation,round
JS-01,0.042,0.394,0.414,0.119,0.031,round01
JS-02,0.048,0.34,0.47,0.108,0.034,round01
JS-03,0.044,0.375,0.438,0.116,0.027,round01
JS-04,0.042,0.395,0.433,0.096,0.034,round01
JS-05,0.044,0.36,0.451,0.116,0.028,round01
JS-06,0.048,0.367,0.431,0.129,0.026,round01
JS-07,0.048,0.363,0.438,0.124,0.026,round01
JS-08,0.076,0.108,0.298,0.5,0.019,round01
JS-09,0.119,0.117,0.585,0.136,0.043,round01
JS-10,0.062,0.336,0.423,0.156,0.023,round01
JS-11,0.091,0.108,0.539,0.189,0.072,round01
JS-12,0.048,0.368,0.398,0.162,0.023,round01
JS-13,0.114,0.141,0.533,0.185,0.027,round01
JS-14,0.069,0.285,0.482,0.138,0.026,round01
JS-15,0.078,0.127,0.569,0.197,0.029,round01
JS-16,0.094,0.255,0.434,0.193,0.023,round01
JS-17,0.093,0.104,0.604,0.164,0.035,round01
JS-18,0.052,0.347,0.455,0.12,0.025,round01
JS-19,0.101,0.167,0.545,0.16,0.026,round01
JS-20,0.106,0.149,0.543,0.175,0.026,round01
JS-21,0.099,0.119,0.591,0.16,0.031,round01
JS-22,0.06,0.332,0.412,0.175,0.022,round01
JS-23,0.068,0.077,0.514,0.143,0.198,round01
JS-24,0.073,0.174,0.584,0.141,0.029,round01
JS-25,0.063,0.096,0.674,0.134,0.033,round01
JS-26,0.098,0.231,0.462,0.184,0.025,round01
JS-27,0.06,0.117,0.658,0.114,0.051,round01
JS-28,0.094,0.159,0.558,0.161,0.028,round01
JS-29,0.063,0.165,0.613,0.126,0.033,round01
JS-30,0.087,0.246,0.424,0.221,0.022,round01
JS-31,0.084,0.101,0.647,0.125,0.043,round01
JS-32,0.133,0.147,0.453,0.235,0.031,round01
JS-33,0.105,0.171,0.437,0.263,0.024,round01
JS-34,0.065,0.111,0.666,0.127,0.032,round01
JS-35,0.142,0.067,0.319,0.405,0.068,round01
JS-36,0.087,0.115,0.61,0.146,0.041,round01
JS-01,0.047,0.13,0.534,0.168,0.12,round02
JS-02,0.044,0.113,0.614,0.163,0.067,round02
JS-03,0.046,0.116,0.604,0.164,0.07,round02
JS-04,0.046,0.185,0.41,0.164,0.195,round02
JS-05,0.049,0.118,0.577,0.162,0.094,round02
JS-06,0.058,0.098,0.591,0.18,0.074,round02
JS-07,0.053,0.127,0.569,0.162,0.089,round02
JS-08,0.077,0.21,0.293,0.187,0.232,round02
JS-09,0.12,0.128,0.361,0.179,0.212,round02
JS-10,0.059,0.121,0.444,0.217,0.16,round02
JS-11,0.152,0.163,0.194,0.271,0.221,round02
JS-12,0.055,0.131,0.478,0.202,0.134,round02
JS-13,0.106,0.204,0.262,0.193,0.236,round02
JS-14,0.081,0.071,0.568,0.182,0.098,round02
JS-15,0.068,0.239,0.237,0.183,0.273,round02
JS-16,0.067,0.095,0.224,0.326,0.287,round02
JS-17,0.088,0.234,0.217,0.19,0.272,round02
JS-18,0.05,0.117,0.545,0.18,0.108,round02
JS-19,0.1,0.174,0.236,0.237,0.254,round02
JS-20,0.08,0.15,0.36,0.221,0.189,round02
JS-21,0.084,0.179,0.275,0.209,0.252,round02
JS-22,0.084,0.058,0.156,0.431,0.272,round02
JS-23,0.053,0.287,0.206,0.157,0.297,round02
JS-24,0.052,0.277,0.24,0.156,0.275,round02
JS-25,0.069,0.251,0.264,0.171,0.246,round02
JS-26,0.094,0.181,0.355,0.178,0.192,round02
JS-27,0.052,0.299,0.186,0.15,0.313,round02
JS-28,0.121,0.135,0.292,0.208,0.245,round02
JS-29,0.078,0.262,0.179,0.168,0.313,round02
JS-30,0.325,0.108,0.228,0.216,0.122,round02
JS-31,0.099,0.211,0.229,0.182,0.278,round02
JS-32,0.066,0.268,0.226,0.167,0.272,round02
JS-33,0.065,0.081,0.193,0.349,0.312,round02
JS-34,0.087,0.237,0.211,0.19,0.275,round02
JS-35,0.242,0.167,0.19,0.19,0.211,round02
JS-36,0.153,0.118,0.274,0.184,0.271,round02
JS-01,0.088,0.106,0.592,0.094,0.12,round03
JS-02,0.087,0.108,0.605,0.091,0.109,round03
JS-03,0.088,0.105,0.583,0.097,0.127,round03
JS-04,0.086,0.109,0.585,0.091,0.129,round03
JS-05,0.087,0.104,0.587,0.097,0.125,round03
JS-06,0.089,0.104,0.584,0.099,0.124,round03
JS-07,0.091,0.103,0.554,0.1,0.152,round03
JS-08,0.099,0.1,0.558,0.119,0.124,round03
JS-09,0.094,0.1,0.563,0.108,0.134,round03
JS-10,0.095,0.099,0.551,0.111,0.145,round03
JS-11,0.102,0.099,0.549,0.119,0.13,round03
JS-12,0.096,0.101,0.575,0.108,0.119,round03
JS-13,0.094,0.1,0.573,0.108,0.125,round03
JS-14,0.091,0.103,0.584,0.102,0.12,round03
JS-15,0.094,0.099,0.559,0.108,0.14,round03
JS-16,0.096,0.099,0.57,0.111,0.124,round03
JS-17,0.093,0.101,0.57,0.108,0.128,round03
JS-18,0.091,0.105,0.596,0.097,0.111,round03
JS-19,0.094,0.102,0.573,0.106,0.126,round03
JS-20,0.094,0.103,0.591,0.102,0.11,round03
JS-21,0.094,0.102,0.584,0.106,0.113,round03
JS-22,0.096,0.097,0.502,0.113,0.191,round03
JS-23,0.095,0.102,0.582,0.105,0.116,round03
JS-24,0.095,0.105,0.594,0.101,0.105,round03
JS-25,0.093,0.102,0.584,0.105,0.115,round03
JS-26,0.096,0.102,0.578,0.109,0.115,round03
JS-27,0.093,0.102,0.586,0.102,0.118,round03
JS-28,0.094,0.1,0.585,0.106,0.115,round03
JS-29,0.091,0.104,0.595,0.098,0.112,round03
JS-30,0.096,0.098,0.559,0.116,0.131,round03
JS-31,0.093,0.103,0.6,0.097,0.108,round03
JS-32,0.097,0.106,0.596,0.101,0.1,round03
JS-33,0.097,0.101,0.578,0.111,0.112,round03
JS-34,0.092,0.105,0.599,0.097,0.107,round03
JS-35,0.096,0.107,0.599,0.099,0.099,round03
JS-36,0.093,0.104,0.597,0.099,0.107,round03
JS-01,0.181,0.033,0.382,0.354,0.048,round04
JS-02,0.131,0.04,0.522,0.272,0.036,round04
JS-03,0.14,0.038,0.504,0.282,0.036,round04
JS-04,0.174,0.047,0.395,0.3,0.083,round04
JS-05,0.138,0.041,0.518,0.266,0.037,round04
JS-06,0.143,0.04,0.506,0.27,0.04,round04
JS-07,0.143,0.039,0.494,0.283,0.041,round04
JS-08,0.147,0.051,0.517,0.246,0.038,round04
JS-09,0.142,0.04,0.512,0.276,0.03,round04
JS-10,0.173,0.035,0.412,0.343,0.037,round04
JS-11,0.138,0.043,0.516,0.275,0.028,round04
JS-12,0.135,0.04,0.516,0.273,0.036,round04
JS-13,0.137,0.04,0.524,0.267,0.032,round04
JS-14,0.146,0.04,0.482,0.301,0.031,round04
JS-15,0.136,0.045,0.541,0.243,0.035,round04
JS-16,0.128,0.041,0.548,0.252,0.031,round04
JS-17,0.143,0.045,0.523,0.257,0.033,round04
JS-18,0.151,0.036,0.463,0.318,0.032,round04
JS-19,0.169,0.047,0.468,0.278,0.039,round04
JS-20,0.136,0.039,0.514,0.28,0.03,round04
JS-21,0.154,0.037,0.472,0.306,0.031,round04
JS-22,0.216,0.033,0.301,0.33,0.12,round04
JS-23,0.134,0.044,0.549,0.241,0.031,round04
JS-24,0.129,0.044,0.541,0.256,0.03,round04
JS-25,0.139,0.042,0.522,0.267,0.031,round04
JS-26,0.143,0.038,0.493,0.293,0.033,round04
JS-27,0.148,0.048,0.512,0.257,0.035,round04
JS-28,0.156,0.04,0.481,0.292,0.031,round04
JS-29,0.163,0.055,0.477,0.25,0.056,round04
JS-30,0.229,0.041,0.344,0.335,0.051,round04
JS-31,0.183,0.06,0.429,0.27,0.059,round04
JS-32,0.161,0.039,0.451,0.317,0.032,round04
JS-33,0.164,0.036,0.426,0.336,0.038,round04
JS-34,0.194,0.046,0.417,0.3,0.044,round04
JS-35,0.136,0.039,0.499,0.291,0.035,round04
JS-36,0.17,0.038,0.427,0.332,0.032,round04
JS-01,0.087,0.027,0.598,0.253,0.035,round05
JS-02,0.107,0.027,0.599,0.235,0.032,round05
JS-03,0.121,0.028,0.576,0.24,0.034,round05
JS-04,0.112,0.025,0.577,0.255,0.032,round05
JS-05,0.116,0.029,0.607,0.212,0.035,round05
JS-06,0.095,0.025,0.585,0.262,0.033,round05
JS-07,0.118,0.027,0.579,0.243,0.032,round05
JS-08,0.139,0.038,0.547,0.195,0.081,round05
JS-09,0.146,0.035,0.558,0.219,0.043,round05
JS-10,0.195,0.029,0.454,0.291,0.032,round05
JS-11,0.107,0.037,0.628,0.172,0.057,round05
JS-12,0.102,0.031,0.629,0.203,0.035,round05
JS-13,0.132,0.031,0.587,0.21,0.04,round05
JS-14,0.125,0.029,0.566,0.248,0.032,round05
JS-15,0.143,0.032,0.572,0.211,0.042,round05
JS-16,0.103,0.025,0.604,0.237,0.032,round05
JS-17,0.146,0.028,0.554,0.236,0.036,round05
JS-18,0.129,0.028,0.56,0.251,0.032,round05
JS-19,0.156,0.03,0.529,0.247,0.039,round05
JS-20,0.1,0.034,0.655,0.158,0.055,round05
JS-21,0.134,0.027,0.549,0.258,0.032,round05
