BIX,FI,round
0.69,1.32,round01
0.7,1.36,round01
0.7,1.31,round01
0.69,1.32,round01
0.7,1.4,round01
0.68,1.28,round01
0.67,1.34,round01
0.72,1.44,round01
0.71,1.34,round01
0.74,1.38,round01
0.82,1.28,round01
0.88,1.44,round01
0.73,1.36,round01
0.76,1.38,round01
0.75,1.44,round01
0.76,1.34,round01
0.76,1.31,round01
0.73,1.31,round01
0.75,1.32,round01
0.78,1.36,round01
0.82,1.32,round01
0.85,1.32,round01
0.83,1.36,round01
0.78,1.34,round01
0.82,1.37,round01
0.79,1.32,round01
0.81,1.33,round01
0.83,1.35,round01
0.79,1.35,round01
0.75,1.39,round01
0.77,1.35,round01
0.77,1.33,round01
0.95,1.41,round01
0.8,1.36,round01
0.81,1.36,round01
0.8,1.31,round01
0.69,1.3,round02
0.7,1.27,round02
0.7,1.24,round02
0.62,1.26,round02
0.69,1.33,round02
0.7,1.33,round02
0.67,1.29,round02
0.71,1.3,round02
0.72,1.35,round02
0.73,1.32,round02
0.72,1.37,round02
0.82,1.37,round02
0.74,1.36,round02
0.75,1.31,round02
1.07,1.37,round02
0.82,1.35,round02
0.76,1.38,round02
0.79,1.36,round02
0.75,1.33,round02
0.78,1.35,round02
0.87,1.34,round02
1.36,1.45,round02
0.85,1.41,round02
0.77,1.34,round02
0.86,1.37,round02
0.79,1.31,round02
0.75,1.28,round02
0.79,1.36,round02
0.83,1.34,round02
0.82,1.43,round02
0.83,1.37,round02
0.69,1.24,round02
0.95,1.41,round02
0.88,1.4,round02
0.8,1.4,round02
0.85,1.4,round02
0.71,1.29,round03
0.69,1.22,round03
0.68,1.26,round03
0.65,1.23,round03
0.69,1.27,round03
2.74,1.3,round03
0.65,1.33,round03
0.77,1.36,round03
0.73,1.34,round03
0.7,1.32,round03
0.7,1.34,round03
0.81,1.39,round03
0.71,1.27,round03
0.72,1.3,round03
0.72,1.3,round03
1.72,1.32,round03
1.2,1.28,round03
0.77,1.25,round03
0.61,1.34,round03
0.99,1.39,round03
0.75,1.32,round03
0.78,1.36,round03
0.73,1.35,round03
0.73,1.33,round03
0.74,1.32,round03
0.74,1.34,round03
0.73,1.3,round03
0.78,1.33,round03
0.72,1.29,round03
0.73,1.3,round03
0.71,1.33,round03
0.71,1.31,round03
0.82,1.38,round03
0.73,1.29,round03
0.73,1.33,round03
0.74,1.33,round03
0.72,1.31,round04
0.69,1.29,round04
0.7,1.24,round04
0.67,1.27,round04
0.69,1.31,round04
0.68,1.3,round04
0.69,1.3,round04
0.7,1.32,round04
0.7,1.29,round04
0.74,1.36,round04
0.74,1.32,round04
0.7,1.28,round04
0.74,1.32,round04
0.73,1.32,round04
0.72,1.32,round04
0.72,1.35,round04
0.72,1.36,round04
0.74,1.41,round04
0.74,1.36,round04
0.76,1.33,round04
0.81,1.35,round04
1.23,1.5,round04
0.8,1.38,round04
0.73,1.33,round04
0.82,1.36,round04
0.79,1.38,round04
0.81,1.32,round04
0.77,1.35,round04
0.85,1.37,round04
0.76,1.44,round04
0.82,1.33,round04
0.73,1.33,round04
0.78,1.36,round04
0.81,1.33,round04
0.74,1.35,round04
0.78,1.35,round04
0.69,1.25,round05
0.68,1.28,round05
0.72,1.28,round05
0.67,1.3,round05
0.66,1.3,round05
0.66,1.27,round05
0.69,1.29,round05
0.71,1.38,round05
0.74,1.34,round05
0.72,1.39,round05
0.76,1.32,round05
0.76,1.35,round05
0.73,1.3,round05
0.69,1.31,round05
0.72,1.35,round05
0.73,1.33,round05
0.75,1.31,round05
0.76,1.35,round05
0.73,1.34,round05
0.73,1.32,round05
0.81,1.38,round05
1.25,1.53,round05
0.79,1.35,round05
0.78,1.33,round05
0.79,1.34,round05
0.75,1.38,round05
0.77,1.33,round05
0.71,1.32,round05
0.81,1.32,round05
0.78,1.38,round05
0.8,1.36,round05
0.75,1.33,round05
0.76,1.36,round05
0.84,1.32,round05
0.78,1.35,round05
0.77,1.37,round05
0.65,1.26,round06
0.7,1.31,round06
0.68,1.3,round06
0.67,1.27,round06
0.82,1.3,round06
0.65,1.27,round06
0.67,1.27,round06
0.73,1.36,round06
0.76,1.29,round06
0.71,1.35,round06
0.76,1.3,round06
0.74,1.38,round06
0.73,1.28,round06
0.67,1.34,round06
0.72,1.3,round06
0.7,1.35,round06
0.71,1.33,round06
0.76,1.32,round06
0.74,1.29,round06
0.72,1.33,round06
0.78,1.32,round06
1.12,1.47,round06
0.76,1.3,round06
0.81,1.37,round06
0.88,1.35,round06
0.72,1.37,round06
0.74,1.32,round06
0.75,1.33,round06
0.75,1.29,round06
0.76,1.4,round06
0.74,1.31,round06
0.74,1.3,round06
0.72,1.31,round06
0.74,1.3,round06
0.72,1.32,round06
0.77,1.32,round06
0.68,1.27,round07
0.67,1.23,round07
0.66,1.32,round07
0.65,1.26,round07
0.8,1.27,round07
0.69,1.28,round07
0.68,1.31,round07
0.68,1.38,round07
0.67,1.29,round07
0.62,1.27,round07
0.69,1.29,round07
0.74,1.34,round07
0.71,1.36,round07
0.67,1.35,round07
0.7,1.32,round07
0.67,1.34,round07
0.7,1.32,round07
0.73,1.4,round07
0.7,1.33,round07
0.73,1.32,round07
0.79,1.35,round07
0.94,1.39,round07
0.75,1.38,round07
0.77,1.37,round07
0.76,1.35,round07
0.72,1.34,round07
0.74,1.32,round07
0.75,1.31,round07
0.73,1.34,round07
0.78,1.4,round07
0.74,1.3,round07
0.72,1.33,round07
0.74,1.34,round07
0.75,1.32,round07
0.78,1.37,round07
0.74,1.37,round07
0.68,1.31,round08
0.67,1.23,round08
0.65,1.25,round08
0.62,1.23,round08
0.64,1.28,round08
0.66,1.28,round08
0.66,1.3,round08
0.69,1.3,round08
0.71,1.23,round08
0.67,1.2,round08
0.67,1.31,round08
0.75,1.34,round08
0.72,1.34,round08
0.69,1.31,round08
0.7,1.31,round08
0.7,1.31,round08
0.72,1.31,round08
0.71,1.24,round08
0.71,1.25,round08
0.76,1.33,round08
0.7,1.33,round08
0.75,1.37,round08
0.72,1.29,round08
0.75,1.29,round08
0.72,1.31,round08
0.72,1.31,round08
0.7,1.29,round08
0.77,1.36,round08
0.69,1.29,round08
0.75,1.34,round08
0.71,1.29,round08
0.75,1.31,round08
0.8,1.35,round08
0.7,1.31,round08
0.7,1.3,round08
0.71,1.27,round09
0.71,1.28,round09
0.7,1.32,round09
0.66,1.28,round09
0.69,1.23,round09
0.64,1.3,round09
0.7,1.32,round09
0.73,1.31,round09
0.71,1.33,round09
0.69,1.31,round09
0.73,1.31,round09
