BIX,FI,site
0.71,1.29,JS-01
0.69,1.22,JS-02
0.68,1.26,JS-03
0.65,1.23,JS-04
0.69,1.27,JS-05
2.74,1.3,JS-06
0.65,1.33,JS-07
0.77,1.36,JS-08
0.73,1.34,JS-09
0.7,1.32,JS-10
0.7,1.34,JS-11
0.81,1.39,JS-12
0.71,1.27,JS-13
0.72,1.3,JS-14
0.72,1.3,JS-15
1.72,1.32,JS-16
1.2,1.28,JS-17
0.77,1.25,JS-18
0.61,1.34,JS-19
0.99,1.39,JS-20
0.75,1.32,JS-21
0.78,1.36,JS-22
0.73,1.35,JS-23
0.73,1.33,JS-24
0.74,1.32,JS-25
0.74,1.34,JS-26
0.73,1.3,JS-27
0.78,1.33,JS-28
0.72,1.29,JS-29
0.73,1.3,JS-30
0.71,1.33,JS-31
0.71,1.31,JS-32
0.82,1.38,JS-33
0.73,1.29,JS-34
0.73,1.33,JS-35
0.74,1.33,JS-36
