round,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater
round01,0.025,0.038,0.052,0.039,0.288,0.349,0.087,0.122
round02,0.044,0.05,0.041,0.084,0.115,0.445,0.081,0.14
round03,0.027,0.173,0.041,0.087,0.113,0.417,0.068,0.074
round04,0.035,0.036,0.039,0.064,0.186,0.467,0.054,0.119
round05,0.037,0.037,0.03,0.065,0.193,0.465,0.053,0.12
round06,0.033,0.03,0.028,0.06,0.244,0.469,0.046,0.09
round07,0.023,0.035,0.043,0.034,0.35,0.396,0.038,0.081
round08,0.032,0.02,0.026,0.038,0.395,0.393,0.046,0.05
round09,0.035,0.03,0.036,0.063,0.214,0.465,0.064,0.093
round10,0.027,0.025,0.042,0.035,0.306,0.392,0.073,0.1
round11,0.028,0.027,0.036,0.039,0.298,0.4,0.069,0.103
round12,0.034,0.015,0.022,0.035,0.404,0.37,0.056,0.064
round13,,,,,,,,
round14,,,,,,,,
