site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater
JS-01,0.106,0.045,0.077,0.034,0.149,0.399,0.044,0.146
JS-02,0.115,0.022,0.075,0.033,0.239,0.313,0.028,0.175
JS-03,0.117,0.025,0.089,0.033,0.242,0.301,0.029,0.164
JS-04,0.126,0.051,0.055,0.028,0.255,0.318,0.031,0.136
JS-05,0.116,0.043,0.114,0.047,0.207,0.257,0.073,0.143
JS-06,0.139,0.037,0.061,0.22,0.07,0.127,0.236,0.11
JS-07,0.078,0.071,0.082,0.018,0.231,0.341,0.027,0.152
JS-08,0.038,0.101,0.121,0.024,0.193,0.268,0.037,0.218
JS-09,0.085,0.032,0.078,0.022,0.171,0.426,0.031,0.155
JS-10,0.084,0.05,0.094,0.022,0.308,0.211,0.033,0.198
JS-11,0.073,0.047,0.097,0.031,0.141,0.416,0.059,0.136
JS-12,0.041,0.051,0.09,0.032,0.139,0.413,0.041,0.193
JS-13,0.094,0.025,0.084,0.019,0.152,0.409,0.032,0.185
JS-14,0.056,0.084,0.111,0.023,0.166,0.353,0.056,0.151
JS-15,0.08,0.054,0.126,0.061,0.198,0.231,0.102,0.148
JS-16,0.082,0.056,0.088,0.126,0.093,0.255,0.189,0.111
JS-17,0.089,0.049,0.088,0.08,0.13,0.308,0.121,0.135
JS-18,0.097,0.026,0.127,0.034,0.208,0.274,0.043,0.191
JS-19,0.088,0.046,0.104,0.036,0.153,0.384,0.059,0.13
JS-20,0.056,0.037,0.093,0.04,0.101,0.478,0.072,0.123
JS-21,0.051,0.023,0.066,0.027,0.075,0.581,0.076,0.101
JS-22,0.022,0.02,0.264,0.106,0.078,0.136,0.137,0.237
JS-23,0.054,0.033,0.078,0.026,0.095,0.492,0.043,0.179
JS-24,0.049,0.028,0.06,0.017,0.103,0.553,0.03,0.16
JS-25,0.066,0.024,0.069,0.033,0.07,0.525,0.046,0.167
JS-26,0.07,0.034,0.084,0.025,0.132,0.442,0.041,0.172
JS-27,0.059,0.016,0.047,0.028,0.067,0.651,0.041,0.091
JS-28,0.038,0.03,0.065,0.017,0.099,0.578,0.054,0.119
JS-29,0.067,0.024,0.064,0.031,0.075,0.558,0.051,0.13
JS-30,0.024,0.08,0.092,0.022,0.177,0.294,0.033,0.278
JS-31,0.055,0.026,0.05,0.021,0.085,0.591,0.032,0.14
JS-32,0.074,0.024,0.051,0.017,0.118,0.53,0.027,0.159
JS-33,0.041,0.031,0.104,0.034,0.072,0.481,0.08,0.157
JS-34,0.076,0.02,0.057,0.036,0.067,0.552,0.034,0.158
JS-35,0.048,0.043,0.084,0.018,0.118,0.483,0.06,0.146
JS-36,0.06,0.027,0.062,0.022,0.096,0.536,0.034,0.163
