round,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage
round01,0.066,0.066,0.234,0.031,0.081,0.217,0.305
round02,0.018,0.049,0.16,0.161,0.269,0.116,0.227
round03,0.017,0.033,0.104,0.113,0.354,0.25,0.129
round04,0.012,0.036,0.142,0.108,0.089,0.527,0.086
round05,0.011,0.035,0.123,0.105,0.107,0.536,0.083
round06,0.016,0.034,0.074,0.093,0.16,0.552,0.071
round07,0.02,0.028,0.136,0.05,0.187,0.513,0.066
round08,0.048,0.015,0.044,0.026,0.388,0.393,0.086
round09,0.016,0.029,0.073,0.091,0.15,0.553,0.088
round10,0.021,0.029,0.063,0.03,0.233,0.489,0.135
round11,0.019,0.026,0.078,0.038,0.205,0.519,0.115
round12,0.044,0.007,0.025,0.016,0.429,0.381,0.098
