site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,round
JS-01,0.006,0.016,0.142,0.016,0.104,0.611,0.106,round01
JS-02,0.007,0.024,0.176,0.02,0.123,0.556,0.093,round01
JS-03,0.008,0.022,0.158,0.023,0.123,0.588,0.078,round01
JS-04,0.009,0.026,0.163,0.023,0.129,0.569,0.081,round01
JS-05,0.006,0.024,0.194,0.017,0.12,0.526,0.112,round01
JS-06,0.011,0.022,0.15,0.024,0.13,0.593,0.069,round01
JS-07,0.007,0.025,0.171,0.02,0.134,0.565,0.078,round01
JS-08,0.006,0.021,0.226,0.016,0.118,0.472,0.141,round01
JS-09,0.008,0.022,0.165,0.02,0.126,0.567,0.092,round01
JS-10,0.006,0.021,0.171,0.019,0.122,0.543,0.117,round01
JS-11,0.009,0.015,0.121,0.028,0.11,0.616,0.102,round01
JS-12,0.005,0.018,0.153,0.017,0.096,0.437,0.273,round01
JS-13,0.007,0.022,0.164,0.02,0.127,0.553,0.108,round01
JS-14,0.007,0.02,0.17,0.018,0.108,0.55,0.128,round01
JS-15,0.006,0.021,0.22,0.018,0.113,0.46,0.162,round01
JS-16,0.007,0.019,0.144,0.022,0.112,0.593,0.103,round01
JS-17,0.007,0.019,0.149,0.021,0.112,0.599,0.093,round01
JS-18,0.008,0.02,0.147,0.021,0.122,0.598,0.083,round01
JS-19,0.009,0.02,0.146,0.023,0.116,0.594,0.091,round01
JS-20,0.007,0.018,0.158,0.019,0.11,0.561,0.127,round01
JS-21,0.008,0.017,0.131,0.021,0.098,0.607,0.119,round01
JS-22,0.007,0.017,0.128,0.023,0.105,0.586,0.134,round01
JS-23,0.007,0.016,0.136,0.02,0.097,0.573,0.151,round01
JS-24,0.008,0.018,0.149,0.021,0.107,0.582,0.115,round01
JS-25,0.007,0.018,0.151,0.019,0.103,0.55,0.153,round01
JS-26,0.008,0.018,0.134,0.021,0.113,0.599,0.108,round01
JS-27,0.007,0.016,0.141,0.02,0.101,0.6,0.115,round01
JS-28,0.007,0.016,0.141,0.02,0.101,0.57,0.146,round01
JS-29,0.006,0.018,0.146,0.02,0.108,0.58,0.121,round01
JS-30,0.006,0.02,0.177,0.018,0.11,0.546,0.123,round01
JS-31,0.007,0.018,0.157,0.021,0.112,0.572,0.112,round01
JS-32,0.007,0.018,0.146,0.021,0.111,0.595,0.102,round01
JS-33,0.006,0.015,0.133,0.018,0.09,0.42,0.318,round01
JS-34,0.007,0.017,0.153,0.019,0.104,0.571,0.129,round01
JS-35,0.006,0.017,0.144,0.019,0.098,0.581,0.134,round01
JS-36,0.007,0.017,0.133,0.022,0.102,0.614,0.104,round01
JS-01,0.012,0.012,0.09,0.034,0.146,0.52,0.187,round02
JS-02,0.02,0.017,0.1,0.052,0.179,0.524,0.107,round02
JS-03,0.024,0.017,0.095,0.06,0.195,0.508,0.1,round02
JS-04,0.024,0.025,0.111,0.06,0.203,0.491,0.086,round02
JS-05,0.013,0.017,0.113,0.04,0.175,0.522,0.12,round02
JS-06,0.014,0.019,0.115,0.038,0.163,0.529,0.123,round02
JS-07,0.018,0.02,0.109,0.048,0.184,0.517,0.105,round02
JS-08,0.017,0.016,0.106,0.043,0.178,0.522,0.117,round02
JS-09,0.012,0.018,0.106,0.035,0.172,0.512,0.145,round02
JS-10,0.014,0.017,0.108,0.039,0.173,0.516,0.133,round02
JS-11,0.01,0.017,0.115,0.034,0.171,0.503,0.148,round02
JS-12,0.01,0.015,0.106,0.033,0.147,0.472,0.216,round02
JS-13,0.011,0.016,0.111,0.035,0.165,0.508,0.154,round02
JS-14,0.014,0.015,0.102,0.04,0.171,0.523,0.135,round02
JS-15,0.011,0.01,0.067,0.036,0.101,0.288,0.486,round02
JS-16,0.011,0.014,0.101,0.036,0.142,0.501,0.195,round02
JS-17,0.01,0.016,0.115,0.032,0.16,0.486,0.18,round02
JS-18,0.011,0.015,0.104,0.033,0.155,0.498,0.185,round02
JS-19,0.013,0.016,0.101,0.037,0.172,0.516,0.146,round02
JS-20,0.011,0.014,0.102,0.035,0.153,0.515,0.17,round02
JS-21,0.013,0.013,0.09,0.039,0.131,0.484,0.23,round02
JS-22,0.007,0.008,0.043,0.02,0.058,0.132,0.733,round02
JS-23,0.009,0.014,0.104,0.032,0.139,0.42,0.281,round02
JS-24,0.012,0.015,0.111,0.037,0.158,0.51,0.158,round02
JS-25,0.011,0.013,0.095,0.033,0.134,0.463,0.251,round02
JS-26,0.015,0.014,0.094,0.042,0.164,0.513,0.157,round02
JS-27,0.016,0.013,0.091,0.05,0.175,0.532,0.122,round02
JS-28,0.012,0.015,0.102,0.036,0.148,0.502,0.185,round02
JS-29,0.013,0.013,0.101,0.038,0.144,0.492,0.199,round02
JS-30,0.009,0.014,0.113,0.031,0.147,0.404,0.283,round02
JS-31,0.011,0.013,0.097,0.034,0.141,0.48,0.224,round02
JS-32,0.025,0.017,0.096,0.059,0.193,0.51,0.1,round02
JS-33,0.011,0.012,0.091,0.033,0.116,0.348,0.389,round02
JS-34,0.01,0.014,0.101,0.032,0.127,0.417,0.299,round02
JS-35,0.011,0.014,0.118,0.032,0.153,0.447,0.225,round02
JS-36,0.01,0.014,0.1,0.033,0.138,0.439,0.267,round02
JS-01,0.013,0.038,0.071,0.041,0.169,0.516,0.153,round03
JS-02,0.027,0.045,0.069,0.067,0.217,0.487,0.087,round03
JS-03,0.021,0.047,0.079,0.053,0.205,0.5,0.095,round03
JS-04,0.028,0.055,0.079,0.063,0.225,0.463,0.086,round03
JS-05,0.019,0.049,0.082,0.052,0.194,0.508,0.096,round03
JS-06,0.005,0.011,0.018,0.047,0.029,0.05,0.84,round03
JS-07,0.016,0.055,0.092,0.04,0.196,0.489,0.112,round03
JS-08,0.012,0.039,0.083,0.037,0.165,0.511,0.152,round03
JS-09,0.014,0.045,0.088,0.037,0.172,0.516,0.127,round03
JS-10,0.015,0.047,0.086,0.042,0.179,0.515,0.117,round03
JS-11,0.015,0.045,0.09,0.039,0.182,0.509,0.121,round03
JS-12,0.011,0.035,0.085,0.035,0.159,0.474,0.2,round03
JS-13,0.019,0.044,0.08,0.052,0.193,0.508,0.105,round03
JS-14,0.017,0.043,0.077,0.044,0.178,0.527,0.114,round03
JS-15,0.016,0.042,0.079,0.044,0.184,0.522,0.113,round03
JS-16,0.012,0.023,0.039,0.056,0.067,0.129,0.674,round03
JS-17,0.021,0.032,0.057,0.074,0.124,0.254,0.438,round03
JS-18,0.02,0.037,0.075,0.057,0.179,0.523,0.109,round03
JS-19,0.016,0.061,0.093,0.042,0.202,0.473,0.113,round03
JS-20,0.013,0.033,0.069,0.044,0.145,0.36,0.335,round03
JS-21,0.015,0.042,0.085,0.043,0.176,0.516,0.124,round03
JS-22,0.012,0.037,0.082,0.036,0.168,0.506,0.159,round03
JS-23,0.013,0.044,0.085,0.037,0.182,0.506,0.133,round03
JS-24,0.014,0.042,0.083,0.042,0.173,0.518,0.127,round03
JS-25,0.014,0.043,0.087,0.042,0.17,0.521,0.123,round03
JS-26,0.013,0.038,0.089,0.039,0.185,0.499,0.138,round03
JS-27,0.016,0.045,0.079,0.043,0.183,0.523,0.111,round03
JS-28,0.013,0.037,0.081,0.037,0.168,0.523,0.141,round03
JS-29,0.018,0.044,0.081,0.046,0.18,0.523,0.108,round03
JS-30,0.016,0.043,0.084,0.046,0.181,0.512,0.118,round03
JS-31,0.015,0.047,0.088,0.04,0.174,0.515,0.121,round03
JS-32,0.014,0.045,0.084,0.044,0.178,0.528,0.108,round03
JS-33,0.012,0.034,0.083,0.036,0.159,0.475,0.201,round03
JS-34,0.017,0.042,0.079,0.048,0.178,0.527,0.11,round03
JS-35,0.014,0.041,0.085,0.039,0.169,0.526,0.127,round03
JS-36,0.014,0.04,0.083,0.04,0.176,0.52,0.127,round03
JS-01,0.013,0.019,0.104,0.017,0.076,0.659,0.112,round04
JS-02,0.021,0.028,0.116,0.026,0.105,0.621,0.083,round04
JS-03,0.029,0.027,0.1,0.031,0.103,0.632,0.079,round04
JS-04,0.026,0.028,0.116,0.028,0.109,0.617,0.075,round04
JS-05,0.018,0.028,0.125,0.024,0.103,0.616,0.086,round04
JS-06,0.019,0.031,0.118,0.024,0.103,0.621,0.083,round04
JS-07,0.019,0.027,0.116,0.024,0.095,0.64,0.079,round04
JS-08,0.017,0.025,0.121,0.021,0.093,0.633,0.09,round04
JS-09,0.019,0.029,0.115,0.026,0.094,0.632,0.086,round04
JS-10,0.013,0.021,0.124,0.02,0.084,0.623,0.115,round04
