
#################################################################
# Summary Statistics
#################################################################

DIC = 277.2555

                Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
Site.SD        1.018 0.609 0.326 0.390 0.636 0.870 1.222 2.138 2.649
p.global.Brown 0.226 0.086 0.100 0.115 0.156 0.204 0.294 0.390 0.404
p.global.Green 0.525 0.083 0.333 0.376 0.477 0.536 0.581 0.643 0.653
p.global.Red   0.249 0.071 0.111 0.127 0.212 0.254 0.291 0.363 0.391
p.CP.Brown     0.152 0.074 0.026 0.038 0.097 0.150 0.201 0.276 0.309
p.EC.Brown     0.315 0.087 0.149 0.168 0.255 0.318 0.374 0.458 0.477
p.FHL.Brown    0.414 0.122 0.156 0.198 0.337 0.422 0.497 0.606 0.634
p.LG.Brown     0.066 0.051 0.001 0.002 0.022 0.059 0.099 0.166 0.182
p.MN.Brown     0.320 0.111 0.101 0.130 0.244 0.322 0.395 0.501 0.529
p.RB.Brown     0.191 0.091 0.049 0.060 0.116 0.184 0.253 0.347 0.378
p.CP.Green     0.406 0.054 0.297 0.318 0.373 0.408 0.442 0.497 0.515
p.EC.Green     0.394 0.055 0.290 0.306 0.356 0.393 0.431 0.485 0.500
p.FHL.Green    0.481 0.094 0.309 0.330 0.418 0.480 0.545 0.637 0.655
p.LG.Green     0.553 0.048 0.452 0.470 0.523 0.555 0.585 0.630 0.643
p.MN.Green     0.539 0.079 0.379 0.403 0.489 0.539 0.592 0.669 0.688
p.RB.Green     0.666 0.077 0.502 0.535 0.618 0.669 0.719 0.789 0.811
p.CP.Red       0.442 0.062 0.318 0.338 0.401 0.444 0.483 0.542 0.563
p.EC.Red       0.291 0.073 0.148 0.173 0.241 0.289 0.341 0.412 0.435
p.FHL.Red      0.105 0.075 0.004 0.008 0.045 0.094 0.150 0.248 0.277
p.LG.Red       0.380 0.057 0.264 0.283 0.345 0.384 0.420 0.466 0.482
p.MN.Red       0.141 0.084 0.011 0.021 0.077 0.130 0.194 0.301 0.333
p.RB.Red       0.142 0.075 0.021 0.034 0.086 0.132 0.192 0.280 0.309
