date,s_WT_obs,s_WL_obs,s_Flow_obs,s_WT_sim,s_WL_sim,s_Flow_sim,j_WT_obs,j_WT_sim
2018-01-01,6.9,5.9,0,3.103933944,5.984312986,17.09503676,4.4,3.085157431
2018-01-02,6.9,6.03,7.05,3.091430236,6.075641875,17.58677625,4.4,3.087329306
2018-01-03,6.8,6.01,10.27,3.044531917,6.086155972,20.21486639,4.4,3.055641528
2018-01-04,6.7,6.01,9.33,2.885384111,6.085923819,18.56087867,4.4,2.959478611
2018-01-05,6.6,6.02,9.42,2.729707944,6.087304931,20.11102458,4.4,2.840478472
2018-01-06,6.5,5.98,10.26,2.765817944,6.047718681,22.04229014,4.4,2.84009375
2018-01-07,6.4,5.94,12.68,2.701048389,6.023300486,19.95588139,4.4,2.8141925
2018-01-08,6.3,5.99,10.07,2.647255361,6.055749583,18.51508061,4.4,2.777740486
2018-01-09,6.157142857,6.02,10.25,2.527724847,6.087535278,19.27071751,4.257142857,2.686899722
2018-01-10,6.014285714,6.05,11.58,2.251929611,6.101793264,21.80443,4.114285714,2.470714028
2018-01-11,5.871428571,5.99,13.24,1.688307208,6.072920208,22.08635306,3.971428571,2.027212153
2018-01-12,5.728571429,6,10.61,0.933049111,6.077371944,18.94891819,3.828571429,1.418988056
2018-01-13,5.585714286,6.04,10.36,0.463512021,6.093909306,21.08606236,3.685714286,0.977106958
2018-01-14,5.442857143,5.99,12.78,0.446072504,6.068026597,22.35473111,3.542857143,0.860818035
2018-01-15,5.3,6.02,14,0.700648126,6.076471944,25.72977139,3.4,0.924477639
2018-01-16,5.542857143,6.05,28.01,1.036825728,6.085620278,34.62533917,3.7,0.976275208
2018-01-17,5.785714286,6.03,30.6,1.635635847,6.073249792,36.60293708,4,0.978844125
2018-01-18,6.028571429,6.04,24.1,2.711397236,6.088339375,33.23041097,4.3,1.185488681
2018-01-19,6.271428571,6.02,21.05,3.448495722,6.090080625,28.68421014,4.6,1.495252361
2018-01-20,6.514285714,6.06,14.84,3.813382,6.110651042,26.28759153,4.9,1.754358194
2018-01-21,6.757142857,6.02,16.22,4.158257528,6.082173611,27.11923194,5.2,2.015377917
2018-01-22,7,5.99,14.27,4.441323778,6.055517708,26.67130972,5.5,2.279706389
2018-01-23,6.514285714,6.03,12.92,4.508883153,6.067775486,27.60467708,5.271428571,2.488219028
