Total_Code,피라미,참갈겨니,돌고기,배스,블루길,감돌고기,묵납자루,어름치
1001G002,34.5,41.9375,3.625,0,0,0,0,0
1001G004,27.75,42.75,3.0625,0,0,0,0,0
1001G006,0,48,4.5,0,0,0,0,0
1001G008,91.5,145,64,0,0,0,22.5,5
1001G012,0,69,16.5,0,0,0,0,0
1001G014,16.875,52.625,11.5,0,0,0,4.625,1.6875
1001G024,17.5625,46.5625,12.1875,0,0,0,0,3.6875
1001G026,27.5625,64.8125,11.875,0,0,0,10.5,1.8125
1001G036,14.8125,41.4375,12.3125,0,0,0,0.8125,1.75
1001G038,11.1875,27.5625,28.6875,0,0,0,7.375,2.3125
1001G044,11.6875,46.375,15,0,0,0,1.375,4.375
1001G046,14.9375,37.6875,10.0625,0,0,0,0.25,2.8125
1001G048,0,0,0,0,0,0,0,0
1001G050,15.1875,39,12.4375,0,0,0,0.9375,2.4375
1001G052,0,74,41,0,0,0,5.5,0
1001G056,3.3125,41.8125,0.5625,0,0,0,0,0
1001G060,31.5,59,17,0,0,0,12.5,0
1001G062,0,27,1,0,0,0,0,0
1001G064,8.125,47.25,10.5625,0,0,0,4.625,7.0625
1001G066,8,37.8125,14.9375,0,0,0,4.4375,4.3125
1001G068,19.22222222,33.05555556,11.61111111,0,0,0,6.388888889,3.944444444
1002G092,19.22222222,30.22222222,14.72222222,0,0,0,8.333333333,0.388888889
1003G002,12.11111111,29.05555556,10.44444444,0,0,0,9.277777778,0.5
1003G016,21.125,73.1875,6.625,0,0,0,3.75,0.8125
1003G018,0,35,9,0,0,0,0,0
1003G022,0,54.5,14.5,0,0,0,15,0
1003G026,0,49.5,11.5,0,0,0,0,0
1003G028,7.25,3.4375,6.75,0,0,0,0,0.0625
1003G034,13.0625,4.875,11.9375,0,0,0,0.0625,0
1003G038,8.375,0.5625,3.9375,0,0,0,0.125,0.0625
1003G044,15.625,3,12.25,0,0,0,1.0625,0
1003G046,0,44.5,13.5,0,0,0,0,0
1003G054,20.5,25.375,11.1875,0,0,0,0.625,0
1003G056,2.25,37.75,8.833333333,0,0,0,0,0
1003G058,42,63,11,0,0,0,0,0
1003G062,21,22,0,0,0,0,0,0
1003G092,18.5,7.5,7.5,0,0,0,0,0
1003G102,23.3,32.4,9,0.7,0,0,0,0
1003G104,0,0,0,0,0,0,0,0
1003G106,9.611111111,0,2.555555556,0.888888889,0.666666667,0,0,0
1004G106,9.125,0,1.0625,2,2.375,0,0,0
1005G005,31.5,0,9.5,0,0,0,0,0
1005G015,67.9375,0.375,4.75,0,0,0,0,0
1005G030,10,0,3.875,0.0625,0,0,0,0
1005G035,46,22,11,0,0,0,0,0
1005G045,54.8125,0.75,5.625,0,0,0,0,0
1005G055,145.5,0,28,0,0,0,0,0
1005G060,15.3125,0,2.875,0,0.625,0,0,0
1005G065,27.8125,12.9375,6.1875,0.125,0,0,0.0625,0
1005G070,42.375,1.0625,7.25,0.0625,0,0,0,0
1005G075,35,0,7,0.111111111,0,0,0,0
1006G080,47,4.5,16.94444444,0,0,0,0,0
1007G064,18,0,8,0,0,0,0,0
1007G066,38.875,4,1.875,0.25,0,0,0,0
1007G068,25.22222222,0,1.777777778,0.611111111,0,0,0,0
1007G070,26.5,0,3.75,0.5,0,0,0,0
1007G072,9.055555556,0,0,0,0,0,0,0
1007G074,35.05555556,0,4.444444444,0,0,0,0,0
1007G076,0.666666667,0,0,0.333333333,0,0,0,0
1007G086,33.5,0,0,0,0,0,0,0
1007G090,27,0,1,0.25,0,0,0,0
1007G092,16.5,0,0,0.25,0,0,0,0
1007G094,45,0,9,0,0,0,0,0
1007G096,30.5,0,1.25,0,0,0,0,0
1007G098,1.4,0,0,0,0,0,0,0
1007G106,50.5,0,14.5,0,0,0,0,0
1007G108,21.5,0,1.722222222,0,0,0,0,0
1007G124,51.22222222,0,11.38888889,0,0,0,0,0
1007G162,46.44444444,0.388888889,1.888888889,0,0,0,0,0
1007G166,8,0,0,0,0,0,0,0
1007G168,21.9375,0,0.625,1,1.8125,0,0,0
1007G170,81,0,15.5,0,0,0,0,0
1007G174,46,0,0,0,0,0,0,0
1007G178,64.5,0,22.5,0,0,0,0,0
1007G212,45.8125,13.3125,20.625,0,0,0,0,0
1007G214,24,0,0.055555556,0.722222222,0.055555556,0,0,0
1007G216,2.5,0,0,7.5,0,0,0,0
1007G220,41.5,0,17,5,0,0,0,0
1007G224,27.5,0,0,2.5,0,0,0,0
1007G228,43.5,0,0,13.5,0,0,0,0
1009G020,43.22222222,0,10.55555556,1,0,0,0,0
1010G004,43.5,30,12,0,0,0,0,0
1010G014,173.1875,13.1875,12.5,0.1875,0,0,0,0
1010G016,134,11.5,0,0,0,0,0,0
1010G020,23.5,9,3,0,0,0,0,0
1010G040,115,19.5,7.5,0,0,0,0,0
1010G044,16,6,2.5,0,0,0,0,0
1010G046,0,41.58333333,11.25,0,0,0,0,0
1010G056,0,26,0,0,0,0,0,0
1010G058,0,48.5,8.5,0,0,0,0,0
1010G060,42.5,0,10.8125,2.8125,0.0625,0,0,0
1010G064,6,0,0,0,11,0,0,0
1010G066,21.5,0,4.055555556,3.888888889,3,0,0,0
1011G010,52.66666667,92.22222222,18.33333333,0,0,0,0.222222222,4.888888889
1011G015,1.5625,72,15.6875,0,0,0,0,0
1011G020,0.75,44.3125,4.5,0,0,0,0,0
1011G025,73.1875,82.0625,19.4375,0,0,0,0.9375,5.8125
1011G030,2.944444444,11.5,1.444444444,0,0,0,0,0
1011G035,84.75,81.375,20.75,0,0,0,2.3125,4.5
1011G040,2.125,40.625,0,0,0,0,0,0
1011G065,62.4375,75.5625,18.1875,0,0,0,0,5.3125
1011G080,22.875,64.125,5.3125,0,0,0,0.6875,0
1011G085,79.16666667,59.44444444,18.11111111,0,0,0,0,4.444444444
1011G090,6.8125,73.75,0.5625,0,0,0,0,0
1012G048,42.9375,79.625,25.875,0,0,0,0,8.5625
1012G051,141.3125,11,18.4375,0,0,0,0,4
1012G060,0,70,6.5,0,0,0,0,0
1012G063,72.5,55,0,0,0,0,0,0
1012G069,2.944444444,0,0,1.666666667,0,0,0,0
1012G072,NA,NA,NA,NA,NA,NA,NA,NA
1012G075,48,14.5,4,0,0,0,0,0
1013G003,87.125,0,0.0625,13.4375,5.875,0,0,0
1013G006,24.5,93.5,20.5,0,0,0,0,0
1013G018,83.9375,0,0,6.625,5.1875,0,0,0
1013G021,0,53.5,3.5,0,0,0,0,0
1013G024,26,16.5,0,0,0,0,0,0
1013G027,6.5,0,0,2.25,7.75,0,0,0
1013G030,39.4375,2.75,6.125,1.75,0,0,18.75,0
1013G036,12,56,26.5,0,0,0,0,0
1013G075,86.3125,70.6875,18.875,1.25,0,0,0,0
1013G078,38.5,83,15,0,0,0,0,0
1013G081,35.44444444,0,0,3.222222222,7.555555556,0,0,0
1014G070,65.58333333,22.08333333,18.08333333,0,0,0,0.416666667,0
1015G008,66.58333333,2.666666667,6.416666667,1.75,0,0,0,0
1015G034,70.25,19.375,18.5625,0,0,0,0,0
1015G046,31.16666667,81.41666667,17,0,0,0,0,0
1015G054,36.5,39,6,0,0,0,0,0
1015G060,70.78571429,0.142857143,0.214285714,1.071428571,0,0,0,0
1015G066,108,2,18.5,0,0,0,0,0
1015G068,14.77777778,0.222222222,0.5,2,4.388888889,0,0,0
1015G072,0,11.5,2.5,0,0,0,0,0
1016G072,39.55555556,0,3.833333333,0.666666667,0,0,0,0
1016G082,8.5,0,1.5,1,2.5,0,0,0
1017G010,9.944444444,0.055555556,2.166666667,0.333333333,0.444444444,0,0,0
1018G034,1.222222222,0,0,0.222222222,0,0,0,0
1018G064,12.16666667,0,0,0.055555556,0,0,0,0
1018G068,0,0,0,0,0,0,0,0
1018G070,0,0,0,0.25,0,0,0,0
1018G072,5.333333333,0,0,0.111111111,0,0,0,0
1018G076,16.9375,0,0.3125,0.375,0,0,0,0
1018G106,0.5,0,0,1,0,0,0,0
1019G002,0,0,0,0.5,0,0,0,0
1019G004,0,0,0,0,0,0,0,0
1019G014,58.0625,0,0,0.75,0,0,0,0
1019G018,22.1875,0,0,0.1875,0,0,0,0
1019G022,0,0,0,0,0,0,0,0
1019G028,0,0,0,0.1875,0,0,0,0
1019G030,0,0,0,1,0,0,0,0
1019G036,0,0,0,0,0,0,0,0
1019G038,0,0,0,0,0,0,0,0
1019G046,0,0,0,0,0,0,0,0
1019G050,0,0,0,3.5,2,0,0,0
1025G003,67.375,0,1.0625,0,0,0,0,0
1025G006,58.0625,0,0,0,0,0,0,0
1025G009,25.1875,0,0,0,0,0,0,0
1025G012,7.0625,0,0,0.75,0,0,0,0
1025G015,71.75,2.1875,2.0625,0.3125,0,0,0,0
1025G018,0.75,0,0,0,0,0,0,0
1025G024,42.16666667,0,0,0,0,0,0,0
1025G072,30.0625,0,2.125,1.4375,0,0,0,0
1025G075,12.78571429,0,0,0,0,0,0,0
1025G078,16.4375,0,0.5625,0,0,0,0,0
1025G081,0,0,0,1.75,0,0,0,0
2001G009,0,90.625,0.875,0,0,0,0,0
2001G012,0,23.375,1.0625,0,0,0,0,0
2001G015,0,87,16.5,0,0,0,0,0
2001G027,0,64.33333333,0,0,0,0,0,0
2001G033,4.5,100.5,26.5,0,0,0,0,0
2001G036,0,74.5,20.5,0,0,0,0,0
2001G042,0,74.75,4.375,0,0,0,0,0
2001G045,0,42.7,0,0,0,0,0,0
2001G048,0,44.5,0,0,0,0,0,0
2001G054,1.416666667,47.91666667,9.666666667,0,0,0,0,0
2001G069,9.5,66.75,8.166666667,0,0,0,0,1.333333333
2001G075,7.1875,44.25,9.6875,0,0,0,0,0
2001G078,5.166666667,87.75,8.25,0.333333333,0,0,0,0
2001G081,0,62,7,0,0,0,0,0
2001G087,0,47.5,0,0,0,0,0,0
2001G090,7.944444444,2.277777778,0.388888889,2.111111111,2.555555556,0,0,0
2002G098,11.33333333,0.111111111,0.055555556,5.666666667,0.111111111,0,0,0
2003G009,32,0,0,0,0,0,0,0
2003G045,60,0.4375,1.8125,3.3125,0.3125,0,0,0
2003G051,53.25,0,5.5,1,0.5,0,0,0
2003G054,0,35.2,0.4,0,0,0,0,0
