Total_Code,하천차수,수온,DO,pH,Conductivity,Turbidity,BOD,NH3-N,NO3-N,T-N,PO4-P,T-P,Chl-a,1시가화건조지역,2농업지역,3산림지역,4초지지역,5습지,6나지,7수역,비율,slope_R,aspect_gra,tavg_R,tmax_7m_R,tmin_1m_R,prcp_R,godo_R,수폭m,수심cm,유속cm/s
1001G002,5,15.4,11.8,8.4,214.1,0.6,0.7,0.032,1.697,2.52,0.008,0.02,0.6,1.072,24.129,69.036,0.412,1.826,0.714,2.811,100,0.324202,8,6.54779,24.3021,-13.1317,1222.11,720,14.5,17,48.2
1001G004,5,15.2,9.8,8.1,57.3,0.8,0.7,0.011,0.771,1.44,0.004,0.01,0.8,2.353,18.593,37.53,11.575,0.151,1.632,28.165,99.999,6.20357,1,7.29123,24.3054,-12.0931,1185.86,680.399,10.1,20.3,68.5
1001G006,4,17.4,17.6,7.7,33.5,1.8,1.3,0.106,1.303,1.736,0.026,0.038,2.1,0.372,5.597,86.029,0,5.36,1.092,1.551,100.001,6.06647,6,6.74962,24.3193,-13.0221,1203.43,680.376,8.3,33.9,72.4
1001G008,6,23.1,6.7,8.1,263.5,2.6,1.9,0.041,2.599,2.828,0.015,0.024,1.3,3.941,63.812,9.414,5.892,5.514,0,11.427,100,0,0,7.83469,24.7516,-12.2956,1159.8,500,15,25,14
1001G012,4,16.6,13.2,7.7,194,66,1.3,0.124,1.061,3.704,0.045,0.09,2.5,3.214,52.682,30.631,0.288,10.217,0,2.968,100,0,0,7.46242,24.3123,-12.4279,1171.89,520,6.3,31.9,91.2
1001G014,6,19.4,11.1,8.4,170.9,1.7,0.8,0.02,1.337,2.315,0.007,0.017,1.2,17.749,35.215,30.909,0.802,7.157,2.057,6.112,100.001,0,0,7.30096,24.98,-13.6643,1150.94,380,49.1,21.8,55.4
1001G024,5,17.9,10.7,8.4,116.1,2.5,0.8,0.032,1.52,2.356,0.008,0.02,1.1,3.673,41.396,36.772,1.238,5.063,7.28,4.578,100,0,0,7.92958,24.8759,-12.3891,1161.25,380,53,20.9,72.9
1001G026,6,17.6,10.2,8,151.4,2.4,0.9,0.03,1.339,2.263,0.006,0.015,1,8.641,47.352,14.769,2.886,4.878,11.502,9.972,100,0,0,7.79893,25.4463,-13.3032,1184.87,360,91.5,25.7,78.1
1001G036,5,18.2,11.2,8.3,120.3,3,0.9,0.029,1.144,2.144,0.006,0.018,1.1,7.199,32.818,30.933,1.26,7.893,7.969,11.928,100,7.53429,7,7.58645,25.5867,-13.5361,1202.08,341.567,55,19.4,60.7
1001G038,6,18.9,11.8,8.7,151.3,6.3,0.9,0.022,1.089,2.056,0.004,0.012,1,47.169,0.138,13.795,5.789,5.259,8.222,19.628,100,1.39292,5,8.51028,25.7769,-12.2259,1199.45,319.685,154.7,22.7,60.5
1001G044,6,17.7,10.6,8,275,1.8,0.7,0.03,1.452,2.781,0.005,0.015,0.9,19.825,21.132,20.322,0.629,0.232,25.772,12.089,100.001,3.372,2,8.87553,26.1703,-11.8547,1227.02,304.828,23.5,21.6,67.4
1001G046,7,18.8,11.7,8.5,197.8,3.5,0.9,0.026,1.512,2.356,0.003,0.013,1,30.42,2.26,26.477,1.091,11.029,18.577,10.145,99.999,0,0,8.55068,25.8648,-12.1797,1223.3,300,121,22.2,72
1001G048,3,18.1,10,7.8,137,8.3,1.3,0.056,0.806,2.065,0.013,0.034,1,4.896,37.004,43.692,5.824,0.697,7.408,0.479,100,0.087658,0,8.13964,25.7559,-13.2776,1223.23,340,6.5,13,52.1
1001G050,7,19.1,11.2,8.1,181.1,4.1,0.8,0.026,1.158,2.13,0.006,0.014,0.9,6.02,14.697,56.241,1.268,1.43,11.908,8.435,99.999,1.90457,2,8.34676,26.1981,-12.6991,1253.11,280,91,24.9,68.2
1001G052,7,20.4,13.7,8.9,237,7,1.4,0.033,1.827,2.459,0.008,0.017,2,1.056,26.021,47.995,1.42,1.807,11.964,9.737,100,0.064416,0,8.98197,26.4007,-11.7086,1236.69,260,91.5,36.4,39.2
1001G056,5,15.3,10.7,8,299.8,1.4,0.9,0.042,1.273,2.228,0.005,0.011,1,15.54,34.829,33.947,3.606,1.239,7.646,3.194,100.001,0,0,8.5958,25.7263,-12.5017,1225.88,360,36.6,21.3,70.8
1001G060,7,19,16.2,8.5,241,6.5,1.3,0.015,1.83,2.472,0.01,0.01,1.7,4.078,14.65,58.188,2.225,0.135,8.303,12.421,100,0,0,8.80144,26.4931,-12.5138,1254.74,240,62.5,23.5,26.2
