지점,지점명,일시,M기온,최저기온,최저기온날,최고기온,최고기온날,M최저기온,M최고기온,M해면기압,S강수량,일최다강수량,일최다강수량날,M상대습도,S일조시간,일조율,S일사량,M풍속,최다풍향,S소형증발량,S대형증발량
184,제주,1923,,-1.7,19231229,34.6,19230809,,,,1251.9,130.9,19230627,,1610.7,,,,160,1127.3,
184,제주,1924,14.1,-2.7,19240224,33.5,19240725,11,18.1,,1227,133.7,19240712,75.3,2105.5,,,7.8,340,1526.4,
184,제주,1925,14,-1.6,19250203,32.3,19250811,10.9,17.8,,1612.8,173.1,19250906,75.8,2019,,,5.3,340,1441.3,
184,제주,1926,14.3,-2.9,19260125,35.7,19260804,11,18.2,1016.8,956.9,58,19260912,72.7,2285.2,,,5.4,340,1724.1,
184,제주,1927,14.5,-3.2,19270121,33.1,19270731,11.3,18.3,1015.9,2042.1,301.2,19270911,75.2,2187,,,5.1,360,1572.4,
184,제주,1928,14.2,-2.3,19280120,31.4,19280827,11,17.9,1016.7,1642.3,106,19280917,76.4,2148.8,,,4.7,360,1357.1,
184,제주,1929,14.6,-3.8,19290211,33.8,19290719,11.2,18.4,1016.9,774.5,60.2,19290816,71.6,2407.4,,,5.1,340,1638.4,
184,제주,1930,15,-2.1,19300113,35.5,19300712,11.9,18.8,1016.7,1233.5,91,19300718,75.3,2138.2,,,5,340,1388.4,
184,제주,1931,14.2,-5.7,19310110,32.7,19310811,11,17.9,1016.6,1518.9,180.3,19310710,76.8,2072.8,,,5.1,360,1374.7,
184,제주,1932,14.4,-2.4,19320216,35.7,19320729,11.2,18.2,1016.8,1131.2,160.7,19320803,73.4,2269.6,,,5.1,320,1541.9,
184,제주,1933,14.2,-4.4,19330126,34,19330627,11.2,17.8,1016.6,1684.6,200.5,19330919,77.7,2122.2,,,5,340,1423,
184,제주,1934,14.3,-2.9,19340125,35,19340711,11,18,1017.1,1590.1,187.6,19340808,73.3,2222.2,,,5.5,320,1591.4,
184,제주,1935,14.9,-2.7,19350208,35.9,19350729,11.7,18.6,1016.2,1372.9,132.5,19350809,73.4,2339.9,,,4.8,320,1601.2,
