spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,0.877,16.9,7.1,10.7,5.5,9.6,15.5,381,4.155,2.542,0.613,0.181,0.047,6.2
고막원천4,1.425,16.2,8.0,10.6,4.8,10.0,39.5,261,2.288,1.411,0.071,0.166,0.037,6.1
만봉천,0.476,16.4,7.6,12.5,3.2,7.5,8.5,284,1.932,1.295,0.060,0.159,0.087,5.1
무안천,0.092,16.4,6.9,6.4,6.6,13.7,24.3,741,7.925,0,0,0.254,0,8.9
문평천,0.069,16.3,7.4,11.6,2.1,4.7,6.1,262,2.657,2.113,0.117,0.057,0.019,3.0
삼포천2,0,17.1,7.4,10.2,4.5,10.7,59.5,940,3.534,2.199,0.367,0.176,0.039,7.7
영산천,0.491,19.0,7.5,10.5,2.9,7.1,16.0,337,5.513,4.210,0.528,0.200,0.123,5.1
영암천2,0,17.6,7.5,10.6,3.4,9.0,27.4,1488,2.315,1.328,0.233,0.097,0.011,6.4
장성천2,0.512,15.2,7.4,10.1,4.0,9.7,13.4,336,4.473,2.539,0.763,0.417,0.306,6.7
지석천4,3.708,16.3,7.4,10.9,4.3,8.3,12.6,306,3.185,2.296,0.107,0.148,0.062,5.6
평동천,0.204,15.9,7.3,10.3,3.3,8.5,11.5,415,5.563,4.150,0.429,0.287,0.194,6.1
풍영정천2,0,16.2,7.3,10.6,5.0,9.5,12.8,309,2.288,1.351,0.172,0.166,0.049,6.2
함평천3,1.150,15.9,7.2,8.7,4.2,10.0,35.2,466,3.857,2.375,0.587,0.166,0.041,7.3
황룡강5,3.899,17.0,7.4,10.2,5.2,8.4,13.8,272,1.806,0.643,0.479,0.131,0.022,5.8
