 spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,13.9,7.4,10.9,2.3,6.0,8.8,233,3.477,0,0,0.123,0,0,4.4
고막원천2,16.0,7.8,10.4,2.0,8.6,15.3,237,2.923,2.216,0.118,0.133,0.048,10.9,3.2
고막원천3,17.1,8.1,10.8,2.7,10.1,17.2,233,2.439,1.715,0.078,0.109,0.019,27.2,3.5
고막원천4,15.7,7.7,10.6,3.2,7.8,38.7,256,2.276,1.554,0.083,0.107,0.026,37.9,5.6
광주천1,13.8,7.5,11.3,1.3,4.0,3.1,308,2.376,2.077,0.113,0.049,0.036,5.0,2.5
광주천2,16.3,7.7,10.4,4.9,9.3,16.1,334,3.691,2.412,0.361,0.137,0.029,53.1,6.5
만봉천,15.5,7.3,11.1,2.2,7.1,11.3,270,2.103,1.353,0.100,0.126,0.060,10.1,5.5
문평천,14.9,7.2,10.4,2.1,5.9,9.8,225,2.441,1.836,0.111,0.067,0.023,11.8,4.3
삼포천1,15.4,7.1,8.5,6.1,11.4,39.8,467,7.042,0,0,0.236,0,0,8.2
삼포천2,16.5,7.4,9.8,3.8,10.4,62.4,537,2.812,1.718,0.158,0.129,0.016,32.4,7.9
영산천,15.8,7.5,11.3,2.4,7.0,23.5,318,5.083,4.004,0.296,0.187,0.110,10.2,5.4
영암천1,16.2,7.6,9.5,2.1,7.0,31.5,511,3.170,1.842,0.277,0.085,0.034,15.2,4.0
영암천2,17.0,7.4,10.2,2.9,7.9,28.2,718,2.393,1.582,0.131,0.081,0.012,25.5,6.1
장성천1,13.9,7.4,10.2,2.2,5.5,15.3,239,3.074,0,0,0.104,0,0,4.2
장성천2,15.4,7.4,11.0,4.4,9.1,33.8,292,3.940,2.215,0.702,0.280,0.169,15.5,6.8
지석천1,17.5,8.2,11.2,2.1,5.8,3.8,172,1.042,0.642,0.049,0.042,0.011,12.8,2.5
지석천2,16.0,7.6,10.6,2.6,6.3,6.5,277,3.096,0,0,0.138,0,0,4.9
지석천3,17.6,8.4,11.6,3.1,8.5,8.2,255,2.724,1.714,0.226,0.102,0.035,25.2,3.5
지석천4,15.4,7.7,10.5,2.7,7.4,11.2,294,3.342,2.600,0.083,0.155,0.089,27.6,5.5
평동천,15.2,7.3,9.3,3.5,8.5,23.0,320,4.880,3.579,0.439,0.265,0.158,11.9,6.2
풍영정천1,14.6,7.6,11.0,2.9,6.9,16.2,257,2.384,0,0,0.123,0,0,5.2
풍영정천2,15.3,7.7,11.4,3.9,8.0,22.4,277,2.108,1.261,0.210,0.111,0.025,29.4,6.0
함평천1,15.6,7.7,9.5,1.3,6.3,5.8,214,2.024,1.591,0.077,0.046,0.007,5.8,2.6
함평천2,16.4,7.8,9.3,2.5,9.9,13.8,258,1.507,0.813,0.226,0.160,0.084,20.5,3.7
함평천3,15.7,7.6,9.9,3.9,9.6,47.4,424,4.063,2.826,0.339,0.171,0.053,26.6,7.0
황룡강1,16.5,7.7,10.3,1.3,6.1,4.3,255,0.857,0.533,0.075,0.029,0.003,8.6,2.2
황룡강2,16.4,8.0,10.9,1.2,6.3,5.3,232,1.104,0.743,0.062,0.035,0.004,9.3,2.4
황룡강3,16.0,7.7,10.7,3.1,6.3,8.0,314,1.655,0,0,0.077,0,0,4.7
황룡강4,17.0,7.7,9.7,2.5,6.9,11.8,385,1.279,0.790,0.062,0.040,0.019,30.3,3.6
황룡강5,16.2,7.8,11.1,3.1,6.7,19.0,283,1.426,0.841,0.087,0.077,0.016,31.4,5.1
