Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
0.5,7.1,15.1,1.4,3.1,7.7,214,3.938,0,0,0.018,0,0,2.6
0.5,7.0,14.7,1.2,3.1,2.8,219,4.073,0,0,0.017,0,0,2.3
4.0,7.2,13.7,2.4,7.7,16.2,192,3.502,0,0,0.114,0,0,4.9
5.4,7.2,15.9,0.9,3.5,1.6,199,3.579,0,0,0.021,0,0,2.4
2.7,6.9,14.8,1.2,4.7,4.0,191,3.253,0,0,0.027,0,0,2.1
2.9,7.2,14.3,0.9,2.7,2.7,192,3.388,0,0,0.021,0,0,1.3
2.1,7.6,13.9,1.0,4.6,1.7,203,3.373,0,0,0.018,0,0,1.8
5.2,7.3,14.4,1.3,3.9,1.5,202,3.534,0,0,0.021,0,0,2.2
7.4,8.1,13.1,1.9,4.7,12.8,203,3.021,0,0,0.016,0,0,2.3
9.6,6.3,11.2,5.0,13.4,35.3,141,4.543,0,0,0.242,0,0,7.0
10.8,7.3,14.4,1.1,4.1,5.6,185,2.715,0,0,0.030,0,0,2.2
10.1,7.3,11.5,1.6,4.2,8.8,193,2.869,0,0,0.028,0,0,2.6
11.1,7.4,14.5,1.4,3.8,2.7,188,2.956,0,0,0.023,0,0,2.3
15.9,7.3,10.3,2.2,5.7,6.0,195,2.179,0,0,0.037,0,0,3.2
13.3,7.2,10.8,4.5,15.0,18.2,181,5.916,0,0,0.293,0,0,8.0
15.7,7.4,10.8,2.9,6.0,10.7,204,2.832,0,0,0.060,0,0,3.7
17.4,7.3,10.3,2.7,5.5,15.9,197,2.472,0,0,0.046,0,0,3.5
19.3,7.3,9.2,3.5,6.0,30.0,168,2.115,0,0,0.066,0,0,4.0
19.1,7.5,9.6,2.6,5.7,17.2,144,1.700,0,0,0.058,0,0,3.5
18.5,7.0,9.6,5.5,7.7,56.5,138,2.816,0,0,0.111,0,0,5.8
19.9,7.1,9.3,3.4,6.0,16.3,145,2.245,0,0,0.095,0,0,4.6
21.6,7.0,9.8,3.1,5.6,12.8,170,1.757,0,0,0.079,0,0,3.6
22.2,7.2,7.9,2.6,4.5,12.0,138,1.672,0,0,0.068,0,0,3.2
22.9,7.1,9.3,1.8,5.2,7.3,145,1.833,0,0,0.084,0,0,4.1
26.1,7.3,8.5,1.7,5.3,7.5,183,2.111,0,0,0.091,0,0,3.8
23.1,7.3,8.1,1.1,4.0,17.4,144,2.853,0,0,0.094,0,0,2.9
24.4,7.4,8.6,2.0,4.7,11.2,125,2.376,0,0,0.101,0,0,3.5
24.6,7.3,7.8,2.1,5.3,18.7,190,2.078,0,0,0.129,0,0,3.6
24.3,7.4,7.4,9.7,15.7,259.7,257,5.394,0,0,0.801,0,0,5.3
26.2,7.4,8.2,1.9,5.3,11.0,141,2.110,0,0,0.122,0,0,3.9
27.2,7.1,8.3,2.5,6.5,5.6,144,1.206,0,0,0.150,0,0,4.5
27.7,7.5,8.7,2.0,4.4,10.9,162,2.529,0,0,0.091,0,0,2.8
23.9,7.3,9.5,1.0,5.5,5.4,174,2.433,0,0,0.077,0,0,2.6
23.1,7.3,8.8,1.1,4.0,4.1,174,2.051,0,0,0.055,0,0,2.7
21.2,7.5,10.4,2.4,4.6,11.2,127,1.872,0,0,0.074,0,0,2.9
22.2,7.7,8.4,3.4,6.6,17.9,151,2.162,0,0,0.124,0,0,4.6
22.5,7.4,9.5,3.4,6.7,15.5,151,1.901,0,0,0.080,0,0,3.4
18.1,7.3,10.0,1.1,2.9,4.2,214,3.098,0,0,0.059,0,0,2.0
16.2,7.8,9.8,1.2,2.7,7.6,220,3.149,0,0,0.052,0,0,2.8
12.6,7.4,10.8,1.1,2.1,1.4,223,3.605,0,0,0.050,0,0,1.8
12.7,7.0,10.7,0.8,2.3,2.8,228,3.379,0,0,0.051,0,0,2.0
7.9,7.3,13.3,0.9,2.8,3.4,251,4.331,0,0,0.069,0,0,3.0
7.9,8.0,12.6,1.5,3.4,2.0,250,4.282,0,0,0.069,0,0,2.7
4.1,7.4,12.9,2.6,6.9,5.6,230,5.398,0,0,0.187,0,0,5.4
7.2,7.7,11.1,2.6,3.7,2.3,243,4.272,0,0,0.057,0,0,2.9
4.3,7.4,12.7,1.8,3.8,2.0,239,4.166,0,0,0.051,0,0,3.4
4.2,8.0,14.8,1.6,3.4,2.4,239,4.305,0,0,0.054,0,0,2.9
4.5,7.4,15.3,2.1,3.3,2.1,235,3.944,0,0,0.032,0,0,2.4
0.3,7.4,14.1,1.1,2.6,1.8,235,4.184,0,0,0.029,0,0,1.9
2.9,7.6,12.8,1.2,3.6,1.9,237,4.217,0,0,0.037,0,0,2.0
0.6,7.7,13.0,1.7,4.1,2.5,236,4.411,0,0,0.034,0,0,1.5
3.5,8.3,14.9,1.0,3.8,1.7,186,4.124,0,0,0.041,0,0,2.3
6.0,6.9,14.9,1.3,3.4,1.7,265,4.170,0,0,0.043,0,0,2.5
4.9,7.5,13.1,1.5,3.4,2.6,232,3.722,0,0,0.028,0,0,2.6
6.4,8.0,13.6,1.8,3.5,2.2,219,3.793,0,0,0.034,0,0,2.6
4.5,7.4,13.9,1.9,3.3,3.5,242,3.894,0,0,0.035,0,0,2.9
10.2,7.4,11.0,1.8,4.5,3.2,239,3.604,0,0,0.065,0,0,3.2
12.7,7.7,11.6,1.9,4.4,3.0,235,3.032,0,0,0.049,0,0,3.4
14.5,7.6,13.2,1.9,3.5,4.7,288,2.849,0,0,0.062,0,0,3.1
12.1,7.7,12.2,1.4,3.4,3.2,221,2.771,0,0,0.056,0,0,3.4
16.7,7.9,10.6,1.4,4.1,6.5,229,2.134,0,0,0.056,0,0,3.6
16.6,7.3,10.0,2.4,4.3,7.3,231,2.446,0,0,0.076,0,0,4.0
18.0,7.1,11.1,2.1,4.7,7.7,267,2.387,0,0,0.081,0,0,4.2
17.4,7.5,9.5,1.8,5.2,12.6,148,1.829,0,0,0.121,0,0,3.7
18.1,7.8,9.6,2.7,5.0,13.1,156,2.216,0,0,0.131,0,0,4.1
22.8,7.5,8.6,2.2,4.8,15.4,183,1.817,0,0,0.092,0,0,4.2
21.3,7.4,8.3,1.9,4.6,19.2,145,1.695,0,0,0.098,0,0,4.4
22.6,7.3,8.3,2.8,5.5,14.6,203,2.334,0,0,0.142,0,0,3.9
23.2,7.3,8.2,1.7,5.7,12.8,207,1.613,0,0,0.107,0,0,4.2
22.8,7.6,9.6,3.3,8.2,8.8,217,3.608,0,0,0.181,0,0,6.5
23.2,7.2,9.0,1.4,4.3,18.7,160,1.188,0,0,0.094,0,0,3.2
25.2,7.7,7.9,1.2,4.1,10.1,179,2.445,0,0,0.092,0,0,2.9
24.0,6.8,8.7,1.0,4.7,17.6,164,2.395,0,0,0.096,0,0,2.9
24.3,7.3,9.0,1.7,3.3,26.7,183,2.187,0,0,0.093,0,0,2.6
22.0,7.1,8.7,0.8,4.2,11.3,139,2.682,0,0,0.105,0,0,2.8
21.4,6.8,8.6,0.8,4.1,22.5,128,2.480,0,0,0.124,0,0,2.6
21.9,7.3,8.9,0.8,3.7,6.4,157,2.354,0,0,0.093,0,0,2.4
21.2,7.3,9.8,2.0,5.2,11.6,151,1.637,0,0,0.121,0,0,3.7
20.8,7.5,10.4,1.9,4.8,10.8,137,1.650,0,0,0.055,0,0,3.2
20.8,7.5,9.1,1.1,3.4,6.5,209,2.253,0,0,0.063,0,0,2.5
18.3,7.7,12.0,1.0,2.0,2.3,233,2.778,0,0,0.052,0,0,2.1
15.6,7.5,12.6,0.8,2.0,3.0,247,3.197,0,0,0.054,0,0,1.9
16.3,7.1,9.1,2.3,2.3,5.3,235,3.457,0,0,0.052,0,0,2.1
12.7,7.0,12.3,0.9,2.1,5.4,211,3.646,0,0,0.061,0,0,2.2
11.5,7.6,11.7,0.8,2.3,1.7,227,3.797,0,0,0.045,0,0,2.1
9.4,7.5,13.0,0.7,2.1,12.8,240,3.647,0,0,0.039,0,0,1.9
10.6,6.9,10.7,3.1,6.8,16.9,143,3.193,0,0,0.229,0,0,5.4
9.7,6.8,10.9,2.3,6.8,33.8,219,3.257,0,0,0.173,0,0,5.4
4.6,7.1,13.1,0.7,3.6,2.6,230,3.532,0,0,0.050,0,0,2.5
5.3,7.3,13.7,3.0,7.7,7.3,173,3.025,0,0,0.185,0,0,4.9
2.1,7.3,14.2,1.3,2.2,2.7,210,3.630,0,0,0.027,0,0,1.9
3.4,6.7,13.8,1.4,2.3,4.0,214,3.951,0,0,0.024,0,0,1.9
4.5,7.3,12.9,1.6,4.8,2.1,213,3.425,0,0,0.043,0,0,3.4
2.6,7.4,13.6,1.6,2.9,2.5,217,3.541,0,0,0.029,0,0,2.0
0.4,6.8,15.3,1.6,2.7,2.0,217,3.691,0,0,0.026,0,0,1.8
6.5,7.6,12.5,1.4,3.4,1.8,216,3.363,0,0,0.053,0,0,1.8
4.6,7.6,15.0,1.1,3.0,2.3,235,3.505,0,0,0.032,0,0,2.1
9.0,7.5,14.0,1.2,3.3,10.3,214,2.915,0,0,0.035,0,0,2.4
10.1,7.1,13.7,1.4,4.0,4.4,217,3.013,0,0,0.057,0,0,3.0
13.8,7.1,9.9,1.6,3.9,10.4,222,3.120,0,0,0.039,0,0,2.9
10.6,7.0,12.0,3.2,6.0,6.1,196,3.848,0,0,0.097,0,0,4.2
13.1,7.3,7.9,1.4,4.0,11.3,124,2.995,0,0,0.058,0,0,2.8
17.3,7.4,11.5,1.4,3.9,5.3,212,2.453,0,0,0.078,0,0,3.1
17.1,7.7,11.3,1.7,4.0,10.6,172,2.168,0,0,0.049,0,0,2.9
16.6,6.9,10.7,5.2,12.8,35.1,187,5.392,0,0,0.366,0,0,7.5
17.0,7.5,9.3,1.6,4.2,24.8,147,1.714,0,0,0.075,0,0,4.8
18.6,7.5,10.6,2.4,6.5,18.8,163,2.491,0,0,0.146,0,0,5.8
19.3,7.5,9.5,2.6,6.3,11.6,162,2.475,0,0,0.123,0,0,4.4
18.8,7.0,9.3,2.4,5.0,9.4,154,1.889,0,0,0.065,0,0,3.6
21.6,6.8,8.1,5.1,9.7,13.4,197,5.159,0,0,0.229,0,0,7.1
22.6,7.2,8.8,1.3,5.1,9.2,175,2.376,0,0,0.074,0,0,3.6
22.4,7.2,8.0,1.2,5.0,11.8,209,2.665,0,0,0.119,0,0,3.6
21.0,7.2,8.0,1.7,4.6,9.1,151,1.247,0,0,0.057,0,0,2.9
23.3,6.8,9.8,0.8,4.3,15.5,161,2.155,0,0,0.062,0,0,3.5
24.3,7.5,9.6,1.0,4.6,11.5,161,2.323,0,0,0.012,0,0,2.9
25.6,7.2,7.8,1.0,4.1,8.3,194,2.961,0,0,0.131,0,0,2.8
22.8,6.6,7.8,2.9,7.5,6.9,153,3.559,0,0,0.261,0,0,5.3
24.0,7.0,9.1,1.6,4.1,12.1,147,1.349,0,0,0.098,0,0,2.9
24.3,7.0,8.2,1.1,3.8,10.7,201,2.322,0,0,0.110,0,0,2.9
23.3,8.4,9.6,1.0,4.0,7.5,148,0.943,0,0,0.075,0,0,3.2
22.7,7.3,9.4,1.2,10.3,12.2,112,4.849,0,0,0.474,0,0,6.8
20.8,7.1,9.8,1.2,4.6,4.0,205,1.700,0,0,0.109,0,0,3.4
