spot,BOD,COD,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,2.5,5.9,3.509,0,0,0.141,0,0,3.6
고막원천2,2.8,6.5,2.88,2.422,0.118,0.128,0.079,22.3,4.2
고막원천3,4.2,8.1,2.733,2.282,0.085,0.137,0.084,49.5,5.2
고막원천4,4.3,10,2.834,1.936,0.111,0.193,0.07,35.2,6.2
광주천1,2.5,4.3,1.557,1.226,0.066,0.088,0.046,20.6,2.4
광주천2,6.6,10.7,4.137,2.031,1.128,0.219,0.073,34.6,7
만봉천,3.2,7.9,2.126,1.429,0.089,0.152,0.077,15.2,5.2
문평천,1.9,4.6,3.341,2.902,0.093,0.078,0.032,4.2,3
삼포천1,5.5,12.2,8.728,0,0,0.218,0,0,7.7
삼포천2,4.3,10.5,3.199,2.014,0.315,0.184,0.041,22.7,7.2
영산천,3.2,7.8,4.913,3.679,0.533,0.19,0.109,5.3,5.4
영암천1,1.9,8,2.725,1.643,0.401,0.17,0.044,12.1,4.2
영암천2,3.7,9.4,2.384,1.455,0.18,0.117,0.023,23.4,6.3
장성천1,3.7,8.1,4.408,0,0,0.207,0,0,5.3
장성천2,4.2,10,4.225,2.492,0.687,0.442,0.335,8.4,6.7
지석천1,2.2,5,1.49,1.195,0.04,0.06,0.028,13.7,3.3
지석천2,2.7,6.4,2.667,0,0,0.108,0,0,4.3
지석천3,3.1,5.9,2.064,1.719,0.036,0.089,0.046,34.8,4.5
지석천4,3.6,7.4,3.1,2.239,0.129,0.154,0.078,16.3,5.1
평동천,3.7,10.2,5.486,3.95,0.585,0.314,0.204,9.5,7.1
풍영정천1,3.1,7.6,2.894,0,0,0.21,0,0,4.6
풍영정천2,5,9.6,2.578,1.552,0.272,0.179,0.066,30.5,6.8
함평천1,1.7,5.1,2.31,2.005,0.043,0.055,0.027,8.6,3.2
함평천2,2.1,6.4,1.264,0.857,0.044,0.055,0.023,13.5,3.9
함평천3,3.6,9.9,3.526,2.414,0.269,0.203,0.069,17.2,7
황룡강1,1.7,4.2,0.706,0.47,0.022,0.034,0.008,7.9,2.4
황룡강2,1.8,4.7,1.15,0.934,0.023,0.035,0.012,9.3,2.7
황룡강3,2.9,6,1.906,0,0,0.069,0,0,3.8
황룡강4,3.3,5.7,1.278,0.884,0.064,0.058,0.014,29.9,3.3
황룡강5,4.4,7.5,1.972,0.961,0.41,0.111,0.026,17.1,5.1
