spot,BOD,COD,SS,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,animal,manure,land
고막원천4,4.2,9.4,37.4,2.917,2.078,0.102,0.185,0.069,33.5,5.9,69294,578.67246,76.5124141
광주천2,6.4,10.2,17.9,4.373,2.239,1.180,0.209,0.070,32.7,6.9,545176,4146.287562,30.9797126
만봉천,3.1,7.5,12.8,2.190,1.536,0.081,0.145,0.075,13.9,5.0,894890,6806.001291,44.87780659
문평천,2.0,4.6,17.5,3.253,2.820,0.092,0.084,0.040,4.8,3.0,378092,2875.540788,18.96090785
삼포천2,3.7,10.1,65.6,3.297,2.134,0.305,0.182,0.045,21.3,7.1,484129,3851.592889,62.76911089
영산천,3.2,7.4,19.0,5.015,3.870,0.482,0.181,0.103,4.9,5.2,400400,3045.205479,20.07965275
영암천2,3.6,8.9,34.3,2.446,1.532,0.178,0.114,0.024,20.8,6.0,101276,872.81968,105.5807553
장성천2,4.1,9.4,22.3,4.254,2.611,0.669,0.419,0.326,8.3,6.4,500821,3808.951376,25.1156848
지석천4,3.4,7.0,17.9,3.149,2.349,0.118,0.147,0.078,15.8,4.9,82346,603.82362,127.6659799
평동천,3.8,9.6,25.7,5.587,4.093,0.589,0.311,0.206,8.8,6.9,277994,2114.255458,13.94110043
풍영정천2,4.9,9.1,20.1,2.639,1.637,0.271,0.175,0.069,26.9,6.6,7198,65.35189944,19.88141048
함평천3,3.6,9.4,47.3,3.649,2.557,0.292,0.198,0.075,15.6,6.8,616653,4905.917281,79.9513538
황룡강5,4.2,7.2,13.6,1.970,1.014,0.375,0.105,0.024,17.1,4.9,56302,405.46026,102.4522864
