spot,BOD,COD,SS,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,animal,manure,land,wateruse
고막원천4,4,9.1,39.7,2.629,1.828,0.089,0.157,0.052,51.4,6,69294,578.672,76.512,4781.77
광주천2,5.1,9.1,14.8,4.131,2.428,0.847,0.174,0.06,39.6,6.3,11217,101.833,30.98,79955.483
만봉천,2.6,6.9,11.4,2.104,1.52,0.074,0.141,0.078,13.7,4.8,894890,6806.001,44.878,10662.69
문평천,1.8,4.8,9,2.928,2.47,0.069,0.059,0.023,8.7,3.2,378092,2875.541,18.961,4504.995
삼포천2,3.8,10.1,73,3.603,2.361,0.37,0.18,0.045,25.7,7.3,484129,3851.593,62.769,5461.61
영산천,2.7,7,21,5.35,4.209,0.453,0.194,0.121,7.1,5.1,400400,3045.205,20.08,4770.802
영암천2,3.2,8.2,33.5,2.536,1.649,0.21,0.107,0.023,21.1,5.9,101276,872.82,105.581,5985.4
장성천2,3.9,9.2,17.8,4.184,2.434,0.739,0.355,0.26,11.5,6.4,500821,3808.951,25.116,5967.332
지석천4,3.1,7,12.9,3.231,2.497,0.1,0.137,0.069,25.7,4.9,82346,603.824,127.666,45766.02
평동천,3.3,8.4,18.6,5.137,3.83,0.47,0.272,0.179,9.4,6.1,277994,2114.255,13.941,3312.32
풍영정천2,4.1,8.1,15.2,2.447,1.574,0.229,0.153,0.057,27.1,5.9,7198,65.352,19.881,51311.896
함평천3,3.5,8.9,37.1,3.614,2.47,0.379,0.172,0.064,18.9,6.4,616653,4905.917,79.951,6956.657
황룡강5,3.9,7.5,14.2,1.798,0.952,0.275,0.103,0.022,29.5,5.1,56302,405.46,102.452,25531.4
