spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.083,15.0,7.6,10.1,4.5,9.8,15.5,329,3.827,2.127,0.939,0.166,0.052,7.6
고막원천4,2.775,15.9,7.7,10.5,3.3,7.9,35.7,224,2.342,1.624,0.082,0.113,0.036,6.3
만봉천,1.116,15.0,7.5,12.6,2.3,6.8,10.9,279,2.100,1.509,0.093,0.129,0.065,5.3
무안천,0.180,15.3,7.1,9.0,4.4,10.1,26.5,583,6.598,0,0,0.247,0,7.7
문평천,0.233,14.7,7.2,12.4,2.1,5.6,7.6,230,2.952,2.385,0.055,0.062,0.021,4.3
삼포천2,0,15.4,7.3,9.5,4.0,10.2,79.3,478,3.589,2.285,0.370,0.173,0.035,7.7
영산천,0.603,16.3,7.5,11.2,2.7,7.1,24.2,352,5.750,4.451,0.530,0.218,0.145,5.7
영암천2,0,16.0,7.5,11.0,3.0,7.7,25.0,635,2.533,1.704,0.209,0.097,0.023,6.0
장성천2,0.879,15.8,7.5,12.2,4.2,9.5,20.2,303,3.966,2.289,0.840,0.291,0.197,7.3
지석천4,4.878,14.9,7.7,11.3,2.4,6.3,9.9,290,3.478,2.793,0.110,0.131,0.070,5.0
평동천,0.380,14.8,7.4,10.4,3.2,7.8,17.2,320,4.891,3.697,0.502,0.260,0.168,6.3
풍영정천2,0,14.8,7.5,11.2,3.3,7.3,13.9,260,2.188,1.490,0.208,0.132,0.041,6.0
함평천3,2.005,14.4,7.3,9.2,3.5,8.3,29.7,380,3.549,2.415,0.360,0.165,0.065,6.5
황룡강5,4.663,15.6,7.8,10.9,3.2,7.3,13.0,299,1.588,0.957,0.152,0.096,0.026,5.7
