year,month,date,spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
2012,01,2012.01.12,광주천2,0,3.5,6.5,13.4,4.0,8.2,2.4,522,13.701,7.008,3.866,1.389,1.116,6.1
2012,02,2012.02.10,광주천2,0,5.5,8.2,15.7,4.3,9.8,6.0,571,11.308,4.536,4.083,0.596,0.504,5.9
2012,03,2012.03.13,광주천2,0,9.3,7.5,12.3,3.2,8.2,7.6,420,10.058,4.081,4.963,0.366,0.279,5.1
2012,04,2012.04.05,광주천2,0,11.5,7.1,9.5,4.3,6.6,16.0,222,4.962,4.275,0.637,0.164,0.153,1.7
2012,05,2012.05.11,광주천2,0,24.5,7.4,7.7,3.3,5.8,9.6,245,4.213,1.970,1.088,0.181,0.009,2.9
2012,06,2012.06.05,광주천2,0.615,23.6,6.5,7.3,6.5,11.1,15.2,300,4.042,1.687,1.168,0.251,0.161,6.8
2012,06,2012.06.15,광주천2,1.160,24.9,7.1,6.5,6.0,11.4,10.4,322,7.225,0,0,0.433,0,7.1
2012,06,2012.06.19,광주천2,1.344,24.7,7.5,11.0,7.1,11.1,17.2,245,3.807,0,0,0.252,0,6.4
2012,06,2012.06.28,광주천2,0.895,25.5,7.6,10.2,7.1,8.0,12.4,349,6.729,0,0,0.181,0,5.0
2012,07,2012.07.04,광주천2,0.362,26.7,7.0,9.5,11.4,26.4,47.4,337,2.794,1.623,0.259,0.125,0.104,9.3
2012,07,2012.07.12,광주천2,0.636,27.8,6.7,6.5,6.5,9.2,18.2,315,5.304,0,0,0.281,0,5.7
2012,07,2012.07.16,광주천2,5.367,21.5,8.2,7.2,5.0,6.4,11.4,215,5.303,0,0,0.171,0,3.9
2012,07,2012.07.26,광주천2,0.734,31.5,8.9,11.2,7.4,12.2,16.4,317,4.922,0,0,0.278,0,6.3
2012,08,2012.08.02,광주천2,0.734,29.9,8.5,8.8,6.0,11.0,12.4,293,4.149,3.095,0.106,0.261,0.173,5.8
2012,08,2012.08.08,광주천2,1.136,29.8,7.3,5.4,6.2,10.3,23.0,201,3.419,0,0,0.310,0,6.0
2012,08,2012.08.23,광주천2,3.078,25.3,6.7,8.2,9.8,11.4,25.3,232,5.282,0,0,0.389,0,6.1
2012,08,2012.08.27,광주천2,1.648,26.8,6.5,6.2,6.6,9.5,16.8,276,5.172,0,0,0.308,0,4.6
2012,09,2012.09.04,광주천2,2.027,25.0,6.9,7.5,1.4,5.7,6.9,303,6.699,5.573,0.256,0.160,0.109,2.9
2012,09,2012.09.10,광주천2,7.159,21.7,7.3,7.8,4.9,7.7,7.3,203,4.589,1.614,1.870,0.267,0.242,1.9
2012,09,2012.09.18,광주천2,15.876,19.8,7.7,11.0,2.6,4.9,10.7,157,3.417,1.854,0.879,0.153,0.132,2.3
2012,09,2012.09.25,광주천2,0.784,23.3,8.5,8.1,1.4,4.4,4.9,238,3.441,2.927,0.087,0.080,0.076,1.8
2012,10,2012.10.08,광주천2,1.170,20.6,6.7,11.5,1.6,4.9,6.6,274,3.830,3.600,0.098,0.053,0.041,2.0
2012,10,2012.10.16,광주천2,1.115,18.5,7.6,9.9,2.0,5.4,5.1,266,3.833,3.322,0.085,0.040,0.031,2.9
2012,10,2012.10.24,광주천2,1.309,16.8,7.1,9.1,4.8,7.5,13.0,224,4.601,2.231,0.931,0.137,0.109,4.2
2012,10,2012.10.30,광주천2,1.446,16.7,7.3,8.9,1.8,5.2,8.0,160,2.844,1.676,0.155,0.126,0.093,2.3
2012,11,2012.11.05,광주천2,1.844,13.1,7.7,9.9,1.7,5.2,7.9,169,2.233,1.715,0.085,0.081,0.049,2.6
2012,11,2012.11.12,광주천2,1.585,11.9,6.7,9.6,6.2,6.6,8.5,244,3.846,1.313,1.657,0.192,0.137,4.6
2012,11,2012.11.20,광주천2,1.483,9.3,7.8,10.7,1.8,4.8,2.1,263,2.233,1.715,0.085,0.072,0.046,2.3
2012,11,2012.11.28,광주천2,1.479,8.6,7.6,11.7,2.4,5.8,4.0,287,3.833,2.593,0.555,0.078,0.051,3.1
2012,12,2012.12.03,광주천2,0.825,6.6,7.1,12.8,1.5,5.6,1.9,352,4.414,3.196,0.207,0.071,0.040,2.6
2012,12,2012.12.17,광주천2,1.709,7.9,6.8,10.3,4.8,5.6,9.3,238,4.188,2.673,1.241,0.160,0.100,2.2
2013,01,2013.01.10,광주천2,0.874,1.9,7.1,12.8,2.8,6.9,40.3,384,5.512,3.451,1.495,0.173,0.049,4.5
2013,01,2013.01.15,광주천2,0.766,3.6,7.5,13.4,3.3,8.0,8.3,381,6.274,3.241,2.218,0.129,0.062,6.3
2013,01,2013.01.23,광주천2,1.169,6.4,7.0,11.3,7.1,14.7,37.1,452,8.107,2.588,4.604,0.254,0.145,7.2
2013,01,2013.01.28,광주천2,0.522,2.1,6.4,13.7,4.3,6.2,10.9,328,5.227,3.114,1.428,0.086,0.062,3.3
2013,02,2013.02.06,광주천2,2.190,5.3,6.8,11.8,5.0,7.1,14.5,254,4.465,1.804,2.272,0.184,0.145,4.6
2013,02,2013.02.12,광주천2,1.801,4.2,7.4,13.0,1.9,7.2,3.2,378,6.466,4.419,1.561,0.066,0.022,3.6
2013,02,2013.02.18,광주천2,1.061,4.9,6.9,12.1,3.0,7.5,7.5,285,7.538,3.507,3.358,0.127,0.044,4.3
2013,03,2013.03.08,광주천2,1.047,9.9,7.7,10.7,7.0,10.9,36.8,348,4.877,2.589,1.796,0.177,0.037,7.1
2013,03,2013.03.13,광주천2,13.776,11.3,7.0,9.7,15.9,23.9,176.0,179,5.511,1.085,2.929,0.284,0.104,11.8
2013,03,2013.03.19,광주천2,5.013,11.3,6.9,12.3,4.0,5.5,21.9,143,3.164,2.288,0.730,0.084,0.073,3.2
2013,03,2013.03.27,광주천2,1.285,11.3,7.4,10.2,4.5,6.3,15.0,325,6.843,2.828,3.092,0.087,0.027,4.9
2013,04,2013.04.05,광주천2,1.261,14.5,7.2,9.6,5.2,9.3,23.9,248,6.599,2.613,2.879,0.126,0.022,5.1
2013,04,2013.04.10,광주천2,1.289,11.3,7.8,10.9,5.0,8.6,26.9,302,4.496,3.994,0.347,0.154,0.021,5.2
2013,04,2013.04.17,광주천2,1.386,18.7,7.9,11.0,5.3,7.9,7.7,176,1.549,0.720,0.097,0.076,0.021,5.0
2013,04,2013.04.22,광주천2,2.163,15.3,7.5,10.4,5.1,8.5,20.0,392,7.454,2.868,3.421,0.086,0.049,5.3
2013,05,2013.05.03,광주천2,1.020,16.6,6.7,5.2,4.9,8.9,11.4,207,2.996,1.379,0.765,0.133,0.067,5.3
2013,05,2013.05.07,광주천2,1.001,20.4,6.9,8.6,5.0,9.1,21.7,323,4.522,2.324,1.264,0.114,0.060,5.4
2013,05,2013.05.13,광주천2,0.448,25.2,7.2,7.6,4.9,8.3,14.3,260,2.951,1.134,1.009,0.125,0.098,5.2
2013,05,2013.05.20,광주천2,0.841,19.4,6.9,5.7,8.7,13.3,27.8,258,3.956,0.764,2.304,0.162,0.109,7.1
2013,05,2013.05.28,광주천2,7.094,19.9,7.1,6.2,9.2,12.4,53.9,197,5.282,1.445,3.494,0.299,0.238,6.9
2013,06,2013.06.03,광주천2,1.062,23.9,7.0,7.2,3.6,7.4,19.0,355,4.294,2.154,1.362,0.174,0.133,6.6
2013,06,2013.06.12,광주천2,0.897,23.2,7.3,7.7,4.5,7.1,27.0,189,2.132,1.056,0.418,0.174,0.074,4.2
2013,06,2013.06.17,광주천2,0.782,26.6,7.2,5.7,4.5,8.3,20.5,298,4.274,2.599,1.128,0.241,0.096,5.3
2013,06,2013.06.26,광주천2,1.223,23.6,6.6,6.8,4.5,7.0,23.8,205,2.765,1.725,0.494,0.173,0.111,5.0
2013,07,2013.07.02,광주천2,0.950,28.5,8.6,10.5,5.6,8.6,17.9,313,4.322,2.745,0.388,0.210,0.089,5.4
2013,07,2013.07.08,광주천2,14.189,20.0,7.3,11.1,2.1,4.6,11.1,135,2.944,2.109,0.411,0.122,0.089,2.7
2013,07,2013.07.16,광주천2,0.678,29.8,8.8,10.7,7.2,10.4,20.1,304,3.421,2.436,0.033,0.224,0.090,5.8
2013,07,2013.07.22,광주천2,0.649,29.6,8.7,11.0,3.9,8.7,18.2,355,3.305,2.504,0.034,0.133,0.065,4.7
2013,07,2013.07.30,광주천2,2.867,26.7,7.0,4.0,7.1,9.2,8.4,313,5.192,1.247,3.059,0.350,0.220,5.8
2013,08,2013.08.05,광주천2,20.659,25.4,6.3,5.5,17.7,20.0,148.1,166,4.081,1.265,1.810,0.261,0.108,12.6
2013,08,2013.08.20,광주천2,1.449,30.3,8.2,8.8,5.0,6.8,11.8,140,1.397,0.843,0.042,0.151,0.100,3.5
2013,08,2013.08.26,광주천2,1.692,25.8,7.2,6.4,3.6,5.7,7.7,209,4.198,2.789,0.813,0.193,0.158,3.6
2013,09,2013.09.03,광주천2,1.524,23.3,7.5,8.1,0.9,3.7,4.6,200,2.836,2.307,0.038,0.109,0.084,3.1
2013,09,2013.09.09,광주천2,1.332,24.1,7.2,8.9,4.1,5.8,7.7,285,2.778,2.000,0.073,0.116,0.037,4.5
2013,09,2013.09.24,광주천2,1.298,26.5,7.7,9.9,3.4,5.6,36.4,273,3.533,2.923,0.145,0.161,0.046,5.0
2013,10,2013.10.01,광주천2,1.403,24.5,7.6,10.1,2.5,6.3,11.7,302,4.018,3.005,0.095,0.108,0.042,3.7
2013,10,2013.10.08,광주천2,3.682,23.0,7.4,7.0,9.0,9.1,42.4,268,4.280,2.018,0.863,0.204,0.090,5.9
2013,10,2013.10.14,광주천2,1.357,19.4,7.3,7.6,2.6,4.7,18.8,301,3.579,2.415,0.428,0.188,0.076,4.0
2013,10,2013.10.22,광주천2,1.492,18.2,7.7,9.4,3.0,5.7,59.9,307,3.651,2.866,0.138,0.191,0.044,3.4
2013,10,2013.10.28,광주천2,1.259,14.3,7.3,11.0,2.4,5.0,10.0,321,3.884,3.199,0.007,0.064,0.009,3.1
2013,11,2013.11.04,광주천2,1.328,16.2,7.8,11.1,2.6,5.5,43.9,371,3.772,3.192,0.146,0.155,0.020,4.2
2013,11,2013.11.12,광주천2,1.318,10.6,7.1,8.9,5.0,5.9,17.3,334,3.477,2.098,0.508,0.143,0.035,4.0
2013,11,2013.11.19,광주천2,1.202,9.0,7.2,9.0,7.6,7.6,9.1,394,5.474,3.137,1.370,0.163,0.058,5.6
2013,11,2013.11.27,광주천2,1.128,8.1,7.4,11.6,3.8,5.8,12.0,359,5.429,4.051,0.624,0.097,0.037,4.2
2013,12,2013.12.03,광주천2,0.881,7.6,6.8,10.4,2.9,5.3,5.1,455,4.635,3.939,0.183,0.072,0.025,3.6
2013,12,2013.12.11,광주천2,0.780,7.5,7.2,8.8,9.9,13.6,17.7,463,6.929,2.163,2.944,0.262,0.083,8.6
2013,12,2013.12.16,광주천2,0.795,4.5,7.3,11.5,2.8,5.7,3.6,407,4.396,3.534,0.435,0.072,0.019,4.1
2013,12,2013.12.24,광주천2,0.755,4.7,7.7,11.9,2.8,5.9,14.2,482,5.457,3.906,0.480,0.098,0.014,4.5
2014,01,2014.01.07,광주천2,0.848,4.4,8.5,14.8,4.1,6.7,12.5,424,5.643,4.095,0.445,0.081,0.005,4.3
2014,01,2014.01.13,광주천2,0.735,2.1,8.4,13.5,4.3,6.8,8.9,425,5.705,4.917,0.608,0.079,0.004,4.5
2014,01,2014.01.22,광주천2,0.746,2.2,7.7,12.8,4.4,6.6,11.0,443,5.967,4.378,1.142,0.069,0.004,4.9
2014,01,2014.01.28,광주천2,0.883,5.7,7.9,10.6,6.5,7.7,16.0,466,7.677,3.509,2.453,0.172,0.020,5.3
