T_N,T_P,NH3_N
2.619,0.044,0.151
2.589,0.051,0.145
2.085,0.075,0.077
1.819,0.119,0.158
1.724,0.119,0.306
2.624,0.134,0.323
2.241,0.125,0.074
1.403,0.11,0.063
1.276,0.086,0.062
1.596,0.09,0.126
2.306,0.113,0.304
2.745,0.066,0.183
3.025,0.059,0.236
2.744,0.073,0.248
2.506,0.096,0.181
1.907,0.108,0.14
1.773,0.092,0.121
2.377,0.119,0.249
1.852,0.119,0.089
1.152,0.109,0.071
1.725,0.098,0.162
2.114,0.097,0.076
2.209,0.094,0.06
2.573,0.056,0.077
2.898,0.079,0.224
2.929,0.086,0.222
2.255,0.091,0.062
1.422,0.109,0.024
1.626,0.138,0.124
2.142,0.121,0.286
1.971,0.118,0.162
1.404,0.112,0.091
1.412,0.08,0.038
1.813,0.071,0.092
1.917,0.07,0.192
2.72,0.067,0.269
2.627,0.072,0.246
2.659,0.095,0.075
2.59,0.108,0.202
2.231,0.094,0.064
2.233,0.131,0.252
1.858,0.115,0.12
1.626,0.125,0.039
1.399,0.112,0.028
1.922,0.082,0.031
1.969,0.078,0.032
2.035,0.088,0.013
2.509,0.071,0.078
2.71,0.073,0.092
2.502,0.1,0.13
1.753,0.17,0.036
1.404,0.161,0.165
1.501,0.156,0.272
1.82,0.144,0.177
1.856,0.102,0.103
1.13,0.089,0.039
1.729,0.077,0.037
1.968,0.048,0.031
1.974,0.077,0.05
2.557,0.055,0.077
2.814,0.052,0.275
2.557,0.081,0.299
2.151,0.122,0.296
2.059,0.162,0.392
1.753,0.105,0.198
2.493,0.09,0.427
2.106,0.114,0.191
1.428,0.107,0.269
0.879,0.056,0.045
1.069,0.051,0.047
1.864,0.093,0.17
2.634,0.071,0.185
2.642,0.056,0.198
2.932,0.073,0.246
2.471,0.098,0.223
2.104,0.106,0.102
1.65,0.068,0.061
2.234,0.077,0.188
2.145,0.09,0.127
1.111,0.098,0.074
1.548,0.082,0.078
2.05,0.123,0.128
2.234,0.074,0.057
2.767,0.095,0.312
2.876,0.078,0.255
2.727,0.077,0.168
1.926,0.106,0.087
1.799,0.152,0.172
1.591,0.123,0.283
2.192,0.102,0.266
2.301,0.156,0.378
1.697,0.138,0.237
1.082,0.079,0.043
1.412,0.067,0.049
2.115,0.103,0.402
2.832,0.11,0.227
2.902,0.092,0.174
2.453,0.073,0.129
2.838,0.122,0.329
2.285,0.115,0.126
2.297,0.124,0.191
1.731,0.105,0.118
1.676,0.139,0.067
1.054,0.14,0.047
1.855,0.101,0.061
1.893,0.1,0.082
1.993,0.104,0.078
2.922,0.102,0.191
2.539,0.086,0.1
2.396,0.116,0.087
2.158,0.145,0.247
2.63,0.153,0.606
1.827,0.144,0.285
2.04,0.095,0.169
2.075,0.12,0.187
1.685,0.144,0.115
1.805,0.117,0.077
2.095,0.078,0.065
2.508,0.118,0.414
2.439,0.133,0.113
8.417,0.088,4.182
9.795,0.116,5.869
10.757,0.103,6.915
8.068,0.164,4.006
6.933,0.081,3.373
5.847,0.085,2.969
3.482,0.142,1.219
4.637,0.162,2.118
4.47,0.081,1.372
6.371,0.119,1.86
5.647,0.1,1.743
6.283,0.071,1.505
7.986,0.078,2.403
7.365,0.114,3.088
8.296,0.197,3.339
6.496,0.195,2.19
4.834,0.147,1.77
6.267,0.156,2.91
4.403,0.153,1.588
5.729,0.137,2.185
4.198,0.121,1.672
4.29,0.198,1.158
7.694,0.082,2.517
8.209,0.132,2.823
9.673,0.14,4.036
11.091,0.164,6.001
9.863,0.197,6.093
7.39,0.115,3.024
10.628,0.153,5.755
7.221,0.113,3.318
4.371,0.175,1.908
5.23,0.223,2.715
5.886,0.128,2.389
6.957,0.094,3.205
8.074,0.089,3.185
7.947,0.119,4.105
10.486,0.136,5.766
11.501,0.106,8.594
8.14,0.191,5.037
7.026,0.166,3.789
5.548,0.236,3.31
5.33,0.114,3.187
6.915,0.208,4.75
7.542,0.187,5.504
5.072,0.166,2.862
7.143,0.192,3.638
9.608,0.255,6.539
11.538,0.344,5.954
9.384,0.122,6.281
11.656,0.142,8.402
10.815,0.164,7.551
9.274,0.172,6.071
7.874,0.114,5.367
6.385,0.112,3.942
5.356,0.194,2.642
6.017,0.194,3.341
5.499,0.13,2.948
5.346,0.071,2.249
9.085,0.266,5.656
7.204,0.148,3.474
8.761,0.067,4.415
10.932,0.147,6.85
10.242,0.114,6.249
8.951,0.182,5.049
7.332,0.084,3.186
6.937,0.151,3.493
5.811,0.238,2.853
4.643,0.152,1.874
4.66,0.116,1.573
6.932,0.077,1.882
5.911,0.176,2.275
6.597,0.146,1.961
9.137,0.098,3.414
6.839,0.132,2.485
7.869,0.196,3.352
6.931,0.175,1.887
5.656,0.149,2.084
6.225,0.201,2.346
5.307,0.143,1.774
4.636,0.15,1.473
4.028,0.196,1.563
5.482,0.357,2.383
8.822,0.204,3.849
9.259,0.217,3.439
9.09,0.146,3.477
11.508,0.247,6.22
11.999,0.269,7.117
9.085,0.207,4.256
10.442,0.203,4.971
8.115,0.184,3.81
5.742,0.516,2.923
4.591,0.216,2.064
5.081,0.101,1.734
7.089,0.113,2.235
9.258,0.1,3.908
10.065,0.196,5.974
10.623,0.113,5.629
13.092,0.161,9.924
8.196,0.257,5.222
7.347,0.162,4.216
5.893,0.132,3.525
7.381,0.153,4.754
7.084,0.172,4.855
7.556,0.181,5.148
3.956,0.148,1.887
7.284,0.176,3.738
8.897,0.233,5.302
10.973,0.122,5.465
9.617,0.102,5.488
11.121,0.127,7.307
12.329,0.345,7.752
11.365,0.301,7.563
8.55,0.208,5.852
9.042,0.243,5.68
6.302,0.175,3.53
6.871,0.137,3.824
6.367,0.179,3.518
6.96,0.072,2.819
9.148,0.146,4.589
9.071,0.321,4.343
6.382,0.115,3.178
7.327,0.11,4.068
7.658,0.147,4.521
5.658,0.162,2.966
5.195,0.14,2.582
4.456,0.126,1.874
3.352,0.137,0.953
4.168,0.19,1.283
4.487,0.153,1.428
4.514,0.118,1.064
5.011,0.202,1.801
4.916,0.169,1.234
6.783,0.124,1.672
5.428,0.154,1.762
4.855,0.176,1.311
3.833,0.137,0.889
4.087,0.14,1.309
4.023,0.146,1.365
3.277,0.166,1.072
3.845,0.204,1.669
3.613,0.152,1.076
3.153,0.192,0.807
5.604,0.163,1.577
6.097,0.122,1.738
6.447,0.114,1.892
7.673,0.154,3.512
8.267,0.121,4.164
6.152,0.159,3.048
7.44,0.133,3.606
4.55,0.106,1.528
3.847,0.176,1.711
4.244,0.181,2.362
3.163,0.105,0.858
5.166,0.091,1.926
6.34,0.087,2.229
7.16,0.117,3.507
8.883,0.125,5.352
11.563,0.177,8.907
7.031,0.199,4.46
6.849,0.203,3.832
4.675,0.183,2.27
5.959,0.128,3.329
5.545,0.214,2.853
5.043,0.227,2.788
4.876,0.19,2.516
4.942,0.158,2.397
5.688,0.209,2.488
6.668,0.14,2.556
9.198,0.154,3.972
7.597,0.195,3.777
8.271,0.194,5.145
6.569,0.358,3.919
5.09,0.197,2.642
4.433,0.2,2.53
4.12,0.163,1.928
3.918,0.181,1.575
3.411,0.129,1.138
4.156,0.063,1.075
6.361,0.086,2.714
7.155,0.116,2.998
5.856,0.068,2.11
6.947,0.098,2.936
6.171,0.119,2.744
5.165,0.102,2.464
3.813,0.082,1.226
4.153,0.073,1.602
3.044,0.114,0.712
2.783,0.117,0.842
2.826,0.086,0.54
3.388,0.064,0.561
4.555,0.123,1.242
4.416,0.139,1.055
5.413,0.064,0.824
4.67,0.124,1.267
4.157,0.109,0.852
3.177,0.127,0.594
2.951,0.139,0.414
3.651,0.125,1.05
2.869,0.156,0.501
2.829,0.185,0.63
3.005,0.133,0.586
2.63,0.165,0.525
4.601,0.136,1.033
5.861,0.108,1.319
5.527,0.115,1.166
6.399,0.142,2.049
6.833,0.122,2.948
5.17,0.149,1.971
6.118,0.137,2.333
4.408,0.105,1.263
2.964,0.165,0.959
3.362,0.147,1.427
2.674,0.089,0.46
4.097,0.078,1.08
5.516,0.086,1.439
7.135,0.147,3.026
7.06,0.134,3.091
9.613,0.169,6.366
5.919,0.193,2.933
5.105,0.128,2.179
3.761,0.147,1.383
4.245,0.125,1.3
4.454,0.156,1.672
3.563,0.181,1.264
3.203,0.106,0.576
3.558,0.145,0.755
4.909,0.166,1.756
5.626,0.135,1.513
7.469,0.126,2.345
6.43,0.174,2.569
5.814,0.183,2.738
5.298,0.194,2.896
3.962,0.184,1.938
3.317,0.15,1.516
2.78,0.124,0.751
3.215,0.16,1.074
3.222,0.128,0.811
3.441,0.075,0.551
5.353,0.08,1.583
6.336,0.095,2.046
5.869,0.071,1.901
6.715,0.076,2.553
6.56,0.084,2.783
4.981,0.099,2.15
3.524,0.067,1.013
3.908,0.059,1.412
3.17,0.093,0.764
2.623,0.123,0.536
2.418,0.083,0.491
2.828,0.073,0.509
4.368,0.114,1.233
4.31,0.109,0.869
5.387,0.061,0.672
4.871,0.112,1.315
4.154,0.092,0.899
4.586,0.114,1.091
2.929,0.087,0.326
3.651,0.133,0.913
2.492,0.098,0.185
2.581,0.112,0.451
2.955,0.15,0.555
2.941,0.169,0.562
4.892,0.088,0.778
6.227,0.088,1.172
5.143,0.077,0.819
7.245,0.087,1.707
