pH,DO,Temp,EC,Flow,Rain
7.2,13.9,4.3,279,4.897,47.2
7.1,12.7,4.8,315,4.571,23.9
7.6,12.2,8.3,376,2.509,36.5
7.6,10,15.4,285,5.934,145.5
7.2,7.8,19.7,255,5.461,48.6
7,7.8,23.3,268,4.959,96.1
7.2,7.7,26,237,9.366,164.3
7,7.7,26.2,231,6.264,148.9
7.2,8.4,21.8,290,4.607,66.6
7.1,9,18.2,298,4.505,90.9
7,9.7,13.5,294,5.923,121.9
7,12.3,7.3,301,6.722,59.2
7.5,12.3,4.7,317,3.479,49.9
7.1,13.5,4.7,271,7.489,45.2
7.2,12,9,287,6.155,55.2
7.3,10.1,16,255,9.168,185
7.1,11.2,19.8,264,7.687,104.5
6.9,6.9,23.5,243,7.129,116.1
7.1,7.9,26.1,204,8.753,301.4
7,7.3,27.8,286,6.257,81
7.3,8.2,22.9,204,16.274,251.3
7.3,8.7,18.7,190,14.034,216.7
7.6,10.6,11.8,323,3.671,31.5
7.8,12.3,6.1,356,3.439,44.9
7.4,11.6,3.8,327,3.23,11.7
7.8,12.5,4.8,307,3.538,41.9
7.7,13.6,10.1,366,2.81,7.8
8.5,11.4,15.9,329,2.707,8.9
7.8,10.9,20.6,364,2.093,28.1
6.9,7.3,23.7,332,3.473,42.1
7.3,6.6,26.9,225,10.418,211.7
7.3,7.5,26.5,183,31.665,273.8
7.2,8.4,22.4,221,12.089,108.8
7.8,11.6,17.2,346,3.39,85.4
7.9,11.9,8.8,493,2.222,2.1
7.4,12.7,4.2,363,2.623,28.5
8,12.1,3.3,328,2.826,38.8
8.2,9.5,4,440,2.31,22
7.2,10.7,11,261,11.389,115.8
7.6,9.8,15.6,272,6.176,127.4
7.4,9.2,20.2,253,7.879,85.4
7.1,6.9,24.7,255,5.507,222.4
7.5,8,27.3,276,26.962,84.5
7.2,7.4,26.9,305,32.126,397.1
7.5,9.7,23.1,182,11.455,129.7
8,11.3,16.2,272,6.158,125.2
7.5,10.4,11.2,305,2.32,47.2
7.7,13,5.9,319,3.693,32.4
7.9,12.5,3.4,383,2.649,16.4
7.9,13.1,4.7,333,2.677,37
8.4,12.5,9.5,337,2.001,33.9
8.2,10.6,15.1,315,2.843,84.7
8,8.2,19.7,278,5.198,78.8
6.9,8.6,23.2,252,5.329,158
7.2,7.7,25.5,216,13.018,242.2
7,7.8,27.1,219,6.699,64.8
7.2,8.2,23.2,236,10.641,165.8
7.6,10.3,16.8,252,6.811,149.9
7.8,9.6,12.6,318,3.572,22.8
7.9,11.9,5.9,344,3.814,31.6
7.8,16.9,4.9,311,4.897,47.2
8,12.2,5.7,312,4.571,23.9
8.3,11.2,9.8,329,2.509,36.5
8.1,9.2,15.8,264,5.934,145.5
8.3,9.7,21.2,187,5.461,48.6
8,8.7,24.7,239,4.959,96.1
7.6,7.8,25.4,178,9.366,164.3
7.8,6.9,27.2,171,6.264,148.9
7.9,8.8,24.4,223,4.607,66.6
8,11.8,19.8,248,4.505,90.9
7.7,10.4,14.5,292,5.923,121.9
7.6,12.2,9.2,303,6.722,59.2
7.7,14.7,4.2,328,3.479,49.9
7.7,13.6,5.2,319,7.489,45.2
8,12.4,10.7,257,6.155,55.2
8.4,11,17.8,205,9.168,185
8,9.1,21.5,212,7.687,104.5
7.8,8,24,222,7.129,116.1
7.7,8.6,27.1,204,8.753,301.4
8,8,28.7,244,6.257,81
7.9,10.5,24.6,212,16.274,251.3
7.7,10.3,18.4,197,14.034,216.7
8.4,12.2,11.7,230,3.671,31.5
8,13.4,6.3,290,3.439,44.9
8,14.2,4.7,336,3.23,11.7
7.9,13.3,5.7,321,3.538,41.9
8.2,12.8,9.8,282,2.81,7.8
8.3,10.1,16.7,276,2.707,8.9
8,11.5,20.9,311,2.093,28.1
8.1,10.4,24.3,245,3.473,42.1
7.9,6.9,27.3,217,10.418,211.7
7.7,7.9,27.3,161,31.665,273.8
8,9.3,24.4,188,12.089,108.8
8.3,10.5,19,281,3.39,85.4
8.2,13.5,11.2,339,2.222,2.1
7.9,13.4,5.2,376,2.623,28.5
7.9,14.8,4.7,355,2.826,38.8
8.2,11.2,4.3,354,2.31,22
7.4,11.6,12,263,11.389,115.8
7.9,10.9,15.9,229,6.176,127.4
7.9,10.4,21.2,215,7.879,85.4
7.8,9.3,25.6,251,5.507,222.4
7.7,10.3,26.8,182,26.962,84.5
8,8.8,28.7,176,32.126,397.1
7.8,8.9,24.7,175,11.455,129.7
8,12.4,17.7,283,6.158,125.2
7.9,15,11.3,289,2.32,47.2
7.8,9.7,6.6,294,3.693,32.4
7.6,14.4,4.6,304,2.649,16.4
7.5,12.8,5.9,288,2.677,37
8,12.6,8.8,256,2.001,33.9
8.1,10.8,15.2,275,2.843,84.7
8.3,10.8,19.6,240,5.198,78.8
7.8,8.4,23.6,207,5.329,158
7.9,9.6,24.4,196,13.018,242.2
8.3,9,27.5,188,6.699,64.8
7.8,9.4,23.8,202,10.641,165.8
8,12.7,18.8,209,6.811,149.9
7.9,11.2,13.3,256,3.572,22.8
8.5,17.7,6.5,305,3.814,31.6
7.5,14.9,7.9,413,4.897,47.2
7.6,11.5,8.9,450,4.571,23.9
7.5,10.4,11.9,468,2.509,36.5
7.5,9.3,17.1,393,5.934,145.5
7.6,9.2,22.1,378,5.461,48.6
7.7,9.1,24.4,329,4.959,96.1
7.7,7.5,25.7,240,9.366,164.3
7.6,7.5,27.2,285,6.264,148.9
7.7,8.5,24.6,304,4.607,66.6
7.5,9.7,20.7,345,4.505,90.9
7.5,9.4,16.2,380,5.923,121.9
7.2,10.5,11.8,416,6.722,59.2
7.4,13.1,7.5,481,3.479,49.9
7.5,12.4,7.4,410,7.489,45.2
7.2,10.5,12.5,408,6.155,55.2
7.9,9.4,18.5,281,9.168,185
7.5,9.1,21.3,299,7.687,104.5
7.4,7.5,24.5,326,7.129,116.1
7.6,9,27.1,265,8.753,301.4
7.8,8.3,28.4,348,6.257,81
7.5,8.5,24.9,304,16.274,251.3
7.1,10,19.7,268,14.034,216.7
7.5,10.9,14.6,336,3.671,31.5
7.7,12.4,11.2,469,3.439,44.9
7.6,12.4,8.1,468,3.23,11.7
7.5,11.9,9,443,3.538,41.9
7.6,11.5,12.6,458,2.81,7.8
7.6,10.3,17.8,379,2.707,8.9
7.6,9.6,22.2,494,2.093,28.1
7.9,11.5,24.7,352,3.473,42.1
7.6,7.1,27.1,269,10.418,211.7
7.5,8.1,27,210,31.665,273.8
7.3,7.5,24.3,361,12.089,108.8
7.4,9,20.5,414,3.39,85.4
7.5,10.9,13.8,479,2.222,2.1
7.7,12.3,8.2,512,2.623,28.5
7.5,13,8.4,485,2.826,38.8
7.8,13.7,9,448,2.31,22
7.2,11.3,13.3,337,11.389,115.8
7.5,10.8,16.5,326,6.176,127.4
7.7,11.1,21.2,309,7.879,85.4
7.3,9.8,25.8,303,5.507,222.4
7.3,8.2,26.8,321,26.962,84.5
7.6,8.8,29.3,357,32.126,397.1
7.3,7.8,24.7,262,11.455,129.7
7.4,11.4,18.9,393,6.158,125.2
7.7,9.6,14.7,442,2.32,47.2
7.6,8.2,9.4,449,3.693,32.4
7.3,12.4,8.6,474,2.649,16.4
7.3,11.8,8.8,458,2.677,37
7.6,10.8,12.9,385,2.001,33.9
7.5,9.5,15.6,398,2.843,84.7
7.5,9,19.9,379,5.198,78.8
7.6,8.9,24.1,335,5.329,158
7.4,8.1,25.6,272,13.018,242.2
7.6,8,27.5,315,6.699,64.8
7.4,9.2,24.3,280,10.641,165.8
7.4,11.4,19.6,292,6.811,149.9
7.4,9.8,15.4,398,3.572,22.8
7.7,13.8,10,414,3.814,31.6
7.5,15.4,7.3,412,4.897,47.2
7.5,9.7,8.5,468,4.571,23.9
7.5,10.7,12,483,2.509,36.5
7.3,8.1,17.5,418,5.934,145.5
8,10.8,23.8,376,5.461,48.6
7.8,10.5,25.4,333,4.959,96.1
7.6,6.6,25.8,284,9.366,164.3
7.5,7.8,28,285,6.264,148.9
7.8,9.9,25.5,326,4.607,66.6
7.4,10.6,21.1,385,4.505,90.9
7.4,9,16.1,377,5.923,121.9
7.2,10.7,10.9,414,6.722,59.2
7.3,12.6,7.4,467,3.479,49.9
7.5,12.8,7.3,394,7.489,45.2
7.2,10.6,12.3,382,6.155,55.2
8,11,19.1,297,9.168,185
7.5,9.8,21.9,329,7.687,104.5
7.6,9.3,25.8,317,7.129,116.1
7.8,10.6,27.8,272,8.753,301.4
8.3,9.4,29.9,322,6.257,81
7.6,8.2,25.2,247,16.274,251.3
7,8.1,20,269,14.034,216.7
7.5,10.1,14.5,342,3.671,31.5
7.5,12,11,493,3.439,44.9
7.5,12.8,7.8,465,3.23,11.7
7.4,11.3,8.8,456,3.538,41.9
7.6,10.9,12.3,453,2.81,7.8
7.9,12.3,18.7,404,2.707,8.9
8.3,14.2,24.3,477,2.093,28.1
8.2,13,25.5,348,3.473,42.1
7.5,6.1,27.9,283,10.418,211.7
7.6,7.4,28.1,211,31.665,273.8
7.6,9.5,24.7,330,12.089,108.8
7.6,10.5,20.7,410,3.39,85.4
7.3,10.8,13.9,518,2.222,2.1
7.4,11.5,8.4,539,2.623,28.5
7.3,12.3,8.5,489,2.826,38.8
7.6,12.4,8.5,465,2.31,22
7,9.5,13.3,329,11.389,115.8
7.3,10.3,16.4,336,6.176,127.4
7.4,11.6,21.4,334,7.879,85.4
7.3,11.5,25.7,342,5.507,222.4
7.1,9,26.5,320,26.962,84.5
7.6,9.9,29.1,351,32.126,397.1
7.2,8.6,24.8,253,11.455,129.7
7.3,11.3,18.6,397,6.158,125.2
7.5,10.4,14.1,433,2.32,47.2
7.3,8.2,9.5,485,3.693,32.4
7.3,12.7,8.5,496,2.649,16.4
7,11.8,8.8,473,2.677,37
7.4,10,12.8,398,2.001,33.9
7.3,9.1,15.4,434,2.843,84.7
7.4,8.9,19.7,387,5.198,78.8
7.5,8.4,23.6,377,5.329,158
7.1,7,25.1,264,13.018,242.2
7.2,7.4,27.4,321,6.699,64.8
7.2,7.8,23.9,294,10.641,165.8
7.3,10.7,19.2,318,6.811,149.9
7.3,10.3,15,423,3.572,22.8
7.3,12.7,10.3,452,3.814,31.6
6.9,11.9,5.6,403,20.63,47.2
7.1,12.6,6.5,422,18.073,23.9
7.4,12,10.4,430,12.371,36.5
7.2,7.5,15.8,346,22.021,145.5
7,6.4,20.9,309,19.311,48.6
6.7,6.8,23.9,290,19.118,96.1
7.5,7.1,26.2,237,38.434,164.3
7.3,6.7,27.8,291,21.543,148.9
7.2,8.1,24,322,19.761,66.6
7,8.9,20.1,313,14.647,90.9
6.7,5.8,15.6,349,21.203,121.9
6.6,9.2,9,341,23.383,59.2
7.2,12.8,6.6,417,15.677,49.9
7.1,12,6.9,355,23.339,45.2
