pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7.8,16.9,4.9,311,1.9,4.5,4.5,2.814,0.052,2.4,39700,0.275,0.023,7.3,3300,47.2
8,12.2,5.7,312,3.1,5.6,5.7,2.557,0.081,2.7,11400,0.299,0.047,13.2,675,23.9
8.3,11.2,9.8,329,5.1,8.8,14.3,2.151,0.122,3.8,10800,0.296,0.019,62.1,840,36.5
8.1,9.2,15.8,264,5.1,10.2,15.6,2.059,0.162,4.6,64500,0.392,0.073,51.9,2725,145.5
8.3,9.7,21.2,187,4.8,10.1,26.4,1.753,0.105,4.5,18000,0.198,0.039,38.8,1700,48.6
8,8.7,24.7,239,3.5,9.8,14.7,2.493,0.09,5.6,12250,0.427,0.033,25.7,1025,96.1
7.6,7.8,25.4,178,3.3,8.1,18.6,2.106,0.114,5,141000,0.191,0.063,17.2,8000,164.3
7.8,6.9,27.2,171,3.2,7.6,15.8,1.428,0.107,3.8,82000,0.269,0.064,24.6,11700,148.9
7.9,8.8,24.4,223,1.7,6,7.5,0.879,0.056,3.4,17500,0.045,0.033,16.7,1300,66.6
8,11.8,19.8,248,3.6,7.5,9.7,1.069,0.051,3.6,14500,0.047,0.012,34.4,2550,90.9
7.7,10.4,14.5,292,2.6,7.8,8.3,1.864,0.093,3.7,28900,0.17,0.048,19.8,4750,121.9
7.6,12.2,9.2,303,1.8,5.3,6.7,2.634,0.071,2.9,54000,0.185,0.038,4.8,1075,59.2
7.7,14.7,4.2,328,1.9,4.5,4.4,2.642,0.056,2.3,14750,0.198,0.026,7.5,500,49.9
7.7,13.6,5.2,319,2.6,6.1,7.8,2.932,0.073,2.8,18750,0.246,0.032,10.5,1100,45.2
8,12.4,10.7,257,3.6,7.6,21.2,2.471,0.098,3.5,11136,0.223,0.029,27.6,2780,55.2
8.4,11,17.8,205,4.6,10.2,16.5,2.104,0.106,4.2,3300,0.102,0.02,54.7,875,185
8,9.1,21.5,212,3,7.5,10.7,1.65,0.068,4.1,4800,0.061,0.02,25.7,390,104.5
7.8,8,24,222,2.8,9.2,11.8,2.234,0.077,5.2,1900,0.188,0.032,25.1,504,116.1
7.7,8.6,27.1,204,2.2,7.3,9.3,2.145,0.09,3.6,4825,0.127,0.056,17.5,2940,301.4
8,8,28.7,244,2.9,7.6,9.4,1.111,0.098,4.1,9280,0.074,0.049,35.1,3960,81
7.9,10.5,24.6,212,2.1,7.1,6.9,1.548,0.082,3.8,14325,0.078,0.045,14.6,4850,251.3
7.7,10.3,18.4,197,2.4,6.3,9.4,2.05,0.123,3.7,13650,0.128,0.084,5.7,4750,216.7
8.4,12.2,11.7,230,3.6,5.1,7,2.234,0.074,4,13640,0.057,0.02,45.3,2960,31.5
8,13.4,6.3,290,3.5,4.9,9.5,2.767,0.095,3.1,41000,0.312,0.026,26.8,11000,44.9
8,14.2,4.7,336,2.8,4.9,7.8,2.876,0.078,2.8,9450,0.255,0.039,9.2,2525,11.7
7.9,13.3,5.7,321,3.6,5.9,13.3,2.727,0.077,3.7,8640,0.168,0.018,22.8,2456,41.9
8.2,12.8,9.8,282,5.7,9.4,20.9,1.926,0.106,5.5,17300,0.087,0.036,120.6,1200,7.8
8.3,10.1,16.7,276,8.1,12.4,28.3,1.799,0.152,6.7,33500,0.172,0.046,117.7,8610,8.9
8,11.5,20.9,311,4.8,11.3,20.1,1.591,0.123,6.9,16725,0.283,0.038,32.8,748,28.1
8.1,10.4,24.3,245,5,12.3,19.1,2.192,0.102,6.9,30750,0.266,0.029,53.7,5750,42.1
7.9,6.9,27.3,217,3.1,9.1,13.7,2.301,0.156,5.1,70750,0.378,0.095,14.2,29465,211.7
7.7,7.9,27.3,161,2.9,8.4,30.7,1.697,0.138,4.4,266500,0.237,0.081,24.1,208250,273.8
8,9.3,24.4,188,1.9,6.7,15.3,1.082,0.079,3.8,25550,0.043,0.04,37.4,8435,108.8
8.3,10.5,19,281,3,6.2,7.8,1.412,0.067,3.3,8000,0.049,0.022,46.3,3725,85.4
8.2,13.5,11.2,339,4.6,7.5,9.3,2.115,0.103,4.1,36650,0.402,0.018,58.2,19525,2.1
7.9,13.4,5.2,376,4.1,7.4,8.4,2.832,0.11,4.4,62750,0.227,0.018,43.1,12425,28.5
7.9,14.8,4.7,355,4.6,7.3,10.7,2.902,0.092,3.8,71250,0.174,0.012,53.8,8600,38.8
8.2,11.2,4.3,354,3.6,7.4,9.3,2.453,0.073,3.6,16450,0.129,0.013,40.2,988,22
7.4,11.6,12,263,3.6,8.5,19.8,2.838,0.122,4.8,65250,0.329,0.03,49.9,5203,115.8
7.9,10.9,15.9,229,3.5,8.1,21.7,2.285,0.115,4.2,40500,0.126,0.032,55.6,9900,127.4
7.9,10.4,21.2,215,3.5,8.8,31.6,2.297,0.124,5.1,90000,0.191,0.059,51,1898,85.4
7.8,9.3,25.6,251,3.2,10.2,22.2,1.731,0.105,5.8,14400,0.118,0.027,66,1313,222.4
7.7,10.3,26.8,182,2.7,9.1,31,1.676,0.139,4.5,13850,0.067,0.073,55.9,3132,84.5
8,8.8,28.7,176,2.6,7.9,17,1.054,0.14,4.4,7000,0.047,0.078,47.4,6125,397.1
7.8,8.9,24.7,175,0.8,4.8,7.3,1.855,0.101,2.9,7800,0.061,0.05,35.9,2417,129.7
8,12.4,17.7,283,2.8,6,9.6,1.893,0.1,3.6,11720,0.082,0.032,42.7,3380,125.2
7.9,15,11.3,289,3.3,6.1,9.4,1.993,0.104,3.8,22875,0.078,0.02,47.5,3020,47.2
7.8,9.7,6.6,294,2.9,5.3,6.8,2.922,0.102,3,33175,0.191,0.038,29.1,3538,32.4
7.6,14.4,4.6,304,3,5.6,5.5,2.539,0.086,3.2,7800,0.1,0.021,28,1485,16.4
7.5,12.8,5.9,288,4.1,8.8,12.3,2.396,0.116,3.6,7800,0.087,0.012,57.7,550,37
8,12.6,8.8,256,6.1,10,20.7,2.158,0.145,5.4,30200,0.247,0.024,95.3,2410,33.9
8.1,10.8,15.2,275,6.1,10.6,17,2.63,0.153,5.5,83732,0.606,0.022,52.9,3567,84.7
8.3,10.8,19.6,240,4.7,10.5,23.7,1.827,0.144,5.5,8775,0.285,0.031,32,2975,78.8
7.8,8.4,23.6,207,3.3,10.3,13.3,2.04,0.095,6,13495,0.169,0.04,31.3,2265,158
7.9,9.6,24.4,196,2.6,9.2,16.5,2.075,0.12,5.2,23525,0.187,0.062,23.7,3400,242.2
8.3,9,27.5,188,2.9,8.8,31.2,1.685,0.144,5.5,106875,0.115,0.082,26.3,76490,64.8
7.8,9.4,23.8,202,1.2,6.7,5.9,1.805,0.117,3.6,13000,0.077,0.071,12,3120,165.8
8,12.7,18.8,209,1.6,5.6,7.2,2.095,0.078,3.3,12550,0.065,0.037,18.9,3005,149.9
7.9,11.2,13.3,256,2.9,8.5,18.3,2.508,0.118,4.3,170175,0.414,0.046,17.3,23885,22.8
8.5,17.7,6.5,305,5.9,9.5,22.5,2.439,0.133,4.3,17120,0.113,0.022,100.1,3041,31.6
