pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC
7.7,17.6,5.3,374,2.4,5.2,5,5.869,0.071,2.9,1925,1.901,0.039,21.6,80
7.6,14.5,6.3,336,4.6,7.5,8.2,6.715,0.076,3.7,1475,2.553,0.015,77.5,86
8.5,13.4,10.5,374,6.5,10.6,13.9,6.56,0.084,4.8,656,2.783,0.011,116.3,55
8,9.6,16.3,314,5.3,9.6,9.6,4.981,0.099,4.8,5750,2.15,0.038,63.8,256
7.8,8.7,22.1,225,4.3,9.2,8.7,3.524,0.067,4.3,6500,1.013,0.027,29.9,55
8.3,10.3,26,314,4.5,11.1,12,3.908,0.059,5.5,3000,1.412,0.015,31.6,36
7.7,8.5,25.5,202,4.3,10.1,10.2,3.17,0.093,5.1,5200,0.764,0.047,30.8,200
8.2,10.4,28.8,220,8.5,16.4,23.6,2.623,0.123,4.3,8650,0.536,0.055,149.6,158
7.9,8.9,25.1,241,3,8.3,10,2.418,0.083,4.1,3215,0.491,0.047,41.6,82
7.8,8.6,20.3,222,2.9,7.8,10.4,2.828,0.073,3.8,520,0.509,0.033,28.5,256
7.5,8,14.8,346,3.2,7.6,10,4.368,0.114,3.7,2060,1.233,0.081,24,735
7.3,12,8.2,341,2.4,6.3,6.5,4.31,0.109,3.2,2250,0.869,0.075,18.5,780
8.3,16.5,5.7,374,4.3,7.7,11.1,5.387,0.061,3.6,1000,0.672,0.009,85.2,165
7.7,12.8,6.3,363,3,7,8,4.871,0.112,3.4,2050,1.315,0.073,27.3,240
8,11.3,11.3,276,3.6,7.9,12.1,4.154,0.092,3.8,1788,0.899,0.04,41.2,242
7.9,10.5,16.9,269,3.6,8.7,6.3,4.586,0.114,4.1,325,1.091,0.051,17.8,115
8.1,11.6,21,216,6,8.5,12.3,2.929,0.087,4,975,0.326,0.024,77.5,295
8.1,10.1,25.6,271,6.2,12.3,17.2,3.651,0.133,5.1,86,0.913,0.048,55.4,37
8.5,14.4,28.7,192,5.5,10.5,17.9,2.492,0.098,4.1,186,0.185,0.05,86.9,93
8.7,11.1,30.6,261,10.9,19,38.1,2.581,0.112,6.7,213,0.451,0.056,152.3,147
8.1,10.1,25.7,226,3.8,10.4,9.5,2.955,0.15,4.9,324,0.555,0.092,31.6,223
7.3,9.7,19.2,187,2.3,6.2,7.7,2.941,0.169,3.6,3110,0.562,0.12,13.9,1988
7.8,12.1,13.5,260,3.1,5.8,7.8,4.892,0.088,3.6,948,0.778,0.036,42.3,550
7.8,13.4,8.6,411,2.7,5.8,5.1,6.227,0.088,3.5,1775,1.172,0.034,25.9,330
8,15.3,6.4,380,4.5,7.4,12.9,5.143,0.077,4.2,1725,0.819,0.018,64,175
8.3,15.1,6.4,389,4.9,8.6,15.7,7.245,0.087,5.3,408,1.707,0.005,128.3,121
7.9,13.1,10.4,391,5,8.5,11.4,6.284,0.157,5.2,438,2.112,0.027,65.2,71
7.8,11.1,17.4,344,5.5,8.4,8.4,5.551,0.102,5.8,580,2.079,0.029,62,85
8.3,12,24,409,4.1,11.5,10.5,5.377,0.081,7.1,1115,1.613,0.018,38.9,60
8.3,12.4,26,336,5.8,15.8,31.9,4.768,0.125,7,1560,1.293,0.025,60.7,380
7.9,7.7,28.4,228,4.1,10.6,12.6,3.857,0.186,5.7,3470,1.285,0.106,64.2,1170
8.2,9.5,29,232,5.2,9.8,23.5,3.293,0.172,4.9,12600,1.142,0.083,77.1,9458
7.9,9,24.9,223,2.1,7.3,19,2.645,0.101,4.3,1065,0.312,0.051,43.8,580
7.8,10.4,20,301,3.4,6.8,12.2,3.789,0.083,3.7,1183,0.582,0.024,45.3,918
7.5,11,12.7,448,3,7.7,10.7,5.276,0.066,4.2,908,1.108,0.007,51.9,664
7.8,14.5,6,525,5.4,9.3,16.8,7.247,0.09,5.2,1375,2.014,0.003,103,486
8.2,14.9,5.6,437,5.8,11,18.8,7.636,0.122,5.6,1130,2.905,0.021,129.5,120
8.3,16.1,5.5,447,4.6,9.7,13.7,9.432,0.089,5.1,835,5.143,0.008,64.8,420
7.6,13.1,13.1,320,5.4,10.4,24.8,6.634,0.15,5.2,5850,3.393,0.044,60.9,1004
7.7,11.4,17.4,290,5.1,8.9,28.1,5.022,0.121,4.5,22550,1.958,0.032,52.1,4505
7.6,13.4,21.7,270,5.2,9.1,20.1,3.941,0.127,5.3,6450,1.492,0.039,97.8,1005
7.7,12.4,26.7,288,5.7,11.9,21,4.233,0.153,5,1259,1.245,0.042,68.5,38
7.8,10.2,28.5,237,6.4,11.6,38.7,3.507,0.231,5.7,5804,0.677,0.071,134.5,1958
7.6,7.6,29.2,238,3.3,10.6,30.9,3.16,0.191,5.1,3915,1.167,0.106,63.7,2243
7.5,9.9,25.1,186,3,8.1,13.9,2.85,0.157,3.5,5867,0.412,0.062,88.1,3767
7.9,13.8,18.6,296,3.7,7.2,18.8,3.803,0.103,4.5,5700,0.413,0.051,98.4,3020
7.8,12.7,14.5,319,3.6,7,15.8,3.104,0.097,4.3,2963,0.726,0.019,56.1,571
