pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
6.9,11.9,5.6,403,2.5,5,6.4,6.382,0.115,4.5,6880,3.178,0.055,7.1,155,20.63,47.2
7.1,12.6,6.5,422,4.3,6.5,6.7,7.327,0.11,5.3,3675,4.068,0.029,27.9,1062,18.073,23.9
7.4,12,10.4,430,6.9,10,13.4,7.658,0.147,7,1512,4.521,0.017,99.8,51,12.371,36.5
7.2,7.5,15.8,346,5.6,8.9,12.5,5.658,0.162,6.5,17763,2.966,0.049,56,1159,22.021,145.5
7,6.4,20.9,309,6.3,8.4,11.5,5.195,0.14,6.2,5298,2.582,0.027,56.3,686,19.311,48.6
6.7,6.8,23.9,290,5.3,8.3,13.2,4.456,0.126,6.3,6342,1.874,0.025,44.6,833,19.118,96.1
7.5,7.1,26.2,237,4.2,8.3,9.6,3.352,0.137,5.9,8623,0.953,0.041,57,1948,38.434,164.3
7.3,6.7,27.8,291,4.3,7.6,10.6,4.168,0.19,5.8,4028,1.283,0.063,60,1107,21.543,148.9
7.2,8.1,24,322,4.4,7.1,8.7,4.487,0.153,5.2,10753,1.428,0.049,38.1,3161,19.761,66.6
7,8.9,20.1,313,4.3,7.1,9.4,4.514,0.118,5.9,1961,1.064,0.039,38.8,450,14.647,90.9
6.7,5.8,15.6,349,4.2,6.6,5.9,5.011,0.202,5.3,19705,1.801,0.093,23,4605,21.203,121.9
6.6,9.2,9,341,2.3,5.2,3.3,4.916,0.169,2.6,16400,1.234,0.089,7.5,1078,23.383,59.2
7.2,12.8,6.6,417,2.6,5.4,5.1,6.783,0.124,5.3,875,1.672,0.036,28.5,60,15.677,49.9
7.1,12,6.9,355,3.5,5.8,8.6,5.428,0.154,5.5,5561,1.762,0.072,20.3,462,23.339,45.2
7.2,10.4,11.6,317,4.8,7.4,19.5,4.855,0.176,6.1,3675,1.311,0.046,46.4,258,26.807,55.2
7.2,10,16.6,284,5.4,7.9,12.8,3.833,0.137,5.9,5775,0.889,0.025,64.3,1314,29.265,185
6.9,9.4,21.4,287,4.5,7.6,10.1,4.087,0.14,6,8700,1.309,0.045,65.8,1864,26.044,104.5
6.9,7.2,24.3,288,4,7.8,7,4.023,0.146,7,11250,1.365,0.068,42.4,1360,24.42,116.1
6.9,6.5,26.2,230,3.9,6.9,10.7,3.277,0.166,6.2,27275,1.072,0.085,36.7,7305,59.187,301.4
6.8,4.3,29,317,4.5,8.6,9.7,3.845,0.204,7.3,10192,1.669,0.117,61,2456,22.217,81
7,6.8,24,276,4.1,7,9.1,3.613,0.152,5.7,12250,1.076,0.077,49.5,2175,36.609,251.3
6.5,7.1,19.5,220,3,5.9,11.8,3.153,0.192,4.6,36000,0.807,0.126,8.4,8050,42.963,216.7
7,10.8,13.2,371,3.8,6.6,8.7,5.604,0.163,5.4,6800,1.577,0.061,48.2,1416,16.251,31.5
7,10.9,8.3,428,4.1,7.3,10,6.097,0.122,6.1,5880,1.738,0.023,46.5,545,15.293,44.9
7,13.1,6.1,432,4,7.2,9,6.447,0.114,5.7,1576,1.892,0.019,42.9,54,12.284,11.7
7.2,13.8,7,473,5.5,9.1,14.7,7.673,0.154,7.8,3070,3.512,0.02,69.3,81,16.996,41.9
7.5,14.8,11.1,428,6.8,12.4,16,8.267,0.121,8.8,5275,4.164,0.018,101.4,70,4.914,7.8
6.8,10.5,16.6,369,7.3,11.7,9.9,6.152,0.159,8.7,2800,3.048,0.044,34.2,163,13.412,8.9
7.2,8.6,21.6,445,5.9,12.6,11,7.44,0.133,9,220,3.606,0.038,35.2,81,9.681,28.1
7.1,8,24.1,351,6.9,14.1,13.7,4.55,0.106,10.3,100,1.528,0.006,55.3,52,23.248,42.1
6.4,4.6,27.2,274,3.9,9.1,10.3,3.847,0.176,7.4,9775,1.711,0.101,20.5,2865,24.309,211.7
6.6,3.3,27.5,262,3.8,8.8,13.7,4.244,0.181,6.8,23500,2.362,0.104,13.9,11600,94.799,273.8
7,8.4,23.7,272,3.7,7.9,10.5,3.163,0.105,5.9,10475,0.858,0.039,38.9,3185,47.595,108.8
7.1,8.4,18.9,388,4.9,8.3,10.1,5.166,0.091,6.6,2075,1.926,0.031,48.9,630,17.424,85.4
7.6,12.3,12.1,480,5.3,9.8,13.7,6.34,0.087,7.4,1311,2.229,0.008,48.1,172,15.681,2.1
7.8,12.2,7.4,559,5.4,9.2,17.3,7.16,0.117,7.6,12125,3.507,0.007,40.7,1225,25.078,28.5
7.2,13.5,5.8,561,6.4,11.6,13,8.883,0.125,8.6,3820,5.352,0.013,56.5,176,7.29,38.8
7.5,13.3,6.5,548,6.1,11.8,14.1,11.563,0.177,8.9,1115,8.907,0.023,70,144,10.175,22
7.3,7.8,11.7,386,6,11.1,25.3,7.031,0.199,8.7,13450,4.46,0.034,41.9,3100,38.267,115.8
7.4,8.2,16.6,364,5.7,10.9,47.7,6.849,0.203,8.2,59600,3.832,0.043,41.4,13833,43.437,127.4
7.5,8.3,21.5,306,6.2,10.7,36.6,4.675,0.183,8.1,78500,2.27,0.048,47.7,20125,38.195,85.4
7.6,7.7,26,382,6.6,11.6,24.4,5.959,0.128,8.9,7450,3.329,0.026,50,1975,33.815,222.4
8,9.2,28.7,323,7,12.5,43.6,5.545,0.214,9,67760,2.853,0.096,70.5,14806,68.392,84.5
8,9.7,29.5,343,6.7,12.9,23.2,5.043,0.227,8.9,32800,2.788,0.09,80.1,10315,60.961,397.1
7.3,6.9,24.5,294,4.8,8.7,10.3,4.876,0.19,6.7,100750,2.516,0.108,28.5,57875,17.677,129.7
7.3,8.7,18.4,336,4.9,7.9,9.5,4.942,0.158,7.4,29620,2.397,0.07,33.8,9980,12.864,125.2
7.8,9.7,13.4,415,5.1,9.7,10.6,5.688,0.209,8.6,41175,2.488,0.066,56.9,22395,8.473,47.2
7.9,11.7,8.4,466,4,8.4,9.5,6.668,0.14,8.1,16975,2.556,0.038,62.2,3690,12.747,32.4
