number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
1,唱林,Jan-15,7.9,17.2,5.4,369,1.7,5.7,3.8,5.856,0.068,2.7,1850,2.11,0.043,11.6,71,20.63,47.2
2,唱林,Feb-15,7.4,13.1,6.3,397,3.9,6.8,8.4,6.947,0.098,3.8,1405,2.936,0.044,39,133,18.073,23.9
3,唱林,Mar-15,8.4,12.5,10.7,367,6.2,9.8,13.6,6.171,0.119,4.5,1856,2.744,0.039,96.9,185,12.371,36.5
4,唱林,Apr-15,7.7,9.6,16.3,311,5.1,8.8,8.5,5.165,0.102,4.7,2035,2.464,0.041,38.5,305,22.021,145.5
5,唱林,May-15,8.2,10.4,22,275,6.4,10.9,11.6,3.813,0.082,4.6,2050,1.226,0.017,66.7,83,19.311,48.6
6,唱林,Jun-15,8.3,10.5,25.6,311,5.9,10.8,13.6,4.153,0.073,6,7325,1.602,0.011,45.1,186,19.118,96.1
7,唱林,Jul-15,7.7,7.8,25.1,205,3.8,8.9,9.2,3.044,0.114,4.9,8750,0.712,0.067,24.4,555,38.434,164.3
8,唱林,Aug-15,8,8.9,28.5,234,6,10.6,12.4,2.783,0.117,4.2,6525,0.842,0.069,79.4,427,21.543,148.9
9,唱林,Sep-15,8,9.9,24.9,228,4.7,8.3,9.9,2.826,0.086,4.2,1025,0.54,0.038,67.6,218,19.761,66.6
10,唱林,Oct-15,7.8,9.8,20,249,4.4,9,9.8,3.388,0.064,4.1,1085,0.561,0.024,59.9,300,14.647,90.9
11,唱林,Nov-15,7.5,8.6,14.6,352,3.4,8.5,7.9,4.555,0.123,3.8,2793,1.242,0.092,27.5,913,21.203,121.9
12,唱林,Dec-15,7.1,10.6,7.8,339,2.5,5.8,5,4.416,0.139,3.1,8150,1.055,0.109,11.1,1200,23.383,59.2
13,唱林,Jan-16,8.4,15.6,5.1,353,3.6,5.8,7.1,5.413,0.064,3,725,0.824,0.029,44.9,59,15.677,49.9
14,唱林,Feb-16,7.7,12.8,6.3,363,3.3,6.8,7.1,4.67,0.124,3.3,2850,1.267,0.082,18.6,330,23.339,45.2
15,唱林,Mar-16,7.9,11,11.2,271,4.1,7.7,15.8,4.157,0.109,3.9,1183,0.852,0.049,45.3,143,26.807,55.2
16,唱林,Apr-16,7.6,10.3,17.2,220,4.5,7.2,13.3,3.177,0.127,5.2,4715,0.594,0.026,41.5,1487,29.265,185
17,唱林,May-16,7.3,10.5,20.5,222,5.6,8,13.4,2.951,0.139,5.2,1803,0.414,0.048,88.7,234,26.044,104.5
18,唱林,Jun-16,7,8.7,24.9,266,4.3,8.7,9.7,3.651,0.125,6.4,832,1.05,0.053,42.9,123,24.42,116.1
19,唱林,Jul-16,7.5,10.4,27.3,200,4.7,7.5,15.9,2.869,0.156,5.3,10523,0.501,0.065,55.2,1783,59.187,301.4
20,唱林,Aug-16,8.2,10.5,31.5,276,5.7,11.9,15.8,2.829,0.185,7.6,117,0.63,0.07,84.2,61,22.217,81
21,唱林,Sep-16,7.7,10,24.3,240,4,7.6,9.1,3.005,0.133,5.7,2638,0.586,0.065,62,910,36.609,251.3
22,唱林,Oct-16,7.2,8,19.8,192,2.5,5.8,10.6,2.63,0.165,4,19200,0.525,0.096,7,3400,42.963,216.7
23,唱林,Nov-16,7.6,12.7,13.2,333,4,6.5,7.5,4.601,0.136,4.4,1360,1.033,0.05,57.7,422,16.251,31.5
24,唱林,Dec-16,7.7,13.1,8.3,428,4.6,7.1,8.2,5.861,0.108,5.5,1058,1.319,0.025,57.1,85,15.293,44.9
25,唱林,Jan-17,7.8,14.4,5.3,363,4.1,6.9,8.5,5.527,0.115,5.3,800,1.166,0.021,68.6,55,12.284,11.7
26,唱林,Feb-17,8.1,12.1,6.4,427,5.8,8.8,13.9,6.399,0.142,6.9,1950,2.049,0.015,97,66,16.996,41.9
