"number","site","month","pH","DO","Temp","EC","BOD","COD","SS","T_N","T_P","TOC","NH3_N","PO4_P","Chl_a","Flow","Rain","logTC","logFC"
1,"±¤»ê","Jan-15",-0.933516381067385,0.994288151463235,-1.51718721069485,0.499074445279235,-2.0078004331309,-1.7460557566067,-0.886213235970674,0.453702609841593,-0.911619631408374,-1.61182390655749,0.468899782642179,0.158048206008583,-1.93463176246982,-0.263894379333492,-0.618008247208994,-0.146470184647669,-1.14458797487605
2,"±¤»ê","Feb-15",-0.45682716520319,1.26112586623292,-1.40021389633517,0.72701710057504,-0.533684547487548,-1.1080329466408,-0.85022082115237,1.00399220464818,-1.0219852042181,-1.12028929718799,1.09524113874925,-0.698046243204576,-0.95244136316857,-0.416292429793262,-0.899901793359986,-0.578821204506606,-0.134565705101714
3,"±¤»ê","Mar-15",0.258206658593107,1.03240782500176,-0.893329534109876,0.822992955436431,1.5955939539973,0.380686943279659,-0.0463902235435912,1.19673914208837,-0.205279965426099,-0.0757782522777978,1.41404185146442,-1.09316675822603,2.44272641133912,-0.756133526281964,-0.747461506600222,-1.19116475270046,-1.72798601018638
4,"±¤»ê","Apr-15",-0.21848255727109,-0.682977484231934,-0.191489647951777,-0.184753520608178,0.530954703254876,-0.0871964506953409,-0.154367467998502,0.0321050790056474,0.125816753003093,-0.382987383133735,0.319703864108809,-0.0395120515021458,0.374460089733603,-0.180990316686038,0.571267958226305,0.507503751361525,-0.0886938659391668
5,"±¤»ê","May-15",-0.695171773135288,-1.10229389315573,0.47135913341976,-0.628641849342113,1.10422199211618,-0.299870720683977,-0.274342184059514,-0.237507706598003,-0.359791767359721,-0.567312861647298,0.049462200350253,-0.763899662374819,0.388626297415832,-0.342507218033702,-0.60107043756902,-0.326624690100948,-0.363931915962434
6,"±¤»ê","Jun-15",-1.41020559693158,-0.94981519900162,0.86127018128537,-0.856584504637918,0.285268722314316,-0.342405574681704,-0.0703851667557937,-0.66783999290707,-0.668815371226967,-0.50587103547611,-0.448795867204584,-0.829753081545062,-0.163855802191122,-0.354010082225621,-0.0263947533556258,-0.202610977090833,-0.262033490334272
7,"±¤»ê","Jul-15",0.496551266525204,-0.835456178386041,1.160201984649,-1.49242454309464,-0.615579874467734,-0.342405574681704,-0.502294144575436,-1.31071799572873,-0.426011111045559,-0.75163834016086,-1.0969536076255,-0.302925728183118,0.421680782007701,0.79722994228784,0.798718544820238,0.00922500691962523,0.183820552275201
8,"±¤»ê","Aug-15",0.0198620506610071,-0.987934872540147,1.36815454351066,-0.844587522780244,-0.533684547487548,-0.640149552665796,-0.382319428514424,-0.835547297990982,0.743863960737584,-0.813080166332048,-0.864714677832987,0.421461882689555,0.563342858829997,-0.209479275669132,0.612402638780527,-0.515584000354087,-0.11278550295054
9,"±¤»ê","Sep-15",-0.21848255727109,-0.454259443000775,0.874267216214224,-0.472681085192352,-0.451789220507361,-0.852823822654432,-0.610271389030347,-0.649788164929288,-0.0728412780544221,-1.18173112335917,-0.762670299590824,-0.0395120515021458,-0.470790301972764,-0.315687068363426,-0.383298599340787,0.161429575904942,0.437881817111211
10,"±¤»ê","Oct-15",-0.695171773135288,-0.149302054692562,0.367382853988931,-0.580653921911417,-0.533684547487548,-0.852823822654432,-0.526289087787638,-0.634065605077671,-0.845400287722536,-0.75163834016086,-1.01883687669529,-0.368779147353361,-0.437735817380895,-0.620483169282966,-0.089306617732671,-1.01188450593503,-0.585214980011809
11,"±¤»ê","Nov-15",-1.41020559693158,-1.33101193438689,-0.217483717809485,-0.148762575035156,-0.615579874467734,-1.06549809264307,-0.94620059400118,-0.344654040401614,1.00874133548094,-1.12028929718799,-0.500169933492018,1.4092631702432,-1.18382275531165,-0.22974338875334,0.285744881438176,0.579040901095216,0.635350406703959
12,"±¤»ê","Dec-15",-1.64855020486368,-0.0349430340769827,-1.07528802311383,-0.244738429896548,-2.17159108709128,-1.66098604861125,-1.25813485575981,-0.399974158398043,0.280328554936716,-2.77921860381005,-0.899198640135511,1.27755633190271,-1.91574348556018,-0.0998146636840019,-0.472827021723505,0.452457974071128,-0.126717670246791
13,"±¤»ê","Jan-16",-0.21848255727109,1.33736521330997,-1.38721686140632,0.66703219128667,-1.92590510615072,-1.5759163406158,-1.04218036684999,0.68721173948968,-0.712961600350859,-1.12028929718799,-0.590954242410908,-0.467559276108726,-0.924108947804111,-0.559094826704334,-0.585342471474759,-1.56828759839251,-1.64269159837905
14,"±¤»ê","Feb-16",-0.45682716520319,1.03240782500176,-1.34822575661975,-0.0767806838891128,-1.18884716332904,-1.40577692462489,-0.622268860636448,-0.101827838248866,-0.050768163492476,-0.997405644845611,-0.527616352467497,0.717802268955649,-1.31131862445172,-0.102437078318429,-0.642205118123242,-0.293220233087585,-0.571402931530938
15,"±¤»ê","Mar-16",-0.21848255727109,0.422493048385337,-0.737365114963632,-0.532665994480722,-0.124207912586616,-0.72521926066125,0.68545554442858,-0.435495497322066,0.434840356870338,-0.628754687818486,-0.845009556517259,-0.13829218025751,-0.0788585560977449,0.104256875140501,-0.521220763552001,-0.578821204506606,-0.877170247734179
16,"±¤»ê","Apr-16",-0.21848255727109,0.27001435423123,-0.0875133685209479,-0.928566395783961,0.367164049294503,-0.512544990672614,-0.118375053180198,-1.03062350355734,-0.426011111045559,-0.75163834016086,-1.14199388491859,-0.829753081545062,0.766391835608621,0.25075449267281,1.04915615878271,-0.267185142240552,-0.0228183746720934
17,"±¤»ê","May-16",-0.933516381067385,0.0412963130000708,0.536344308064028,-0.892575450210939,-0.369893893527175,-0.640149552665796,-0.44230678654493,-0.882714977545833,-0.359791767359721,-0.690196513989673,-0.846417065182668,-0.171218889842632,0.837222874019769,0.0587818213662322,0.0752321044842167,0.0153544927123587,0.160686946851163
18,"±¤»ê","Jun-16",-0.933516381067385,-0.797336504847514,0.913258321000785,-0.880578468353265,-0.779370528428108,-0.555079844670341,-0.814228406334067,-0.91998326756448,-0.227353079988045,-0.0757782522777978,-0.807006822551212,0.586095430615163,-0.26774132519414,-0.0380091187771649,0.215573955786856,0.192582723272618,-0.00475969908669596
19,"±¤»ê","Jul-16",-0.933516381067385,-1.0641742196172,1.160201984649,-1.57640341609835,-0.861265855408294,-0.937893530649886,-0.370321956908323,-1.35439177309434,0.214109211250877,-0.567312861647298,-1.01320684203365,1.14584949356223,-0.536899271156502,2.03411564474838,2.45741404599195,0.803190531202549,0.877514433182423
20,"±¤»ê","Aug-16",-1.17186098899948,-1.90280703746478,1.52411896265691,-0.532665994480722,-0.369893893527175,-0.214801012688523,-0.490296672969335,-1.02363569917884,1.05288756460483,0.108547226235765,-0.593065505409022,2.19950420028612,0.610563551104096,-0.169308651496318,-0.2090811287582,0.12448591351924,0.30543926325675
21,"±¤»ê","Sep-16",-0.695171773135288,-0.94981519900162,0.874267216214224,-1.02454225064535,-0.697475201447921,-0.895358676652159,-0.562281502605942,-1.15873325049644,-0.0949143926163682,-0.874521992503235,-1.01039182470283,0.882435816881257,0.0675255899519611,0.68845933529172,1.85128242959003,0.251297585041978,0.241669910180595
22,"±¤»ê","Oct-16",-1.88689481279578,-0.835456178386041,0.289400644415808,-1.69637323467509,-1.59832379822997,-1.36324207062716,-0.23834976924121,-1.42659908500547,0.788010189861476,-1.5503820803863,-1.19970174020036,2.49584458655221,-1.87324486251349,1.06715984863602,1.43267656277354,0.994555441285073,0.928482035432921
23,"±¤»ê","Nov-16",-0.695171773135288,0.574971742539443,-0.529412556101973,0.11517102583367,-0.943161182388481,-1.06549809264307,-0.610271389030347,0.00065995930241373,0.147889867565039,-1.0588474710168,-0.657810904017843,0.355608463519312,0.00613868999563295,-0.524884235791581,-0.807953683885843,-0.154534405314321,0.0164177725345017
24,"±¤»ê","Dec-16",-0.695171773135288,0.61309141607797,-1.1662672676158,0.798998991721083,-0.697475201447921,-0.767754114658978,-0.454304258151031,0.287742255852306,-0.757107829474751,-0.628754687818486,-0.544506456452406,-0.895606500715305,-0.0741364868703349,-0.581981354422969,-0.64583464876038,-0.254761688883786,-0.48469044928158
25,"±¤»ê","Jan-17",-0.695171773135288,1.45172423392555,-1.45220203605058,0.846986919151779,-0.779370528428108,-0.810288968656705,-0.574278974212043,0.491553216891782,-0.93369274597032,-0.874521992503235,-0.436128289215902,-1.02731333905579,-0.24413097905709,-0.761318755218217,-1.0475027059369,-1.16258105309057,-1.69798769981488
26,"±¤»ê","Feb-17",-0.21848255727109,1.71856194869524,-1.3352287216909,1.33886317531641,0.44905937627469,-0.0021267426998867,0.109576907335724,1.20547389756149,-0.050768163492476,0.415756357091702,0.703953729765506,-0.99438662947067,1.00249529697911,-0.480481988004124,-0.682129955131752,-0.702842354142135,-1.48518843999108
27,"±¤»ê","Mar-17",0.496551266525204,2.09975868408051,-0.8023502896079,0.798998991721083,1.51369862701711,1.40152343922511,0.265544038215039,1.55137021429706,-0.779180944036697,1.03017461880358,1.16280155468889,-1.06024004864091,2.51827951897768,-1.20057320648474,-1.09468660421968,-0.329624431740383,-1.56178907455491
28,"±¤»ê","Apr-17",-1.17186098899948,0.460612721923863,-0.0875133685209479,0.0911770621183221,1.92317526191805,1.10377946124102,-0.466301729757132,0.31976969258708,0.0595974093172547,0.96873279263239,0.377411719390584,-0.204145599427754,-0.654951001841749,-0.694089580044724,-1.08137832521685,-0.766314880380052,-1.11817598433067
29,"±¤»ê","May-17",-0.21848255727109,-0.263661075308142,0.562338377921736,1.00294768330154,0.776640684195436,1.48659314722057,-0.33432954209002,1.06979402921236,-0.514303569293344,1.15305827114595,0.770106637039736,-0.401705856938483,-0.60773030956765,-0.916458420977616,-0.849088364440065,-2.52018531443934,-1.48518843999108
30,"±¤»ê","Jun-17",-0.45682716520319,-0.492379116539301,0.887264251143078,-0.124768611319808,1.5955939539973,2.12461595718648,-0.0103978087252878,-0.613102191942182,-1.11027766246589,1.95180201137139,-0.692294866320367,-1.45536056366237,0.341405605141733,-0.107860708585085,-0.679710268040327,-3.06381326620417,-1.71779486373517
31,"±¤»ê","Jul-17",-2.12523942072788,-1.78844801684921,1.29017233393754,-1.0485362143607,-0.861265855408294,-0.0021267426998867,-0.418311843332728,-1.02247106511576,0.434840356870338,0.169989052406953,-0.56350782343543,1.67267684692417,-1.3018744859969,-0.0446247556958331,1.37218438548792,0.0956827657542664,0.386280728672194
32,"±¤»ê","Aug-17",-1.64855020486368,-2.28400377285005,1.3291634387241,-1.19249999665279,-0.943161182388481,-0.129731304693068,-0.0103978087252878,-0.791291203593839,0.545205929680069,-0.198661904620173,-0.105363752844753,1.77145697567954,-1.61353105500595,4.15660268932145,2.12349722737533,0.70047817140493,1.12021886273684
33,"±¤»ê","Sep-17",-0.695171773135288,-0.339900422385195,0.835276111427663,-1.07253017807605,-1.02505650936867,-0.512544990672614,-0.394316900120525,-1.42077591469005,-1.13235077702783,-0.75163834016086,-1.16381026923243,-0.368779147353361,-0.433013748153485,1.34322858924207,0.12725537694985,0.143369727142046,0.441851537024161
34,"±¤»ê","Oct-17",-0.45682716520319,-0.339900422385195,0.211418434842686,0.319119717414127,-0.042312585606429,-0.342405574681704,-0.44230678654493,-0.254394900512703,-1.44137438089508,-0.321545556962548,-0.412200641903947,-0.632192824034333,0.0391931745875018,-0.454973045651061,-0.155848012746854,-0.972924160988239,-0.40862507998729
35,"±¤»ê","Nov-17",0.734895874457302,1.14676684561734,-0.672379940319363,1.42284204832013,0.285268722314316,0.295617235284205,-0.0103978087252878,0.429245294516856,-1.52966683914286,0.169989052406953,-0.198963079094461,-1.38950714449213,0.00141662076822301,-0.558856425373931,-1.16364768632529,-1.28951472759249,-1.08996950755798
36,"±¤»ê","Dec-17",1.2115850903215,1.10864717207881,-1.28324058197549,2.37060361507637,0.367164049294503,0.0404081112978404,0.421511169094355,0.906745260380773,-0.867473402284481,0.292872704749327,0.700434958101983,-1.42243385407725,-0.348016502060107,0.00120790007403898,-0.844248990257215,0.244225902464763,-0.0596271949035283
37,"±¤»ê","Jan-18",-0.21848255727109,1.60420292807966,-1.49119314083714,2.39459757879171,1.18611731909637,1.0612446072433,-0.094380109967996,1.91007750572654,-0.690888485788913,0.907290966461202,1.99886170194192,-1.22487359656652,0.398070435870652,-1.05896281622568,-0.719635105048837,-0.552140080664156,-1.07790397500267
38,"±¤»ê","Feb-18",0.496551266525204,1.52796358100261,-1.40021389633517,2.23863681464195,0.940431338155808,1.14631431523875,0.0375920776991169,3.47068715025739,0.456913471432284,1.09161644497477,4.50070835470668,-0.895606500715305,1.03554978157098,-0.887015856672912,-0.922888820728521,-1.40116670983763,-1.18322148471865
39,"±¤»ê","Mar-18",0.0198620506610071,-0.568618463616355,-0.724368080034778,0.295125753698779,0.858536011175622,0.848570337254659,1.38130889758245,0.831626363311937,0.942521991795099,0.96873279263239,1.37111283716944,-0.533412695278969,-0.291351671331189,0.787276686743538,0.211944425149719,0.315731957063032,0.427654858587419
40,"±¤»ê","Apr-18",0.258206658593107,-0.416139769462249,-0.0875133685209479,0.0311921528299525,0.612850030235063,0.763500629259204,4.06874253734911,0.72564466357141,1.03081445004288,0.661523661776452,0.929155116230969,-0.237072309012875,-0.314962017468238,1.09541040628871,0.352286276452359,1.3421490847796,1.21261577329173
41,"±¤»ê","May-18",0.496551266525204,-0.378020095923721,0.549341342992882,-0.664632794915135,1.022326665136,0.678430921263749,2.73702318907188,-0.540312562999512,0.589352158803961,0.600081835605265,-0.170109151453574,-0.0724387610872674,-0.0174716561414164,0.782985462796294,-0.155848012746854,1.53206238766258,1.40937665651635
42,"±¤»ê","Jun-18",0.734895874457302,-0.606738137154881,1.1342079147913,0.247137826268083,1.34990797305674,1.0612446072433,1.27333165312754,0.207382505499597,-0.624669142103074,1.09161644497477,0.575166686880569,-0.796826371959941,0.0911359360890104,0.521936006005604,1.50163764487915,-0.0915905223892975,0.191044904880154
43,"±¤»ê","Jul-18",1.6882743061857,-0.0349430340769827,1.48512785787035,-0.460684103334678,1.67748928097749,1.44405829322284,3.57684620149896,-0.0336967455585267,1.27361871022429,1.15305827114595,0.240179624513192,1.50804329899857,1.05916012770803,2.58273670633704,-0.166736604658265,1.43062111469568,1.24829116862861
44,"±¤»ê","Aug-18",1.6882743061857,0.15565533361565,1.58910413730118,-0.2207444661812,1.43180330003693,1.61419770921375,1.12936199385432,-0.32601989539229,1.56056919952959,1.09161644497477,0.194435592887395,1.31048304148784,1.51247877353938,2.13984663478187,3.61523431923873,0.930371176460762,1.05860098465692
45,"±¤»ê","Sep-18",0.0198620506610071,-0.911695525463094,0.939252390858492,-0.808596577207222,-0.124207912586616,-0.172266158690796,-0.418311843332728,-0.423266839659698,0.743863960737584,-0.26010373079136,0.00301441439175131,1.90316381402002,-0.924108947804111,-0.439894161503106,0.380112678003744,1.70411844286278,1.96376390681453
46,"±¤»ê","Oct-18",0.0198620506610071,-0.225541401769616,0.146433260198418,-0.304723339184917,-0.042312585606429,-0.512544990672614,-0.514291616181537,-0.384833915577968,0.0375242947553085,0.169989052406953,-0.080732351200093,0.651948849785406,-0.673839278751388,-0.726750562309861,0.325669718446686,0.860058591211977,1.04127324872815
47,"±¤»ê","Nov-18",1.2115850903215,0.15565533361565,-0.503418486244266,0.643038227571322,0.121478068353943,0.253082381286477,-0.382319428514424,0.0495745899518879,1.16325313741456,0.907290966461202,-0.0166907069239767,0.52024201144492,0.416958712780291,-0.988455622759157,-0.618008247208994,1.0871615157044,1.46546754666501
48,"±¤»ê","Dec-18",1.4499296982536,0.918048804386182,-1.15327023268695,1.25488430231269,-0.779370528428108,-0.299870720683977,-0.514291616181537,0.620245280862423,-0.359791767359721,0.600081835605265,0.0311645876999343,-0.401705856938483,0.667228381833014,-0.733723801224133,-0.797065091974431,0.476217791963533,0.519092595769101
49,"±¤»ê","Jan-19",1.2115850903215,1.22300619269439,-1.37421982647746,1.4828269576085,-0.206103239566802,-0.0446615966976138,-0.44230678654493,2.09350737066207,-0.050768163492476,0.538640009434077,1.02768072280961,-0.862679791130184,-0.286629602103779,-1.11004030126441,-0.990640059288416,-1.69320768297553,-1.94078527001017
50,"±¤»ê","Feb-19",1.2115850903215,1.18488651915587,-1.27024354704663,0.870980882867127,1.34990797305674,2.12461595718648,0.637465658004176,1.16121780316435,0.854229533547314,2.07468566371377,0.890448627932218,-1.06024004864091,3.16992507236024,-1.05949921921909,-0.74141228887166,-0.023356343875569,-0.0779369896161088
51,"±¤»ê","Mar-19",1.2115850903215,0.422493048385337,-0.685376975248217,1.11092052002061,0.858536011175622,1.44405829322284,-0.190359882816805,1.55369948242323,0.832156418985368,1.15305827114595,1.85318455507207,-0.763899662374819,0.879721497066459,-0.969025914331357,-0.778917438788745,0.673553504983717,0.13737023516912
52,"±¤»ê","Apr-19",2.40330812998199,-0.111182381154036,-0.256474822596046,0.151161971406692,0.858536011175622,1.61419770921375,1.921195119857,0.562595894739828,4.45214720714453,1.21450009731714,0.990381743176267,1.57389671816881,-0.182744079100762,-0.393405902074627,-0.16431691756684,1.53556675610648,1.2349364228334
53,"±¤»ê","May-19",0.734895874457302,-0.454259443000775,0.432368028633199,-0.148762575035156,-0.124207912586616,0.508291505272841,-0.0583876951496924,-0.298650994909847,0.898375762671207,0.354314530920515,0.0916874603125274,-0.171218889842632,0.072247659179371,-0.535016292333686,-0.235697686763873,1.38067456764631,1.39330344192249
54,"±¤»ê","Jun-19",1.4499296982536,-1.0641742196172,0.926255355929638,-0.43669013961933,1.18611731909637,1.86940683320011,0.0615870209113194,-0.681233284632522,0.964595106357045,1.27594192348833,0.0128669750496152,-0.434632566523604,0.742781489471572,-0.622449980258786,0.722498401440356,0.554827287354785,0.28673228108054
55,"±¤»ê","Jul-19",0.973240482389401,-1.36913160792541,1.14720494972015,-1.25248490594116,-0.697475201447921,0.465756651275113,0.133571850547926,-0.863498515504968,0.147889867565039,1.33738374965952,-0.410793133238538,0.9482892360515,-0.857999978620373,0.566338253793062,1.7411866669302,1.2852621925532,1.52923002949125
56,"±¤»ê","Aug-19",0.734895874457302,-0.644857810693408,1.40714564829722,-1.06053319621837,-0.779370528428108,0.380686943279659,0.709450487640783,-0.981126555876323,0.545205929680069,0.907290966461202,-0.659218412683252,0.421461882689555,0.204465597546847,1.57108066077421,-0.40507578316361,1.28551341609654,1.48014172194121
57,"±¤»ê","Sep-19",0.258206658593107,-0.568618463616355,0.939252390858492,-1.42044265194859,-0.943161182388481,-0.852823822654432,-0.598273917424245,-1.27636129086779,-0.602596027541128,-1.36605660187274,-0.96675905607515,0.75072897854077,-0.928831017031521,1.02007558588154,0.816866198005924,1.24650247509487,1.31014633483915
58,"±¤»ê","Oct-19",1.2115850903215,0.346253701308283,0.302397679344662,-0.844587522780244,-0.861265855408294,-1.1080329466408,-0.418311843332728,-0.842535102369479,-2.05942158862957,-1.18173112335917,-1.01109557903554,-1.12609346781116,-0.0599702791881055,-0.0100565627874771,0.624501074237651,-0.66355738110112,-0.231440474458576
59,"±¤»ê","Nov-19",0.973240482389401,0.38437337484681,-0.30846296231146,0.691026155002018,0.0395827413737572,-0.25733586668625,-0.610271389030347,0.441473952179225,-1.55173995370481,0.354314530920515,0.142357772267257,0.0921947868383402,0.185577320637208,-0.306925819471136,-0.913210072362822,-0.946841315396273,-0.798014239835606
60,"±¤»ê","Dec-19",0.973240482389401,1.45172423392555,-1.07528802311383,1.42284204832013,0.940431338155808,0.593361213268295,0.0255946060930158,0.903833675223067,-0.889546516846428,0.845849140290015,0.342224002755356,-0.599266114449212,1.04971598925321,-0.744273060094441,-0.80674384034013,0.354358087185405,0.439042757024969
