"number","site","month","pH","DO","Temp","EC","BOD","COD","SS","T_N","T_P","TOC","NH3_N","PO4_P","Chl_a","Flow","Rain","logTC","logFC"
1,"ав╩Й","Jan-15",-1.24687979074083,1.28441774788885,-1.47747948701094,0.896884917061635,-0.865879369707522,-1.4183143266276,-0.675647928029861,0.765506440251684,-0.815640299224067,-1.56805384278064,0.486409988224813,-0.150241070093382,-0.353189663702389,-0.247473160508367,-0.787665067312524,-0.94921619179388,-0.5807968475313
2,"ав╩Й","Feb-15",-0.272754954224556,1.88698409875029,-1.39174566764861,0.826464291076424,0.694539282415574,-0.68766755230429,-0.161923823228923,1.25276502552343,-0.532213168219565,-0.89471907619949,1.14731088516071,-1.26039676043857,1.39655729408926,-0.577586980720276,-1.01221923787091,-0.169231548094161,-0.511198787637062
3,"ав╩Й","Mar-15",1.09101981689823,1.34784578482163,-0.901838128435251,0.802990749081354,0.878117947371233,-0.257875332114109,0.246033554112998,1.38014834138733,-0.847132202669012,-0.405021064140476,1.57637743605104,-1.26039676043857,1.38907974298759,-0.697872577054272,-0.885360712945067,-0.907070974073778,-1.38225791999529
4,"ав╩Й","Apr-15",-0.0779299869213021,-0.142713083098761,-0.154729131134885,0.110521260226788,0.419171284982087,-0.601709108266254,-0.705866993018151,0.537887072560455,-0.280277940660008,-0.649870070169984,0.983527416810107,-0.0614286148657671,0.0206878913812974,-0.0545585440554164,0.940235530815286,0.68531683675901,-0.346746431639484
5,"ав╩Й","May-15",-0.662404888831067,-1.06241961862411,0.420912227440808,-0.980998442543969,-1.23303669961884,-0.730646774323308,-0.660538395535715,-0.658680796128299,-0.595196975109454,-0.955931327706868,-0.189485169898114,0.249414978430886,-0.670985585523523,0.0835029220428532,-0.252526232280536,-0.608643584358864,-0.5807968475313
6,"ав╩Й","Jun-15",-0.467579921527811,-1.03070560015772,0.910819766654163,-0.124214159723912,-0.406932707318376,0,-0.494333538100118,-0.264697425751431,-0.721164588889233,0.0234646964111615,0.214206477444931,-0.638709573845265,-0.0615651707371138,0.197288386895883,0.330731353585392,-0.694858110218528,-0.661727335451765
7,"ав╩Й","Jul-15",0.311719947685208,-0.681851397027415,1.1067827823395,-1.25094417548727,-1.04945803466318,-0.472771442209199,-0.539662135582553,-0.883515829046546,0.129116804124273,-0.588657818662606,-0.756960285591767,0.382633661272308,-0.528912114591722,0.400052692378665,0.940235530815286,0.65908105243007,0.7316080714993
8,"ав╩Й","Aug-15",0.896194849594973,-0.776993452426589,1.38847961738718,-0.652368854612988,-0.590511372274034,-0.472771442209199,-0.856962317959603,-0.843839058531561,0.475527742018665,-0.3438088126331,-0.668148123176297,0.782289709796576,-0.341973337049879,0.251345602783507,-0.125667707354696,-1.25589088989324,-0.795316298864755
9,"ав╩Й","Sep-15",-0.0779299869213021,-0.428139249296283,0.935315143614831,-0.687579167605593,-1.23303669961884,-0.816605218361344,-0.705866993018151,-1.01577173076316,-0.469229361329676,-0.89471907619949,-0.884988208034847,0.027383840361848,-0.166250886160546,0.056374822290659,-0.227737784881234,-1.39620316812566,-0.795316298864755
10,"ав╩Й","Oct-15",-0.467579921527811,-0.491567286229066,0.39641685048014,-1.16878677850453,-0.957668702185351,-1.11745977249447,-0.630319330547425,-0.918320013708814,-0.437737457884731,-1.07835583072162,-0.814630520926488,0.16060252320327,-0.693418238828544,-0.608694752807756,-0.159205018541987,-1.03171397951246,-0.235626351412696
11,"ав╩Й","Nov-15",-1.24687979074083,-0.840421489359371,-0.130233754174217,0.298309596187349,-0.774090037229693,-1.16043899451349,-1.28002922779567,0.0833444208712432,-0.595196975109454,-0.955931327706868,-0.311746068807722,0.338227433658501,-0.588732523405112,-0.503996206453627,0.170335517472262,-0.0593768161134232,0.179142204600146
