"number","site","month","pH","DO","Temp","EC","BOD","COD","SS","T_N","T_P","TOC","NH3_N","PO4_P","Chl_a","Flow","Rain","logTC","logFC"
1,"堡林1","Jan-15",-0.632024942256155,2.47306510122594,-1.41194791069596,1.02159352127511,-1.14942786368924,-1.68151869490423,-1.31512528408092,1.36709925998822,-1.85212335253318,-1.68301642475507,0.743353220918603,-0.775690017611619,-1.20891885182784,-0.343265148537228,-0.618008247208994,0.642664608845323,0.00990091556813006
2,"堡林1","Feb-15",0.220143519212818,0.479911747279912,-1.31468399032655,1.03984712796853,-0.249875622541139,-1.12606206895989,-1.15378771302312,0.871071810188971,-0.806133533186302,-1.40483189173771,0.945817498982304,0.381816329912455,-0.974447411138025,-0.3950152587958,-0.899901793359986,-0.611190727812584,-1.32700147248584
3,"堡林1","Mar-15",1.49839621141628,0.0558365655892678,-0.816206398433313,1.35015844175668,1.2493781127057,0.489811751969102,0.00246487955782774,0.0874642435800363,0.672679659683425,-0.384821937340692,0.920509464224341,-0.968607742198964,0.968883682036911,-0.722342643314744,-0.747461506600222,-0.665523033985773,-1.14277176068539
4,"堡林1","Apr-15",0.646227749947303,-0.79231379779202,-0.0867269956627251,0.163674006684339,1.2493781127057,1.19675654862554,0.177247248203784,-0.0901020030407069,2.11542423809291,0.357003484038955,1.73036657647915,1.6357815397302,0.563526276098581,-0.178649000260727,0.571267958226305,1.13035807968575,-0.151385158560954
5,"堡林1","May-15",1.49839621141628,-0.580276206946698,0.569804466830803,-1.24185370870905,1.02449005241867,1.1462604917215,1.62928538772404,-0.680702779844486,0.0595132138593914,0.264275306366499,0.0937803287975615,-0.00401911926223626,0.042920195922882,-0.253734282936508,-0.60107043756902,-0.152192895327012,-0.548876115822875
6,"堡林1","Jun-15",0.220143519212818,-1.00435138863734,0.995334118446979,-0.292666160651178,0.0499751245082281,0.994772321009412,0.0562440699104296,0.747547464713671,-0.481516003044167,1.28428526076351,2.02562698198871,-0.293395706143255,-0.477685884252817,-0.333423103027929,-0.0263947533556258,-0.538925567723509,-0.975090014149873
7,"堡林1","Jul-15",-1.48419340372513,-1.38601905215892,1.08044004877021,-1.40613616894984,-0.0999502490164559,0.136339353640884,0.5805911758483,0.000611188167716047,0.384130744001527,0.727916194728779,0.0347282476956487,1.15348722826184,-0.815483722534759,0.366155841479823,0.798718544820238,1.91628725974168,0.75588619024586
8,"堡林1","Aug-15",-0.632024942256155,-1.7676867156805,1.29928386960139,-1.53391141580378,-0.174912935778798,-0.116140930879272,0.204136843380085,-1.30797484671124,0.131650442779866,-0.384821937340692,0.692737151402678,1.20171665940867,-0.521400898618715,-0.126263919324136,0.612402638780527,1.37158905835346,1.07613258208669
9,"堡林1","Sep-15",-0.205940711521666,-0.961943870468277,0.95886014830845,-0.584723867745909,-1.29935323721393,-0.924077841343768,-0.911781356436407,-2.36758212274155,-1.70784889469223,-0.755734648030515,-1.19692944385853,-0.293395706143255,-0.835354183610167,-0.389300522693627,-0.383298599340787,-0.180501890621417,-0.774868971065535
10,"堡林1","Oct-15",0.220143519212818,0.310281674603655,0.399592606184333,-0.128383700410392,0.12493781127057,-0.166636987783302,-0.615995809497096,-2.00086922211175,-1.88819196699342,-0.570278292685603,-1.18005742068656,-1.30621376022682,-0.131939861540711,-0.405492274983119,-0.089306617732671,-0.369476118971238,-0.207301316142122
