p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain
7.0 ,12.7 ,2.0 ,3.5 ,2.3 ,3.430 ,0.069 ,2.7 ,3.0 ,330 ,3200 ,0.199 ,0.044 ,4.4 ,118 ,2.257 ,9.1 
7.2 ,13.9 ,1.4 ,3.8 ,3.7 ,3.194 ,0.071 ,3.1 ,2.0 ,370 ,2400 ,0.204 ,0.045 ,4.5 ,60 ,2.119 ,4.3 
6.8 ,13.2 ,3.3 ,4.6 ,5.4 ,3.338 ,0.090 ,3.2 ,2.0 ,317 ,3700 ,0.401 ,0.059 ,6.8 ,120 ,2.166 ,11.9 
7.4 ,12.2 ,2.1 ,4.9 ,5.2 ,2.866 ,0.069 ,4.0 ,5.0 ,373 ,3000 ,0.240 ,0.040 ,12.9 ,196 ,2.677 ,11.8 
7.4 ,13.1 ,2.0 ,4.3 ,4.3 ,2.841 ,0.067 ,3.2 ,6.0 ,340 ,5800 ,0.175 ,0.039 ,4.2 ,415 ,2.382 ,7.6 
7.1 ,13.4 ,2.7 ,5.1 ,4.9 ,3.286 ,0.084 ,3.8 ,3.0 ,296 ,3600 ,0.292 ,0.056 ,3.3 ,345 ,3.555 ,44.0 
7.1 ,11.5 ,2.0 ,4.5 ,5.1 ,2.951 ,0.062 ,3.7 ,7.0 ,313 ,700 ,0.199 ,0.040 ,8.0 ,80 ,2.443 ,2.7 
7.0 ,10.9 ,2.4 ,6.0 ,9.1 ,3.132 ,0.086 ,4.4 ,10.0 ,317 ,7800 ,0.298 ,0.062 ,1.5 ,375 ,6.318 ,93.7 
7.5 ,11.3 ,2.0 ,5.4 ,5.5 ,2.952 ,0.072 ,3.8 ,7.0 ,275 ,1700 ,0.205 ,0.045 ,3.9 ,115 ,6.587 ,19.3 
7.2 ,11.5 ,2.9 ,4.6 ,7.0 ,2.576 ,0.073 ,3.5 ,9.0 ,227 ,3300 ,0.194 ,0.039 ,5.6 ,60 ,6.856 ,17.0 
7.0 ,10.4 ,2.0 ,5.0 ,7.5 ,2.487 ,0.060 ,3.5 ,10.0 ,280 ,2520 ,0.072 ,0.025 ,10.6 ,55 ,3.151 ,5.0 
7.3 ,11.0 ,2.9 ,5.5 ,12.2 ,2.285 ,0.072 ,3.7 ,11.0 ,254 ,4300 ,0.147 ,0.026 ,16.3 ,400 ,6.237 ,22.5 
7.1 ,10.6 ,2.5 ,5.3 ,10.2 ,1.512 ,0.059 ,3.7 ,12.0 ,280 ,2600 ,0.026 ,0.011 ,14.5 ,55 ,3.576 ,17.5 
7.6 ,9.5 ,3.1 ,6.2 ,11.2 ,1.786 ,0.050 ,4.1 ,14.0 ,275 ,6100 ,0.102 ,0.006 ,34.7 ,15 ,3.543 ,10.5 
7.8 ,10.0 ,4.3 ,7.9 ,10.0 ,1.891 ,0.060 ,5.8 ,13.0 ,287 ,8000 ,0.078 ,0.005 ,36.6 ,60 ,2.542 ,1.5 
7.5 ,9.1 ,2.9 ,6.4 ,13.1 ,1.579 ,0.057 ,4.5 ,16.0 ,245 ,7800 ,0.021 ,0.010 ,26.1 ,115 ,4.563 ,53.0 
7.2 ,8.3 ,2.6 ,4.6 ,8.1 ,1.775 ,0.060 ,2.9 ,19.0 ,191 ,3900 ,0.107 ,0.018 ,13.0 ,10 ,4.302 ,50.5 
7.6 ,7.6 ,3.9 ,7.0 ,13.9 ,1.425 ,0.058 ,4.9 ,19.0 ,228 ,13800 ,0.124 ,0.009 ,38.6 ,60 ,2.253 ,6.0 
7.2 ,8.4 ,2.3 ,5.8 ,12.0 ,2.734 ,0.141 ,4.8 ,19.0 ,201 ,57000 ,0.319 ,0.064 ,4.9 ,400 ,46.561 ,92.0 
7.0 ,9.2 ,4.6 ,7.4 ,10.6 ,2.549 ,0.118 ,6.2 ,22.0 ,210 ,28000 ,0.178 ,0.047 ,10.6 ,85 ,9.025 ,1.0 
7.2 ,6.3 ,4.2 ,9.4 ,5.9 ,2.789 ,0.147 ,7.1 ,23.0 ,240 ,77000 ,0.296 ,0.075 ,11.7 ,125 ,7.313 ,39.6 
7.3 ,6.2 ,3.1 ,9.0 ,9.0 ,2.266 ,0.133 ,6.2 ,25.0 ,210 ,76000 ,0.189 ,0.072 ,10.6 ,115 ,7.448 ,6.5 
