p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
7.0 ,12.7 ,330 ,3.0 ,2.0 ,3.5 ,2.7 ,4.4 ,2.3 ,3.430 ,0.069 ,0.199 ,0.044 ,2.257 ,3.5051 ,2.0719 
7.2 ,13.9 ,370 ,2.0 ,1.4 ,3.8 ,3.1 ,4.5 ,3.7 ,3.194 ,0.071 ,0.204 ,0.045 ,2.119 ,3.3802 ,1.7782 
6.8 ,13.2 ,317 ,2.0 ,3.3 ,4.6 ,3.2 ,6.8 ,5.4 ,3.338 ,0.090 ,0.401 ,0.059 ,2.166 ,3.5682 ,2.0792 
7.4 ,12.2 ,373 ,5.0 ,2.1 ,4.9 ,4.0 ,12.9 ,5.2 ,2.866 ,0.069 ,0.240 ,0.040 ,2.677 ,3.4771 ,2.2923 
7.4 ,13.1 ,340 ,6.0 ,2.0 ,4.3 ,3.2 ,4.2 ,4.3 ,2.841 ,0.067 ,0.175 ,0.039 ,2.382 ,3.7634 ,2.6180 
7.1 ,13.4 ,296 ,3.0 ,2.7 ,5.1 ,3.8 ,3.3 ,4.9 ,3.286 ,0.084 ,0.292 ,0.056 ,3.555 ,3.5563 ,2.5378 
7.1 ,11.5 ,313 ,7.0 ,2.0 ,4.5 ,3.7 ,8.0 ,5.1 ,2.951 ,0.062 ,0.199 ,0.040 ,2.443 ,2.8451 ,1.9031 
7.0 ,10.9 ,317 ,10.0 ,2.4 ,6.0 ,4.4 ,1.5 ,9.1 ,3.132 ,0.086 ,0.298 ,0.062 ,6.318 ,3.8921 ,2.5740 
7.5 ,11.3 ,275 ,7.0 ,2.0 ,5.4 ,3.8 ,3.9 ,5.5 ,2.952 ,0.072 ,0.205 ,0.045 ,6.587 ,3.2304 ,2.0607 
7.2 ,11.5 ,227 ,9.0 ,2.9 ,4.6 ,3.5 ,5.6 ,7.0 ,2.576 ,0.073 ,0.194 ,0.039 ,6.856 ,3.5185 ,1.7782 
7.0 ,10.4 ,280 ,10.0 ,2.0 ,5.0 ,3.5 ,10.6 ,7.5 ,2.487 ,0.060 ,0.072 ,0.025 ,3.151 ,3.4014 ,1.7404 
7.3 ,11.0 ,254 ,11.0 ,2.9 ,5.5 ,3.7 ,16.3 ,12.2 ,2.285 ,0.072 ,0.147 ,0.026 ,6.237 ,3.6335 ,2.6021 
7.1 ,10.6 ,280 ,12.0 ,2.5 ,5.3 ,3.7 ,14.5 ,10.2 ,1.512 ,0.059 ,0.026 ,0.011 ,3.576 ,3.4150 ,1.7404 
7.6 ,9.5 ,275 ,14.0 ,3.1 ,6.2 ,4.1 ,34.7 ,11.2 ,1.786 ,0.050 ,0.102 ,0.006 ,3.543 ,3.7853 ,1.1761 
7.8 ,10.0 ,287 ,13.0 ,4.3 ,7.9 ,5.8 ,36.6 ,10.0 ,1.891 ,0.060 ,0.078 ,0.005 ,2.542 ,3.9031 ,1.7782 
7.5 ,9.1 ,245 ,16.0 ,2.9 ,6.4 ,4.5 ,26.1 ,13.1 ,1.579 ,0.057 ,0.021 ,0.010 ,4.563 ,3.8921 ,2.0607 
