p.H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN,T.P,NH3N,PO4P,Flow,logTC,logFC
-1.055563269,0.578469524,1.521056599,-1.518121433,0.866125687,-0.097801736,0.440181881,-0.680598431,-0.303345108,1.95053394,3.143879623,1.667446966,3.032529889,-0.367934607,1.078580429,0.483813165
0.091690877,1.206965533,1.835019328,-1.518121433,-0.36990187,0.061475377,0.061118779,-0.603091691,-0.472054178,1.879566071,2.194230174,1.598452686,2.592089984,-0.361570204,0.549809771,-0.379351748
0.091690877,1.311714867,1.197579848,-1.518121433,1.042701052,0.698583829,-0.047184964,-0.245368277,-0.339497052,0.992928539,0.932458178,0.645756657,1.077594873,-0.321931037,0.83663898,0.286042186
-0.099518147,0.543553079,1.073897561,-1.268755004,0.100965771,0.459668159,0.061118779,-0.358647358,-0.080408124,1.021960849,1.430526071,0.964855206,1.58757792,-0.341179899,1.453756368,0.572860301
-0.099518147,-0.015110041,1.102439628,-1.144071789,2.102153244,1.455150115,1.09000434,-0.987644361,0.552250887,1.896616792,1.968439396,1.946873804,1.819388397,-0.322847649,1.677480769,1.276904908
-0.099518147,0.578469524,0.24617764,-1.518121433,-0.134468049,-0.376536684,-0.372096194,-1.136695783,-0.363598348,0.844080346,1.563344176,0.328382965,1.943020651,-0.321014424,0.989638371,-0.329858807
-0.67314522,-0.259525155,1.330776158,-0.89470536,0.983842597,0.89768022,0.765093111,-0.919080706,0.058174326,1.841317154,1.875466722,1.95319828,2.20573919,-0.359494855,1.760231412,1.063472877
-0.099518147,0.124555739,-0.286607597,-0.89470536,0.983842597,0.340210325,-0.372096194,-1.244012807,0.829415787,0.345001112,0.640258348,0.02020851,0.722152142,0.117870016,1.288255081,1.178220202
-0.099518147,0.264221519,0.52208428,-1.144071789,0.159824226,-0.177440292,-0.372096194,-1.23805075,-0.339497052,0.351913566,0.527362958,-0.610514208,0.992597698,0.034544751,0.882360199,-0.778808969
-0.290727171,0.159472184,-0.34369173,-1.019388575,0.277541136,-0.575633075,-0.642855552,-1.169487096,-0.309370432,-0.198778664,-0.090241229,-0.508747643,0.165807,-0.048780513,0.771867253,-0.476630975
-0.099518147,0.124555739,0.445972104,-0.645338931,-0.075609594,-0.416355962,-0.642855552,-1.094961385,-0.21296525,0.294309777,0.879330936,-0.036711772,1.201227127,-0.280769947,0.25976579,-1.30375539
-0.290727171,-0.399190935,-0.096327155,-0.645338931,0.748408777,-0.01816318,-0.372096194,-0.454040269,0.44982038,-0.395092379,0.168754075,-0.496673644,0.219896111,-0.092310959,2.131240052,1.24528163
-0.099518147,0.438803744,-0.514944127,-0.271289287,0.100965771,-0.336717405,-0.426248066,-0.868403223,0.329313902,-0.421820538,1.66959866,-0.666859537,1.811661381,-0.243967091,1.005593171,-1.080986962
-0.099518147,0.124555739,0.636252545,-0.271289287,1.454710238,0.857860942,0.006966907,-0.269216505,0.425719085,0.05329552,0.978944515,-0.298890039,1.162592047,-0.339606093,1.655691751,0.493350344
0.282899901,0.578469524,1.140495716,-0.395972502,2.043294789,1.773704341,0.656789367,1.438912796,1.263239108,0.504448402,1.882107628,-0.509322596,1.858023476,-0.396989494,0.631250692,-0.232579579
-0.099518147,-0.15477582,-0.048757045,-0.146606072,1.160417963,0.539306716,0.115270651,0.109374108,0.401617789,-0.148087329,1.364117019,-0.590965828,1.324859381,-0.264651403,1.781663234,1.060862702
-0.481936196,-0.853104719,-0.001186935,0.352126786,-0.075609594,-0.45617524,-1.292678012,-0.793877512,0.076250298,-0.262834078,1.769212239,-0.53979507,2.275282333,-0.173993239,1.306114932,1.142480878
-0.099518147,-0.050026485,0.160551441,0.352126786,1.101559507,0.937499498,-0.317944322,-0.41230587,0.383541817,-0.36790339,0.587131106,-0.841645049,0.853511412,-0.247097409,1.078580429,-0.077073363
-0.67314522,-0.888021164,-0.457859995,0.352126786,-0.664194145,-0.69509091,-0.642855552,-1.208240466,0.142528861,-0.603387683,0.852767315,-0.888216188,0.722152142,0.046184001,1.771066389,0.674054792
-1.437981317,-1.237185614,-0.048757045,0.72617643,-0.311043415,-0.934006579,-0.426248066,-0.954853048,0.708909309,-0.361912596,0.965662704,-0.868667809,0.250804174,0.064810258,1.557819767,0.812896043
-0.099518147,-0.783271829,-0.077299111,1.100226074,-0.016751139,0.021656099,0.386030009,-0.817725739,0.431744409,-0.594171076,0.421108475,-0.764601435,0.119444904,-0.086396214,1.815477885,0.845523235
-0.67314522,-1.341934948,-0.381747818,1.100226074,-0.36990187,0.419848881,0.169422522,-0.799839569,0.708909309,-0.471590212,0.142190455,-0.867517904,-0.073730493,-0.099470913,1.42315649,0.246387599
-0.290727171,-0.748355384,0.255691662,1.100226074,0.454116501,-0.217259571,0.277726266,-0.117184054,1.202985869,-0.499240031,-0.043754892,-0.994007419,-0.166454683,-0.204362513,0.124149987,0.002436594
-0.481936196,-0.992770499,0.893131142,1.224909289,0.512974957,-0.774729466,-0.047184964,-0.811763682,1.606682571,-0.667903927,0.248444938,-0.876717142,-0.042822429,-0.310862509,-0.444031409,0.15422833
-0.67314522,-1.272102058,-0.353205752,1.100226074,-0.016751139,0.698583829,-0.155488707,-1.166506068,0.250984691,-0.444401223,0.885971841,-1.014130751,0.961689635,0.181202751,0.74662533,0.783581766
-0.290727171,-0.888021164,-1.704196888,0.975542859,-0.134468049,0.419848881,-1.076070526,-1.163525039,1.938075386,-1.182651393,0.447672096,-1.178567121,0.134898936,5.998596372,0.662564965,0.732181389
-0.864354244,0.019806404,-0.914533055,0.975542859,-0.60533569,-0.655271631,-1.184374269,-1.130733726,1.781416965,-1.336107888,-0.282827481,-1.200415309,0.173534015,1.525267972,1.064768811,1.020605767
-0.864354244,-1.376851393,-0.448345973,1.100226074,-0.48761878,0.419848881,-0.805311167,-0.910137621,1.582581276,-1.051775582,0.354699422,-0.99918199,0.219896111,0.890747295,1.064768811,1.508909341
-0.290727171,-1.027686944,-1.542458513,1.349592503,-0.664194145,-0.734910188,-1.23852614,-0.910137621,0.269060663,-0.953618724,-0.189854808,-0.982508372,0.080809825,0.002567081,0.597912304,0.783581766
-0.099518147,-1.237185614,-1.133355563,1.349592503,-0.60533569,-0.655271631,-1.184374269,-0.805801625,2.022429921,-0.951314573,0.607053821,-0.773800673,0.768514238,0.704398246,0.692212317,1.006350193
-0.481936196,-1.132436279,-1.780309065,1.100226074,-0.664194145,-0.894187301,-0.967766782,-0.984663332,2.66713958,-1.44025554,0.168754075,-1.147519694,-0.081457508,1.610374578,1.177404939,1.433916995
1.621363071,-0.992770499,-2.35115039,0.975542859,-0.781911055,-0.575633075,-1.455133627,-1.246993836,1.040302124,-1.797399037,0.055858686,-1.305056636,-0.212816778,6.532808511,0.920699346,1.183038987
0.091690877,-0.57377316,-1.333150027,1.100226074,-0.899627966,-1.252560805,-1.455133627,-0.922061735,-0.140661363,-1.057305546,-0.057036703,-1.033679131,0.018993698,0.19854921,0.124149987,0.225104631
-0.67314522,-0.818188274,-1.780309065,0.975542859,-1.252778696,-1.531295753,-1.671741114,-1.160544011,0.250984691,-1.560993084,-0.488695543,-1.183741692,0.018993698,0.825979111,0.562192601,0.921519494
-1.055563269,-1.027686944,-1.371206115,1.224909289,-0.958486421,-1.093283692,-1.130222397,-0.3735525,-0.243091869,-1.797399037,-0.39572287,-1.061276843,0.119444904,0.377772895,0.882360199,1.336637768
-0.864354244,-0.43410738,-0.705224569,0.352126786,-1.252778696,-1.37201864,-1.346829884,-0.951872019,-0.273218489,-0.684493819,-0.196495713,-1.056102272,0.026720714,-0.128006963,0.157488376,0.926840236
-0.864354244,-0.43410738,-0.667168481,0.352126786,-1.193920241,-1.37201864,-1.130222397,-0.901194536,-0.188863954,-0.748088403,0.142190455,-0.994007419,0.490341666,-0.133523932,0.106528267,0.704071809
-1.055563269,-0.783271829,-0.001186935,0.476810001,-1.076203331,-0.894187301,-0.751159296,-0.725313857,-0.200914602,-0.125967473,0.799640073,-0.638686873,0.984870682,-0.247235766,1.47625978,1.552479191
-0.481936196,-0.643606049,0.179579485,0.227443572,-1.076203331,-0.894187301,-1.076070526,-0.963796133,-0.206939926,-0.213064403,-0.262904765,-0.930187709,0.188988047,-0.28312201,-0.060401807,0.504995742
-0.099518147,0.403887299,-0.16292531,-0.271289287,-1.488212517,-0.814548744,-1.021918654,-1.0651511,-0.472054178,-0.499700861,-0.183213902,-0.949161137,0.111717888,-0.293083685,0.23249975,0.658192957
-0.099518147,-1.237185614,0.398401993,-0.271289287,-0.840769511,-0.894187301,-0.751159296,-1.0860183,-0.176813306,0.121498407,0.314853991,-0.440328315,0.583065857,-0.33237696,0.141057313,0.339450389
-0.481936196,-0.2944416,0.740906788,-0.645338931,-0.664194145,-0.774729466,-0.967766782,-0.898213507,0.919795645,0.252374218,0.255085844,-0.534620499,0.405344492,-0.354946381,0.203804923,0.127825403
-0.481936196,0.054722849,0.47451417,-0.770022145,-0.193326505,-0.535813797,-0.588703681,-0.877346308,0.901719674,0.332097863,2.260639226,-0.32131318,2.352552492,-0.326617867,0.333705573,0.674054792
0.091690877,0.124555739,1.292720069,-0.645338931,0.277541136,0.419848881,-0.101336836,-0.304988846,0.44982038,0.682789735,1.350835208,0.023083272,1.425310587,-0.362365754,0.597912304,0.783581766
0.091690877,0.124555739,1.730365085,-0.770022145,-0.016751139,-0.097801736,-0.426248066,-0.56731935,0.720959956,0.752375113,2.107898406,0.458322194,2.167104111,-0.354444839,0.310249635,0.527282624
0.091690877,0.508636634,1.854047372,-1.144071789,0.277541136,-0.217259571,-0.317944322,-0.346723244,0.516098943,1.063435577,-0.163291187,0.484770001,-0.151000651,-0.34481176,0.17332411,0.430003396
-1.246772293,0.753051748,1.359318224,-1.518121433,0.866125687,0.101294655,0.169422522,-0.102278912,2.179088343,0.543618979,0.739871926,0.072529173,0.042174746,-0.305259066,1.408987674,1.433916995
0.091690877,1.276798422,1.349804202,-1.019388575,-0.075609594,0.380029603,-0.209640579,-0.260273419,1.3114417,1.500302719,1.775853144,0.756722459,1.688029127,-0.367433065,0.547190327,0.225104631
