p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,,,,,
6.8 ,11.2 ,6.5 ,8.6 ,11.0 ,9.877 ,0.684 ,7.3 ,5.0 ,515 ,38000 ,5.316 ,0.498 ,21.1 ,1810 ,12.419 ,,,,,
7.4 ,13.0 ,4.4 ,9.0 ,8.2 ,9.723 ,0.541 ,6.6 ,5.0 ,548 ,13667 ,5.196 ,0.441 ,23.7 ,250 ,12.787 ,,,,,
7.4 ,13.3 ,6.8 ,10.6 ,10.4 ,7.799 ,0.351 ,6.4 ,5.0 ,481 ,23800 ,3.539 ,0.245 ,35.7 ,1150 ,15.079 ,,,,,
7.3 ,11.1 ,5.2 ,10.0 ,14.7 ,7.862 ,0.426 ,6.6 ,7.0 ,468 ,78500 ,4.094 ,0.311 ,31.9 ,2220 ,13.966 ,,,,,
7.3 ,9.5 ,8.6 ,12.5 ,25.2 ,9.760 ,0.507 ,8.5 ,8.0 ,471 ,121000 ,5.802 ,0.341 ,10.8 ,11160 ,15.026 ,,,,,
7.3 ,11.2 ,4.8 ,7.9 ,10.0 ,7.476 ,0.446 ,5.8 ,5.0 ,381 ,32000 ,2.987 ,0.357 ,5.8 ,280 ,15.132 ,,,,,
7.0 ,8.8 ,6.7 ,11.1 ,17.0 ,9.640 ,0.493 ,7.9 ,10.0 ,495 ,142000 ,5.813 ,0.391 ,13.1 ,6840 ,12.907 ,,,,,
7.3 ,9.9 ,6.7 ,9.7 ,29.8 ,6.393 ,0.307 ,5.8 ,10.0 ,325 ,57000 ,2.451 ,0.199 ,2.2 ,8900 ,40.509 ,,,,,
7.3 ,10.3 ,5.3 ,8.4 ,10.4 ,6.408 ,0.290 ,5.8 ,8.0 ,410 ,26000 ,1.354 ,0.234 ,2.4 ,100 ,35.691 ,,,,,
7.2 ,10.0 ,5.5 ,7.4 ,10.9 ,5.213 ,0.197 ,5.3 ,9.0 ,319 ,21000 ,1.531 ,0.127 ,4.7 ,200 ,30.873 ,,,,,
7.3 ,9.9 ,4.9 ,7.8 ,12.5 ,6.283 ,0.343 ,5.3 ,12.0 ,402 ,7800 ,2.352 ,0.261 ,7.2 ,30 ,17.459 ,,,,,
7.2 ,8.4 ,6.3 ,8.8 ,23.5 ,4.787 ,0.236 ,5.8 ,12.0 ,345 ,291000 ,1.552 ,0.134 ,28.7 ,10380 ,28.356 ,,,,,
7.3 ,10.8 ,5.2 ,8.0 ,21.5 ,4.729 ,0.462 ,5.7 ,15.0 ,301 ,33000 ,1.256 ,0.340 ,14.8 ,50 ,19.587 ,,,,,
7.3 ,9.9 ,7.5 ,11.0 ,23.1 ,5.760 ,0.358 ,6.5 ,15.0 ,422 ,116000 ,1.896 ,0.256 ,34.9 ,1850 ,14.057 ,,,,,
7.5 ,11.2 ,8.5 ,13.3 ,37.0 ,6.739 ,0.494 ,7.7 ,14.0 ,475 ,16000 ,1.530 ,0.346 ,92.2 ,350 ,10.739 ,,,,,
7.3 ,9.1 ,7.0 ,10.2 ,22.7 ,5.323 ,0.416 ,6.7 ,16.0 ,350 ,148000 ,1.388 ,0.277 ,47.6 ,6800 ,18.391 ,,,,,
7.1 ,7.1 ,4.9 ,7.7 ,17.3 ,5.074 ,0.477 ,4.1 ,20.0 ,355 ,59000 ,1.477 ,0.400 ,17.3 ,8200 ,23.633 ,,,,,
7.3 ,9.4 ,6.9 ,11.2 ,22.4 ,4.846 ,0.299 ,5.9 ,20.0 ,372 ,38000 ,0.952 ,0.216 ,30.1 ,500 ,19.406 ,,,,,
7.0 ,7.0 ,3.9 ,7.1 ,18.4 ,4.335 ,0.339 ,5.3 ,20.0 ,307 ,145000 ,0.871 ,0.199 ,3.4 ,2800 ,36.364 ,,,,,
6.6 ,6.0 ,4.5 ,6.5 ,27.8 ,4.859 ,0.356 ,5.7 ,23.0 ,350 ,96000 ,0.905 ,0.138 ,11.9 ,3850 ,37.441 ,,,,,
7.3 ,7.3 ,5.0 ,8.9 ,23.2 ,4.355 ,0.274 ,7.2 ,26.0 ,347 ,158000 ,1.086 ,0.121 ,16.5 ,4150 ,28.698 ,,,,,
7.0 ,5.7 ,4.4 ,9.9 ,27.8 ,4.621 ,0.232 ,6.8 ,26.0 ,315 ,74000 ,0.907 ,0.096 ,17.1 ,1050 ,27.942 ,,,,,
7.2 ,7.4 ,5.8 ,8.3 ,36.0 ,4.561 ,0.204 ,7.0 ,26.0 ,382 ,6000 ,0.687 ,0.084 ,40.0 ,600 ,21.877 ,,,,,
7.1 ,6.7 ,5.9 ,6.9 ,42.7 ,4.195 ,0.248 ,6.4 ,27.0 ,449 ,2000 ,0.891 ,0.100 ,16.7 ,850 ,15.719 ,,,,,
