Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2016.01.04,86.9,114.7,,,,,,,,,,,,,86.9
2016.01.11,114.7,112.9,,,,,,,,,,,,86.9,114.7
2016.01.18,112.9,116.6,,,,,,,,,,,86.9,114.7,112.9
2016.01.28,116.6,32.6,,,,,,,,,,86.9,114.7,112.9,116.6
2016.02.02,32.6,66.8,,,,,,,,,86.9,114.7,112.9,116.6,32.6
2016.02.11,66.8,43.1,,,,,,,,86.9,114.7,112.9,116.6,32.6,66.8
2016.02.15,43.1,38.6,,,,,,,86.9,114.7,112.9,116.6,32.6,66.8,43.1
2016.02.22,38.6,75.1,,,,,,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6
2016.02.29,75.1,27.4,,,,,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1
2016.03.07,27.4,15.7,,,,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4
2016.03.14,15.7,47.4,,,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7
2016.03.21,47.4,87.6,,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4
2016.03.28,87.6,28.5,86.9,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6
2016.04.04,28.5,17.8,114.7,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5
2016.04.11,17.8,16.6,112.9,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8
2016.04.18,16.6,61.5,116.6,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6
2016.04.25,61.5,32.9,32.6,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5
2016.05.02,32.9,59.7,66.8,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9
2016.05.09,59.7,84.7,43.1,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7
2016.05.16,84.7,13.6,38.6,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7
2016.05.23,13.6,38.4,75.1,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6
2016.05.30,38.4,45.5,27.4,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4
2016.06.07,45.5,40,15.7,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5
2016.06.13,40,45.5,47.4,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40
2016.06.20,45.5,9.5,87.6,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5
2016.06.27,9.5,2.8,28.5,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5
2016.07.05,2.8,28.9,17.8,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8
2016.07.11,28.9,14.9,16.6,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9
2016.07.18,14.9,19.8,61.5,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9
2016.07.25,19.8,12.1,32.9,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8
2016.08.01,12.1,11,59.7,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1
2016.08.08,11,10.1,84.7,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11
2016.08.16,10.1,16.9,13.6,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1
2016.08.22,16.9,24.4,38.4,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9
2016.08.29,24.4,21.1,45.5,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4
2016.09.05,21.1,14.2,40,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1
2016.09.12,14.2,3,45.5,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2
2016.09.20,3,89.4,9.5,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2,3
2016.09.26,89.4,18.1,2.8,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4
2016.10.04,18.1,4.5,28.9,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1
2016.10.10,4.5,7.8,14.9,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5
2016.10.18,7.8,14.4,19.8,12.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8
2016.10.24,14.4,34.7,12.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4
2016.11.01,34.7,40.1,11,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7
2016.11.07,40.1,51.1,10.1,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1
2016.11.14,51.1,21.4,16.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1
2016.11.21,21.4,11.9,24.4,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4
2016.11.28,11.9,22.8,21.1,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9
2016.12.05,22.8,35.5,14.2,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8
2016.12.12,35.5,41.4,3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5
2016.12.19,41.4,10.3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4
2016.12.26,10.3,11,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3
2017.01.02,11,63.9,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11
2017.01.09,63.9,59,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9
