date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2023-01-09,47,46.085293,38.748917,26.17571,32.780346,32.863148,44.14446,36.892212,40.461708,39.318592,45.093838,38.696186,45.677963
2023-01-16,37.4,70.33191,56.13994,34.64664,59.833538,49.233105,69.14742,53.72475,47.466084,53.51745,48.22578,42.52815,43.609783
2023-01-30,53.2,112.45583,136.54742,141.37222,165.92871,167.69473,118.27824,150.92911,161.95071,167.64241,183.33614,43.86059,67.77292
2023-02-06,42.4,76.23545,74.99351,52.352676,82.48949,66.098076,71.46852,80.416626,76.64192,102.985016,86.26421,46.349075,53.71377
2023-02-13,26.7,45.4559,34.128643,23.650192,32.87191,35.322014,44.487793,35.10242,38.11377,39.56498,39.412914,43.707417,51.645737
2023-02-20,18,32.11147,24.679125,17.392727,18.399778,20.37694,31.61218,22.29931,26.296745,30.296589,28.722565,36.710327,60.709156
2023-02-27,11.3,35.447273,25.95116,18.475185,19.980185,20.388882,36.212246,23.106764,24.964231,27.57272,28.176928,33.665607,43.952904
2023-04-03,115.7,53.322426,33.229595,23.295725,25.305153,36.399193,46.598587,42.38213,50.730106,45.66083,59.737854,33.061943,30.319593
2023-04-10,29.1,30.624876,23.618322,16.749851,16.46915,19.094091,29.51824,26.704576,33.467827,30.943378,39.132263,59.456554,68.535385
2023-04-17,34.2,52.42431,41.037952,32.498985,30.731441,41.490597,42.39614,29.929193,36.74933,35.959618,40.001854,47.549923,63.483944
2023-04-24,34.8,39.842155,28.836348,22.978012,22.445135,31.267248,32.487843,24.297512,30.271423,26.945377,34.037,36.271145,27.250977
2023-05-02,18.8,27.976229,22.270617,15.9747505,15.144172,18.117132,25.061026,21.433456,26.143692,24.15924,30.877924,34.195683,21.826046
2023-05-08,5.4,35.163788,33.053658,25.017925,22.741804,24.401623,30.866419,31.818464,36.74455,26.887987,39.262455,33.717022,21.252253
2023-05-15,39.6,57.81315,55.31311,43.077972,51.094852,48.35463,68.41042,70.35082,71.43455,67.04628,71.01882,33.212337,29.353607
2023-05-22,27.4,38.759384,25.525953,19.291777,22.269966,28.650171,55.2176,38.907253,40.33849,33.73242,32.60688,34.769375,30.022734
2023-05-30,16.7,36.744846,34.671124,23.830708,28.483376,29.817312,20.689674,22.635723,25.17395,16.02169,20.504536,36.22967,25.134148
2023-06-05,50.4,65.46337,68.218834,54.61433,74.897545,72.15176,58.295948,49.441376,56.242588,72.766495,69.70762,33.87267,48.99354
2023-06-12,36.5,42.42065,35.459526,29.021317,34.079662,36.213753,46.48176,35.43824,41.521503,36.973484,40.168335,38.85564,31.867085
2023-06-19,28.3,55.420666,37.892536,32.475258,37.53112,41.948044,83.41588,67.69759,66.40215,69.93454,61.782314,45.807537,25.42466
2023-06-26,49.7,25.833506,20.33462,17.927277,21.551449,22.368034,24.74504,28.38584,27.17376,13.912996,20.258512,38.696186,45.677963
2023-07-03,6.6,26.695173,26.995071,21.877956,21.318443,17.817106,25.337402,20.96173,24.948467,18.232777,24.185745,38.7909,47.030083
2023-07-10,3.5,9.915547,11.852068,9.573256,7.7917953,8.502987,14.43575,14.780706,13.058932,5.8470902,7.296644,35.13637,30.0511
2023-07-20,3.6,5.838901,7.420205,4.311337,7.687073,6.345981,6.58123,6.0319567,7.5803795,7.5576463,5.820979,33.203297,36.332874
2023-07-26,2.5,4.6185684,10.774113,6.202876,7.35625,6.1154895,7.036565,4.415347,6.526865,4.554414,5.913368,33.07472,22.150099
2023-08-02,20.7,50.146988,71.835526,74.25241,81.824036,82.03391,54.460163,59.94469,67.075294,61.305115,65.46988,33.1151,27.615116
2023-08-07,30.7,35.176598,46.15317,41.152298,41.345123,33.98904,20.610003,29.36161,37.962284,26.277029,32.645176,32.76359,29.666845
2023-08-16,30.1,54.922142,64.59366,61.963223,68.15769,66.23134,55.37911,56.797543,62.815575,62.943024,76.51467,33.465275,29.666376
2023-08-21,24.1,36.027145,44.47886,38.581554,51.84899,42.63674,32.700687,28.427946,33.678307,37.923607,36.432846,34.646366,28.006033
2023-08-29,17.2,14.457771,16.371675,12.456212,11.344167,11.486548,15.350733,17.993425,15.366801,5.9809866,7.946376,33.845203,32.92007
2023-09-04,38.1,46.115578,62.945404,66.390495,66.39638,65.52505,49.286354,58.108776,71.18061,68.00106,67.383,33.294823,27.320736
2023-09-11,17.1,39.396164,49.80511,46.925316,56.044044,55.532146,36.53503,35.080555,42.86158,48.166267,51.381905,34.466503,25.886642
2023-09-18,2.7,7.305931,8.355621,7.173771,6.2013607,6.7608266,9.476355,10.090261,13.41287,5.948092,7.359104,34.194187,38.750565
2023-09-26,16.6,18.478645,15.614441,11.464921,11.630681,11.569673,26.531994,22.056559,25.372929,12.922333,18.091879,33.24191,42.753357
2023-10-04,7,56.607254,55.984497,43.37121,51.142593,53.210743,59.12702,44.56486,47.081535,46.10492,53.838665,32.848698,25.249687
2023-10-10,21.9,73.67156,73.626366,58.648964,67.21111,65.62576,76.15799,63.151047,63.650883,66.60317,77.25634,33.177464,23.198048
2023-10-16,25.3,84.734375,90.888916,78.293655,95.61894,89.9558,97.21037,103.1394,104.1447,102.22658,107.80801,32.80733,34.388794
2023-10-23,24.1,62.947563,52.179573,37.306625,53.0517,45.869053,78.25893,61.029808,56.75372,57.011612,50.66833,33.248463,26.865356
2023-10-30,28.8,51.50572,38.08346,28.257318,30.075705,35.539272,51.834946,31.026,34.730667,35.333965,31.122343,33.396282,26.279446
2023-11-06,21,47.37638,39.952667,27.228024,42.732555,46.127117,30.930744,28.221342,31.336185,26.581856,28.57528,33.481743,27.884861
2023-11-13,16.1,34.15319,21.083998,14.80526,13.822623,21.237595,30.552908,18.72649,20.2378,19.753944,22.217396,33.52456,29.349987
2023-11-20,13.7,28.810982,24.751228,15.898727,15.614667,23.005991,21.498594,15.802414,20.108295,17.810268,20.9623,33.174248,30.229134
2023-11-27,12.9,31.111849,26.009892,20.106031,16.37858,27.22603,21.35642,18.261919,24.795502,21.773666,27.42271,33.077366,30.732634
2023-12-04,8.3,21.27188,18.910196,13.032951,11.897993,18.202446,16.113235,13.100328,18.749163,17.77921,21.0968,33.05629,30.39439
2023-12-11,14.3,32.615456,31.236475,18.577314,29.346073,32.640656,19.553354,21.536642,27.648438,20.39055,26.169489,33.111866,30.700798
2023-12-18,13.2,50.00556,46.64299,32.305046,34.73298,39.870995,40.14781,33.444843,33.47195,30.803204,35.81615,32.969288,30.435024
