Date,Chla,WT,y_t+1,Chla_t-12,WT_t-12,Chla_t-11,WT_t-11,Chla_t-10,WT_t-10,Chla_t-9,WT_t-9,Chla_t-8,WT_t-8,Chla_t-7,WT_t-7,Chla_t-6,WT_t-6,Chla_t-5,WT_t-5,Chla_t-4,WT_t-4,Chla_t-3,WT_t-3,Chla_t-2,WT_t-2,Chla_t-1,WT_t-1,Chla_t-0,WT_t-0
2016.01.04,86.9,6.8,114.7,,,,,,,,,,,,,,,,,,,,,,,,,86.9,6.8
2016.01.11,114.7,5.8,112.9,,,,,,,,,,,,,,,,,,,,,,,86.9,6.8,114.7,5.8
2016.01.18,112.9,5.3,116.6,,,,,,,,,,,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3
2016.01.28,116.6,3.2,32.6,,,,,,,,,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2
2016.02.02,32.6,3.4,66.8,,,,,,,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4
2016.02.11,66.8,4.9,43.1,,,,,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9
2016.02.15,43.1,6,38.6,,,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9,43.1,6
2016.02.22,38.6,7.3,75.1,,,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9,43.1,6,38.6,7.3
2016.02.29,75.1,6.9,27.4,,,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9,43.1,6,38.6,7.3,75.1,6.9
2016.03.07,27.4,10.5,15.7,,,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9,43.1,6,38.6,7.3,75.1,6.9,27.4,10.5
2016.03.14,15.7,9.3,47.4,,,,,86.9,6.8,114.7,5.8,112.9,5.3,116.6,3.2,32.6,3.4,66.8,4.9,43.1,6,38.6,7.3,75.1,6.9,27.4,10.5,15.7,9.3
