 Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2016.01.04,16.9,36.9,,,,,,,,,,,,,16.9
2016.01.11,36.9,38.9,,,,,,,,,,,,16.9,36.9
2016.01.18,38.9,21.2,,,,,,,,,,,16.9,36.9,38.9
2016.01.28,21.2,13.3,,,,,,,,,,16.9,36.9,38.9,21.2
2016.02.02,13.3,14.7,,,,,,,,,16.9,36.9,38.9,21.2,13.3
2016.02.11,14.7,16,,,,,,,,16.9,36.9,38.9,21.2,13.3,14.7
2016.02.15,16,13.1,,,,,,,16.9,36.9,38.9,21.2,13.3,14.7,16
2016.02.22,13.1,44.5,,,,,,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1
2016.02.29,44.5,5.7,,,,,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5
2016.03.07,5.7,15.6,,,,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7
2016.03.14,15.6,59.8,,,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6
2016.03.21,59.8,104.5,,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8
2016.03.28,104.5,82.1,16.9,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5
2016.04.04,82.1,107,36.9,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1
2016.04.11,107,36.7,38.9,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107
2016.04.18,36.7,31.2,21.2,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7
2016.04.25,31.2,39,13.3,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2
2016.05.02,39,49,14.7,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39
2016.05.09,49,139.2,16,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39,49
2016.05.16,139.2,51.5,13.1,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39,49,139.2
2016.05.23,51.5,50.3,44.5,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39,49,139.2,51.5
2016.05.30,50.3,22.7,5.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39,49,139.2,51.5,50.3
2016.06.07,22.7,73.7,15.6,59.8,104.5,82.1,107,36.7,31.2,39,49,139.2,51.5,50.3,22.7
2016.06.13,73.7,57.5,59.8,104.5,82.1,107,36.7,31.2,39,49,139.2,51.5,50.3,22.7,73.7
2016.06.20,57.5,15.5,104.5,82.1,107,36.7,31.2,39,49,139.2,51.5,50.3,22.7,73.7,57.5
2016.06.27,15.5,2.3,82.1,107,36.7,31.2,39,49,139.2,51.5,50.3,22.7,73.7,57.5,15.5
2016.07.05,2.3,59.5,107,36.7,31.2,39,49,139.2,51.5,50.3,22.7,73.7,57.5,15.5,2.3
2016.07.11,59.5,39.4,36.7,31.2,39,49,139.2,51.5,50.3,22.7,73.7,57.5,15.5,2.3,59.5
2016.07.18,39.4,45.5,31.2,39,49,139.2,51.5,50.3,22.7,73.7,57.5,15.5,2.3,59.5,39.4
