date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2023-01-09,48.7,53.21828,51.503674,39.171425,51.606956,49.009193,50.44382,51.16904,54.03429,61.731987,49.655964,52.93498,66.38564
2023-01-16,62.5,75.606186,72.40346,60.943054,73.13587,62.90109,89.86375,88.989815,87.36636,85.82265,87.47711,53.636898,52.500523
2023-01-30,47.9,53.60049,62.2115,52.152634,67.18103,61.028954,51.291016,58.197834,66.49656,77.678055,62.745544,54.300903,39.09109
2023-02-06,55.5,56.373466,63.29311,51.94198,68.80495,62.29535,48.27495,56.414345,63.748394,75.768745,63.04112,49.550076,44.792458
2023-02-13,53.8,80.19933,84.17822,69.02926,93.25622,82.5957,87.95611,96.70309,96.85618,114.56355,96.20816,52.679348,47.47655
2023-02-20,59,61.684563,66.29911,56.28153,74.08861,65.76088,55.885574,60.540867,64.94452,82.81146,65.546814,50.884953,51.41408
2023-02-27,51.6,64.145996,70.63685,59.652218,80.49998,70.79921,57.257633,65.14381,74.20625,91.049355,72.79822,52.61492,50.50104
2023-04-03,68.6,71.91146,75.225845,62.57547,86.54965,75.48537,54.733112,61.300114,70.47581,89.75558,69.183075,50.019165,47.600697
2023-04-10,28.6,47.75111,44.06362,32.96257,41.81813,38.57966,44.977932,38.76681,47.472412,43.89719,42.976013,53.360676,47.346973
2023-04-17,67.6,70.31132,69.77151,57.509155,77.0781,67.5645,68.75007,64.884026,66.77103,87.279366,63.56953,44.827175,40.158276
2023-04-24,42.5,67.11071,68.3359,57.158077,76.71996,68.272415,46.1329,52.180714,61.69327,76.70797,58.406372,51.44551,42.657524
2023-05-02,83,90.16582,89.76121,78.26542,102.85739,86.226974,75.29782,81.35052,87.20574,116.47596,94.02214,47.284077,42.74982
2023-05-08,3.7,25.879328,23.133635,16.984562,30.550587,21.423603,32.290718,25.24043,25.401958,29.038536,24.626625,54.790573,55.887157
2023-05-15,45,103.43551,95.479256,78.99282,82.83813,73.83854,85.49313,85.85253,86.64443,82.19326,80.55647,39.97063,42.87836
2023-05-22,33.6,69.206825,58.86708,49.10351,64.15946,52.112118,64.747116,56.187572,57.87891,73.25317,53.40646,43.7449,41.01853
2023-05-30,8.3,13.051206,11.1056795,7.6680903,21.504118,22.983637,9.406024,14.503315,18.278934,34.19757,21.44698,45.940197,41.623013
2023-06-05,79.7,93.282364,92.60321,83.81089,100.662834,97.07156,90.018776,86.165985,89.49789,95.12566,83.129395,35.980053,43.517887
2023-06-12,36.8,80.686844,64.95512,56.36241,67.27331,56.852722,76.50479,67.5162,71.95123,68.32784,66.12913,53.028244,49.37595
2023-06-19,26.7,69.369545,54.081165,43.808987,56.742527,46.979614,68.11705,58.17243,64.86325,55.360092,56.45472,44.154,43.022167
2023-06-26,7.5,11.295181,22.153187,17.348522,40.812183,10.5508375,6.0212154,17.968513,35.494045,39.412586,27.14744,38.362762,34.61376
2023-07-03,3.5,22.636244,15.07672,11.639314,17.263824,12.111333,9.511162,11.817151,16.644135,10.497936,8.913459,34.644146,28.623077
2023-07-10,3,11.920197,7.576916,5.776652,8.280173,5.1197996,7.876195,9.573103,11.543032,7.463016,8.080373,34.09168,39.825474
2023-07-20,6.4,16.047213,7.814054,14.874441,6.2791386,4.900756,0.13448645,4.219648,4.55875,3.4226446,4.1515894,34.084885,39.825405
2023-07-26,3.1,6.6158476,1.1459529,4.3868427,1.1205539,4.0869226,2.316355,5.3637133,5.4271426,3.9303055,3.224366,34.4622,32.38706
2023-08-02,42.5,92.62736,89.71541,79.68811,102.70018,113.61025,83.452324,76.61451,90.95976,84.95466,95.27693,34.16032,25.747295
