Year, Month, Date,Spot,Time,BOD,COD,TN,TP,TOC,NH3N,NO3N,PO4P,SS,pH,DO,EC,Chla,WT,WL,WS,RF,TI,TD
2016,1,2016.01.04,±¤»ê,0,2.3,4.9,5.535,0.081,4.5,1.432,3.889,0.024,6.1,6.8,11.8,406,16.9,7.7,7.51,8.99,0,14.85,15.07
2016,1,2016.01.11,±¤»ê,7,2.9,5.5,6.618,0.161,5.1,1.356,4.347,0.066,4.7,7.5,12.7,416,36.9,7.5,7.5,8.971,0,14.735,15.174
2016,1,2016.01.18,±¤»ê,14,2.9,6,7.88,0.14,5.8,1.884,4.714,0.033,5.5,7.4,13.6,462,38.9,7,7.51,8.99,3.7453,15.356,15.136
2016,1,2016.01.28,±¤»ê,24,2.4,5,7.099,0.114,5.7,2.014,4.432,0.021,4.2,7,13.1,385,21.2,4.2,7.62,9.216,7.3612,19.858,17.458
2016,2,2016.02.02,±¤»ê,29,4.2,6.5,4.747,0.232,5.6,1.387,2.729,0.125,8.7,6.7,11.3,371,13.3,4.2,7.55,9.066,0,22.615,23.61
2016,2,2016.02.11,±¤»ê,38,2.6,5.1,6.908,0.101,5.9,2.569,3.807,0.029,4.1,7.1,13.2,414,14.7,6.3,7.27,8.668,0,16.631,19.988
2016,2,2016.02.15,±¤»ê,42,3.8,6,4.372,0.167,6.1,1.383,2.087,0.07,14.8,7.2,10.2,294,16,8.8,7.53,9.028,0.948,32.607,33.544
2016,2,2016.02.22,±¤»ê,49,2.2,5.6,5.504,0.119,4.8,1.895,3.114,0.069,6.8,6.8,11.5,348,13.1,7.8,7.5,8.971,0,21.568,21.415
2016,2,2016.02.29,±¤»ê,56,4.5,5.9,5.608,0.149,5,1.575,3.216,0.067,8.7,7.5,13.9,350,44.5,7.3,7.49,8.958,1.7251,17.657,18.029
2016,3,2016.03.07,±¤»ê,63,5.9,7.5,3.295,0.204,6.3,0.636,1.779,0.055,44.7,7,8.3,229,5.7,12.1,7.59,9.152,0,56.526,59.013
2016,3,2016.03.14,±¤»ê,70,2.6,6.1,4.76,0.18,5.1,1.393,2.63,0.086,8.7,6.7,12.6,287,15.6,8.3,7.49,8.958,0,19.611,19.764
2016,3,2016.03.21,±¤»ê,77,4.5,7.3,5.455,0.156,5.7,1.462,3.238,0.028,10.9,7.1,8.6,345,59.8,12.8,7.5,8.971,0,14.323,14.17
2016,3,2016.03.28,±¤»ê,84,6.3,8.7,5.908,0.164,7.1,1.753,3.113,0.014,13.6,8,12.2,407,104.5,13,7.22,8.602,0,13.662,14.12
2016,4,2016.04.04,±¤»ê,91,7.1,9.1,5.853,0.08,6.3,1.592,3.396,0.014,10.4,7.6,13.6,419,82.1,15.7,7.51,8.99,0.897,11.15,10.778
2016,4,2016.04.11,±¤»ê,98,6.6,9.2,3.405,0.162,6.5,0.693,1.842,0.026,11.4,7.7,10,283,107,16.3,7.53,9.028,0,18.13,18.35
2016,4,2016.04.18,±¤»ê,105,5,7.5,2.704,0.19,6.2,0.568,1.626,0.038,20.7,6.8,8.4,207,36.7,16.2,7.6,9.173,0,58.776,60.268
2016,4,2016.04.25,±¤»ê,112,2.7,5.6,3.369,0.116,4.4,0.701,2.303,0.022,8.5,6.5,7.9,227,31.2,18,7.5,8.971,0,26.969,27.408
2016,5,2016.05.02,±¤»ê,119,3.6,7,3.454,0.127,5.5,0.787,1.95,0.034,9.5,6.7,8.5,222,39,19.1,7.64,9.259,16.4737,33.315,31.077
2016,5,2016.05.09,±¤»ê,126,3.4,6.3,4.222,0.134,5.5,1.181,2.131,0.049,9.1,6.2,8.3,260,49,19.4,7.49,8.958,0.0428,23.27,23.423
2016,5,2016.05.16,±¤»ê,133,5.9,8.6,4.405,0.165,7,1.17,2.027,0.01,18.6,6.9,13.2,311,139.2,21.2,7.51,8.99,5.8747,31.629,29.12
2016,5,2016.05.23,±¤»ê,140,4.6,7.7,4.273,0.149,5.7,1.479,2.113,0.059,6.9,7.5,10.9,314,51.5,23.8,7.41,8.852,0,19.423,21.016
