연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2022,1,1회차,2022.01.03,영산강상류,우치,3.1,44.5,5.4,0.039,2.65,3.002,0.097
2022,1,1회차,2022.01.03,죽산보(영산강중류),광산,5.5,72.3,10.4,3.193,3.117,7.471,0.163
2022,1,1회차,2022.01.03,황룡강,황룡강5,2.9,10.1,4.8,0.364,1.303,2.163,0.064
2022,1,1회차,2022.01.04,영산강상류,광주1,4.1,99,8.7,0.026,1.677,2.592,0.111
2022,1,1회차,2022.01.04,영산강상류,광주2,5.4,66.8,9.8,5.649,2.054,7.923,0.194
2022,1,1회차,2022.01.04,영산강상류,광주3,8.6,52.1,9.8,8.017,1.987,10,0.341
2022,1,1회차,2022.01.05,황룡강,황룡강1,0.7,33.2,2.2,0.01,0.304,0.392,0.027
2022,1,1회차,2022.01.05,황룡강,황룡강4,2.8,15.4,5.4,0.171,1.275,1.638,0.038
2022,1,1회차,2022.01.05,황룡강,황룡강2,1,6.9,2.8,0.004,1.158,1.365,0.037
2022,1,1회차,2022.01.06,영산강상류,광주천1,5.4,6.4,8.6,5.546,3.946,12.936,0.192
2022,1,1회차,2022.01.10,영산강상류,광주천2,6.9,103.7,11.2,0.682,3.804,5.507,0.362
2022,1,1회차,2022.01.12,영산강상류,산동,7.8,172.3,13.2,0,1.75,3.035,0.176
2022,1,2회차,2022.01.10,영산강상류,우치,3,54.2,5.5,0.025,2.374,2.839,0.074
2022,1,2회차,2022.01.10,죽산보(영산강중류),광산,6.1,97.2,10.1,3.763,2.79,8.196,0.26
2022,1,2회차,2022.01.10,황룡강,황룡강5,4,19.7,4.9,0.358,1.323,2.111,0.057
2022,1,2회차,2022.01.12,영산강상류,광주1,6.9,158.3,11.5,0,1.337,2.517,0.136
2022,1,2회차,2022.01.12,영산강상류,광주2,6.1,88.2,10.7,5.156,1.761,9.617,0.219
2022,1,2회차,2022.01.12,영산강상류,광주3,8.5,86.5,10.8,6.147,1.652,10.446,0.298
2022,1,2회차,2022.01.17,영산강상류,광주천2,6.2,97.2,12.5,0.597,3.536,5.052,0.104
2022,1,3회차,2022.01.17,영산강상류,우치,3.2,44.5,5,0.017,2.427,2.841,0.056
2022,1,3회차,2022.01.17,죽산보(영산강중류),광산,6.9,54.9,8.7,5.626,2.527,9.409,0.118
2022,1,3회차,2022.01.17,황룡강,황룡강5,2.6,15.3,5.2,0.398,1.336,2.253,0.07
2022,1,3회차,2022.01.19,영산강상류,광주1,6,130.1,10.7,0,1.446,2.454,0.107
2022,1,3회차,2022.01.19,영산강상류,광주2,6.7,66.7,10.5,6.207,1.882,10.238,0.498
2022,1,3회차,2022.01.19,영산강상류,광주3,7.2,83.2,11.4,6.505,1.9,10.734,0.281
2022,1,3회차,2022.01.24,영산강상류,광주천2,5.7,98,11.5,0.019,1.594,2.121,0.054
2022,1,4회차,2022.01.24,영산강상류,우치,2.4,47.4,5.3,0.02,2.07,2.469,0.101
2022,1,4회차,2022.01.24,죽산보(영산강중류),광산,5.8,71.9,10,5.699,2.659,10.126,0.229
2022,1,4회차,2022.01.24,황룡강,황룡강5,2.8,24.1,6.9,0.583,1.283,2.484,0.077
2022,1,4회차,2022.01.25,영산강상류,광주1,5.7,113.6,10.5,0.011,1.524,2.138,0.098
