연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,Q,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2016,1,1회차,2016.01.04,영산강상류,우치,3.536,1.6,3.8,3.6,0.278,2.525,3.239,0.062
2016,1,1회차,2016.01.04,영산강상류,광주천2,0.672,1.8,5.4,4.9,0.251,5.095,5.51,0.057
2016,1,1회차,2016.01.04,죽산보(영산강중류),광산,15.07,2.3,16.9,4.9,1.432,3.889,5.535,0.081
2016,1,1회차,2016.01.04,황룡강,황룡강5,4.395,1.5,12.2,3.6,0.028,1.833,2.167,0.089
2016,1,1회차,2016.01.05,영산강상류,광주천1,,1.2,5.9,5.2,0.045,5.113,5.505,0.033
2016,1,1회차,2016.01.05,영산강상류,광주1,,1.5,7,4,0.106,2.009,2.45,0.041
2016,1,1회차,2016.01.05,영산강상류,광주2,,2,6.7,5.5,2.25,4.78,7.921,0.052
2016,1,1회차,2016.01.05,영산강상류,광주3,,1.9,5.3,6.1,2.986,4.93,8.733,0.087
2016,1,1회차,2016.01.06,황룡강,황룡강4,,1.3,24.4,5.8,0.057,1.664,1.896,0.038
2016,1,1회차,2016.01.07,황룡강,황룡강1,,2.5,1.9,2.4,0.018,1.469,1.542,0.014
2016,1,1회차,2016.01.07,황룡강,황룡강2,,2.6,2.2,2.4,0.014,1.514,1.851,0.025
2016,1,1회차,2016.01.21,황룡강,황룡강3,2.873,1.4,,3.3,,,2.464,0.06
2016,1,2회차,2016.01.11,죽산보(영산강중류),광산,15.157,2.9,36.9,5.5,1.356,4.347,6.618,0.161
2016,1,2회차,2016.01.12,영산강상류,우치,3.138,1.1,3.9,3.3,0.127,2.353,2.846,0.054
2016,1,2회차,2016.01.12,영산강상류,광주천2,1.168,1.8,15.3,4.8,0.081,5.578,6.346,0.063
2016,1,2회차,2016.01.12,영산강상류,광주1,,2,4.3,4,0.095,1.885,2.419,0.042
2016,1,2회차,2016.01.12,영산강상류,광주2,,3,6.9,6,2.417,5.023,8.397,0.058
2016,1,2회차,2016.01.12,영산강상류,광주3,,2.2,6.6,6.4,2.726,5.083,8.586,0.08
2016,1,2회차,2016.01.12,황룡강,황룡강5,3.127,2.2,26.3,3.6,0.03,1.363,1.849,0.103
2016,1,2회차,2016.01.29,황룡강,황룡강3,4.331,1.7,,3.9,,,2.656,0.077
2016,1,3회차,2016.01.18,영산강상류,우치,3.858,1.6,9.3,3.7,0.137,2.267,2.656,0.049
2016,1,3회차,2016.01.18,영산강상류,광주천2,1.121,3.2,15,6.2,0.22,4.956,6.873,0.089
2016,1,3회차,2016.01.18,영산강상류,광주1,,2.3,15.1,5.4,0.281,2.246,2.785,0.077
2016,1,3회차,2016.01.18,영산강상류,광주2,,3.9,14.7,6.8,1.637,5.113,7.071,0.073
2016,1,3회차,2016.01.18,영산강상류,광주3,,3.5,11.6,6.4,3.606,4.857,8.967,0.105
