연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2020,1,1회차,2020.01.06,영산강상류,산동,3.1,8.2,6.4,0.236,1.984,2.956,0.128
2020,1,1회차,2020.01.06,영산강상류,우치,1.8,7.1,4.5,0.217,2.377,3.123,0.104
2020,1,1회차,2020.01.06,영산강상류,광주1,1.9,20.4,4.7,0.298,2.177,2.514,0.056
2020,1,1회차,2020.01.06,영산강상류,광주2,6.3,46.1,8.7,5.882,3.373,9.859,0.075
2020,1,1회차,2020.01.06,영산강상류,광주3,5,50.8,8.3,4.425,3.997,9.227,0.108
2020,1,1회차,2020.01.06,죽산보(영산강중류),광산,6,69.7,9.6,3.465,3.51,7.74,0.088
2020,1,1회차,2020.01.06,황룡강,황룡강5,5,52.6,7.6,0.094,0.768,1.487,0.074
2020,1,1회차,2020.01.09,영산강상류,광주천1,1.6,3.7,2.8,0.24,3.576,3.22,0.046
2020,1,1회차,2020.01.10,황룡강,황룡강1,0.6,0.6,5.8,0.14,2.367,2.722,0.051
2020,1,1회차,2020.01.10,황룡강,황룡강4,3.9,14.5,6,0.347,2.791,3.255,0.072
2020,1,1회차,2020.01.10,황룡강,황룡강2,0.8,1.8,8.6,0.063,1.884,2.155,0.043
2020,1,1회차,2020.01.13,영산강상류,광주천2,4.8,8.4,7.3,0.397,3.525,4.762,0.101
2020,1,2회차,2020.01.13,영산강상류,우치,1.4,3.4,5.4,0.068,2.784,3.315,0.093
2020,1,2회차,2020.01.13,영산강상류,광주1,1.8,2,5.1,0.226,2.395,3.535,0.096
2020,1,2회차,2020.01.13,영산강상류,광주2,7.7,2.8,9.3,4.855,3.197,8.086,0.085
2020,1,2회차,2020.01.13,영산강상류,광주3,3.3,6.4,7.3,5.136,3.547,8.691,0.102
2020,1,2회차,2020.01.13,죽산보(영산강중류),광산,4,16.9,7.2,1.369,2.911,5.089,0.103
2020,1,2회차,2020.01.13,황룡강,황룡강5,1.5,4.3,4.9,0.088,1.921,2.516,0.05
2020,1,2회차,2020.01.28,영산강상류,광주천2,6.1,20.2,11.6,2.351,2.444,5.611,0.196
2020,1,3회차,2020.01.20,영산강상류,우치,0.9,2.9,4.8,0.037,2.708,3.085,0.074
2020,1,3회차,2020.01.20,영산강상류,광주1,1.8,6.4,4.4,0.224,2.178,3.391,0.101
2020,1,3회차,2020.01.20,영산강상류,광주2,5.4,7,7.1,3.936,3.351,9.24,0.177
2020,1,3회차,2020.01.20,영산강상류,광주3,3.4,4.1,6.9,4.481,3.671,9.19,0.107
2020,1,3회차,2020.01.20,죽산보(영산강중류),광산,4,20.9,7.4,2.484,3.641,6.702,0.094
2020,1,3회차,2020.01.20,황룡강,황룡강5,1.3,7.2,4.8,0.152,1.467,1.958,0.045
2020,1,4회차,2020.01.28,영산강상류,우치,1.6,8.4,5.2,0.137,2.19,2.516,0.075
2020,1,4회차,2020.01.28,영산강상류,광주1,2.9,24.8,6.1,0.372,1.245,2.274,0.059
2020,1,4회차,2020.01.28,영산강상류,광주2,8,17.6,8.6,2.484,2.721,6.292,0.097
2020,1,4회차,2020.01.28,영산강상류,광주3,11.2,15.4,12.1,7.754,1.943,9.073,0.46
2020,1,4회차,2020.01.28,죽산보(영산강중류),광산,4.8,21.4,7.8,3.665,2.931,7.077,0.113
2020,1,4회차,2020.01.28,황룡강,황룡강5,3.3,25.3,5.9,0.037,1.57,1.91,0.066
2020,2,1회차,2020.02.03,영산강상류,산동,1.9,17.2,5.7,0.205,1.282,2.375,0.071
2020,2,1회차,2020.02.03,영산강상류,우치,1.8,34.3,5.1,0.192,1.699,2.175,0.08
2020,2,1회차,2020.02.03,영산강상류,광주천2,4.3,27,7.4,1.284,3.976,5.971,0.087
2020,2,1회차,2020.02.03,영산강상류,광주1,2.5,23.2,6.3,0.044,1.568,2.246,0.079
2020,2,1회차,2020.02.03,영산강상류,광주2,5.6,21.8,8.8,4.15,2.544,7.148,0.079
2020,2,1회차,2020.02.03,영산강상류,광주3,4.5,41.8,8.5,6.69,2.777,8.377,0.097
2020,2,1회차,2020.02.03,죽산보(영산강중류),광산,5.7,28.3,8.9,2.97,2.605,6.618,0.105
2020,2,1회차,2020.02.03,황룡강,황룡강1,0.2,4.1,2.8,0.028,0.893,1.04,0.023
2020,2,1회차,2020.02.03,황룡강,황룡강5,4.1,34.4,6.8,0.074,1.521,2.089,0.07
2020,2,1회차,2020.02.03,황룡강,황룡강2,0.3,10,3.7,0.022,1.302,1.548,0.082
2020,2,1회차,2020.02.05,영산강상류,광주천1,5.9,6.1,7,2.336,11.714,11.883,0.044
2020,2,1회차,2020.02.06,황룡강,황룡강4,3.9,46.6,7.6,0.044,1.701,1.74,0.014
2020,2,2회차,2020.02.10,영산강상류,광주천2,4.3,49,8.6,0.715,4.47,5.916,0.096
2020,2,2회차,2020.02.10,영산강상류,광주1,3.1,67.5,7.5,0,1.371,1.741,0.062
2020,2,2회차,2020.02.10,영산강상류,광주2,4.6,41.6,7.8,4.921,2.9,9.965,0.075
