기준 일자,연,월, 수계 명, 중권역 명, 소권역 명, 사업장 코드, 사업장 명,BOD(mg/L),COD(mg/L),T-N(mg/L),T-P(mg/L)
20200101,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.9,13.609,0.123
20200102,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.7,13.908,0.103
20200103,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.6,13.541,0.131
20200104,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.8,13.194,0.156
20200105,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.6,13.153,0.151
20200106,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.4,13.605,0.12
20200107,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.3,7.877,0.107
20200108,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,3.4,5.525,0.126
20200109,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.2,9.81,0.138
20200110,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.7,11.327,0.122
20200111,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.9,12.194,0.129
20200112,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.8,12.461,0.154
20200114,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.5,12.901,0.125
20200115,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.7,12.513,0.153
20200116,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.7,12.275,0.161
20200117,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.5,11.975,0.157
20200118,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.5,12.34,0.128
20200119,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.8,12.972,0.167
20200120,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.8,12.753,0.145
20200121,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.8,12.585,0.162
20200122,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6.7,12.297,0.153
20200128,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,4.9,9.201,0.127
20200129,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.6,11.254,0.142
20200130,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,6,11.924,0.144
20200131,2020,01,영산강,황룡강,평림천,29A0012,광주제1하수,,5.9,12.477,0.154
20200201,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.9,12.676,0.16
20200202,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.8,12.86,0.149
20200203,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.8,13.659,0.12
20200204,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.8,14.446,0.136
20200205,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,6.1,13.509,0.157
20200206,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.9,13.269,0.122
20200210,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,5.9,13.894,0.121
20200211,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,6.8,13.793,0.119
20200212,2020,02,영산강,황룡강,평림천,29A0012,광주제1하수,,6.5,12.761,0.108
