연도, 월, 조사회차, 채수 일자, 측정소 명,BOD,COD,T_N,T_P
2020,1,1회차,2020.01.06,우치,1.8,4.5,3.123,0.104
2020,1,1회차,2020.01.06,광주1,1.9,4.7,2.514,0.056
2020,1,1회차,2020.01.06,광주2,6.3,8.7,9.859,0.075
2020,1,1회차,2020.01.06,광주3,5,8.3,9.227,0.108
2020,1,1회차,2020.01.06,광산,6,9.6,7.74,0.088
2020,1,1회차,2020.01.06,황룡강5,5,7.6,1.487,0.074
2020,1,1회차,2020.01.13,광주천2,4.8,7.3,4.762,0.101
2020,1,2회차,2020.01.13,우치,1.4,5.4,3.315,0.093
2020,1,2회차,2020.01.13,광주1,1.8,5.1,3.535,0.096
2020,1,2회차,2020.01.13,광주2,7.7,9.3,8.086,0.085
2020,1,2회차,2020.01.13,광주3,3.3,7.3,8.691,0.102
2020,1,2회차,2020.01.13,광산,4,7.2,5.089,0.103
2020,1,2회차,2020.01.13,황룡강5,1.5,4.9,2.516,0.05
2020,1,2회차,2020.01.28,광주천2,6.1,11.6,5.611,0.196
2020,1,3회차,2020.01.20,우치,0.9,4.8,3.085,0.074
2020,1,3회차,2020.01.20,광주1,1.8,4.4,3.391,0.101
2020,1,3회차,2020.01.20,광주2,5.4,7.1,9.24,0.177
2020,1,3회차,2020.01.20,광주3,3.4,6.9,9.19,0.107
2020,1,3회차,2020.01.20,광산,4,7.4,6.702,0.094
2020,1,3회차,2020.01.20,황룡강5,1.3,4.8,1.958,0.045
2020,1,4회차,2020.01.28,우치,1.6,5.2,2.516,0.075
2020,1,4회차,2020.01.28,광주1,2.9,6.1,2.274,0.059
2020,1,4회차,2020.01.28,광주2,8,8.6,6.292,0.097
2020,1,4회차,2020.01.28,광주3,11.2,12.1,9.073,0.46
2020,1,4회차,2020.01.28,광산,4.8,7.8,7.077,0.113
2020,1,4회차,2020.01.28,황룡강5,3.3,5.9,1.91,0.066
2020,2,1회차,2020.02.03,우치,1.8,5.1,2.175,0.08
2020,2,1회차,2020.02.03,광주천2,4.3,7.4,5.971,0.087
2020,2,1회차,2020.02.03,광주1,2.5,6.3,2.246,0.079
2020,2,1회차,2020.02.03,광주2,5.6,8.8,7.148,0.079
2020,2,1회차,2020.02.03,광주3,4.5,8.5,8.377,0.097
2020,2,1회차,2020.02.03,광산,5.7,8.9,6.618,0.105
2020,2,1회차,2020.02.03,황룡강5,4.1,6.8,2.089,0.07
2020,2,2회차,2020.02.10,광주천2,4.3,8.6,5.916,0.096
2020,2,2회차,2020.02.10,광주1,3.1,7.5,1.741,0.062
2020,2,2회차,2020.02.10,광주2,4.6,7.8,9.965,0.075
2020,2,2회차,2020.02.10,광주3,3.7,6.9,10.196,0.079
2020,2,2회차,2020.02.10,광산,5.5,8.5,7.367,0.08
2020,2,2회차,2020.02.10,황룡강5,3.7,6.7,2.092,0.072
2020,2,2회차,2020.02.14,우치,2.1,5.7,2.537,0.072
2020,2,3회차,2020.02.17,광주1,5.7,10.8,2.651,0.122
2020,2,3회차,2020.02.17,광주2,16.2,13.5,11.013,0.555
2020,2,3회차,2020.02.17,광주3,9.7,12.3,9.786,0.409
2020,2,3회차,2020.02.18,광산,6.8,12.9,6.728,0.27
2020,2,3회차,2020.02.19,우치,2,5.4,2.586,0.09
2020,2,3회차,2020.02.19,황룡강5,2.5,6,1.988,0.049
2020,2,3회차,2020.02.24,광주천2,4.6,8,4.264,0.093
2020,2,4회차,2020.02.24,우치,2.2,5.6,2.533,0.075
2020,2,4회차,2020.02.24,광주1,3.4,6.2,2.402,0.09
2020,2,4회차,2020.02.24,광주2,8.1,8.4,7.925,0.127
2020,2,4회차,2020.02.24,광주3,5.8,9.2,8.358,0.271
2020,2,4회차,2020.02.24,광산,6.5,12,6.446,0.303
2020,2,4회차,2020.02.24,황룡강5,2.2,5.6,2.147,0.058
2020,3,1회차,2020.03.02,우치,1.3,5,2.881,0.079
2020,3,1회차,2020.03.02,광주천2,3.3,6.4,5.225,0.082
2020,3,1회차,2020.03.02,광주1,2.4,5.8,2.536,0.093
2020,3,1회차,2020.03.02,광주2,4.5,7.2,9.815,0.111
2020,3,1회차,2020.03.02,광주3,5.2,7.3,10.12,0.11
2020,3,1회차,2020.03.02,광산,5,7.9,4.507,0.109
2020,3,1회차,2020.03.02,황룡강5,1.2,4.6,1.674,0.035
2020,3,2회차,2020.03.09,우치,2.2,5,2.631,0.074
2020,3,2회차,2020.03.09,광주천2,7.6,9.9,5.745,0.147
2020,3,2회차,2020.03.09,광주1,4.5,8,2.261,0.074
2020,3,2회차,2020.03.09,광주2,16.1,11.9,9.579,0.095
2020,3,2회차,2020.03.09,광주3,15.8,12.5,9.024,0.295
2020,3,2회차,2020.03.09,광산,6,9,7.135,0.15
2020,3,2회차,2020.03.09,황룡강5,1.6,5.5,1.739,0.055
2020,3,3회차,2020.03.16,우치,2.5,5.7,2.511,0.088
2020,3,3회차,2020.03.16,광주천2,5.9,9.5,5.176,0.121
2020,3,3회차,2020.03.16,광주1,5.8,10.5,1.995,0.107
2020,3,3회차,2020.03.16,광주2,5.4,10.4,10.657,0.111
2020,3,3회차,2020.03.16,광주3,5.6,10.4,9.559,0.11
2020,3,3회차,2020.03.16,광산,6.6,12.6,6.951,0.131
2020,3,3회차,2020.03.16,황룡강5,3.4,6.2,1.774,0.073
2020,3,4회차,2020.03.23,우치,4,9.1,1.886,0.147
2020,3,4회차,2020.03.23,광주천2,9.1,13.5,4.25,0.23
2020,3,4회차,2020.03.23,광주1,6.3,14.8,1.756,0.136
2020,3,4회차,2020.03.23,광주2,11.2,14.2,10.271,0.117
2020,3,4회차,2020.03.23,광주3,7.3,14,8.327,0.132
2020,3,4회차,2020.03.23,광산,6.5,13.7,7.233,0.106
2020,3,4회차,2020.03.23,황룡강5,5.6,8.3,1.479,0.109
2020,3,5회차,2020.03.30,우치,4.6,8.2,1.722,0.145
2020,3,5회차,2020.03.30,광주천2,6.9,11.5,4.079,0.164
2020,3,5회차,2020.03.30,광주1,6.1,11.6,1.262,0.086
2020,3,5회차,2020.03.30,광주2,10.7,11.9,10.032,0.095
2020,3,5회차,2020.03.30,광주3,5.9,10.8,9.068,0.094
2020,3,5회차,2020.03.30,광산,8.7,12.5,4.772,0.237
2020,3,5회차,2020.03.30,황룡강5,5,8.4,1.63,0.114
2020,4,1회차,2020.04.06,우치,4.7,9.4,1.088,0.099
2020,4,1회차,2020.04.06,광주천2,5.9,11.8,4.298,0.16
2020,4,1회차,2020.04.06,광주1,4,10.5,0.996,0.067
2020,4,1회차,2020.04.06,광주2,8.8,12.5,10.805,0.054
2020,4,1회차,2020.04.06,광주3,4.3,11.7,9.945,0.044
2020,4,1회차,2020.04.06,광산,8.7,15.8,6.354,0.119
2020,4,1회차,2020.04.06,황룡강5,5.1,9.5,1.513,0.106
2020,4,2회차,2020.04.13,우치,4.5,8.4,1.132,0.086
2020,4,2회차,2020.04.13,광주천2,4.9,9.3,3.953,0.102
2020,4,2회차,2020.04.13,광주1,7.9,12.6,2.404,0.102
2020,4,2회차,2020.04.13,광주2,11.4,11.7,14.348,0.185
2020,4,2회차,2020.04.13,광주3,6.6,10.2,9.952,0.103
2020,4,2회차,2020.04.13,광산,6.8,12.9,8.776,0.089
2020,4,2회차,2020.04.13,황룡강5,3.2,8.2,1.242,0.091
2020,4,3회차,2020.04.20,우치,3.6,8.3,1.431,0.1
2020,4,3회차,2020.04.20,광주천2,5.9,9.8,3.97,0.156
2020,4,3회차,2020.04.20,광주1,4.4,8.7,1.971,0.126
2020,4,3회차,2020.04.20,광주2,11.6,12,4.509,0.109
2020,4,3회차,2020.04.20,광주3,9.6,11.3,6.201,0.29
2020,4,3회차,2020.04.20,광산,7.6,13.2,7.305,0.28
2020,4,3회차,2020.04.20,황룡강5,4.3,8.3,0.842,0.043
2020,4,4회차,2020.04.27,우치,6.2,12.6,1.182,0.141
2020,4,4회차,2020.04.27,광주천2,6.8,13.9,4.116,0.183
2020,4,4회차,2020.04.27,광주1,6.3,11.8,1.045,0.1
2020,4,4회차,2020.04.27,광주2,14.4,12.3,10.138,0.137
2020,4,4회차,2020.04.27,광주3,7.3,12.6,8.779,0.114
2020,4,4회차,2020.04.27,광산,7.5,14.8,7.056,0.107
2020,4,4회차,2020.04.27,황룡강5,6.7,11.9,1.582,0.133
2020,5,1회차,2020.05.04,우치,2.8,8,1.312,0.095
2020,5,1회차,2020.05.04,광주천2,6.9,11.7,3.592,0.199
2020,5,1회차,2020.05.04,광주1,4.9,11.7,1.977,0.18
2020,5,1회차,2020.05.04,광주2,9.6,12.1,6.234,0.26
2020,5,1회차,2020.05.04,광주3,7.4,12,7.312,0.417
2020,5,1회차,2020.05.04,광산,8.2,12.1,6.655,0.231
2020,5,1회차,2020.05.04,황룡강5,4.5,8.4,0.876,0.069
2020,5,2회차,2020.05.11,우치,2.8,7.7,1.349,0.094
2020,5,2회차,2020.05.11,광주천2,4.3,7.6,3.251,0.132
2020,5,2회차,2020.05.11,광주1,4.6,9.3,1.425,0.056
2020,5,2회차,2020.05.11,광주2,8,10.8,5.837,0.133
2020,5,2회차,2020.05.11,광주3,7.2,11.2,9.939,0.372
2020,5,2회차,2020.05.11,광산,6.3,11.4,3.739,0.209
2020,5,2회차,2020.05.11,황룡강5,4.2,9.2,1.599,0.08
2020,5,3회차,2020.05.18,우치,2.5,8.7,1.945,0.114
2020,5,3회차,2020.05.18,광주천2,5.5,8.6,3.164,0.161
2020,5,3회차,2020.05.18,광주1,5.8,11.8,1.281,0.103
2020,5,3회차,2020.05.18,광주2,11.2,11.6,10.348,0.147
2020,5,3회차,2020.05.18,광주3,8.4,12.2,9.377,0.142
2020,5,3회차,2020.05.18,광산,6.7,12.1,3.762,0.139
2020,5,3회차,2020.05.18,황룡강5,2.4,8.4,1.273,0.061
2020,5,4회차,2020.05.25,우치,2.7,8.6,1.744,0.121
2020,5,4회차,2020.05.25,광주천2,6.8,10.6,4.44,0.31
2020,5,4회차,2020.05.25,광주1,6.2,12.2,1.168,0.097
2020,5,4회차,2020.05.25,광주2,11.9,11.6,4.051,0.125
2020,5,4회차,2020.05.25,광주3,10.4,12.5,6.933,0.159
2020,5,4회차,2020.05.25,광산,6.5,10.2,5.273,0.115
2020,5,4회차,2020.05.25,황룡강5,3.8,8.5,1.658,0.052
2020,6,1회차,2020.06.01,우치,3.7,9.9,2.351,0.144
2020,6,1회차,2020.06.01,광주천2,7,8.9,3.342,0.143
2020,6,1회차,2020.06.01,광주1,4.9,11.7,1.269,0.122
2020,6,1회차,2020.06.01,광주2,10,12,4.377,0.206
2020,6,1회차,2020.06.01,광주3,7.3,11.2,7.076,0.2
2020,6,1회차,2020.06.01,광산,6,10.1,4.879,0.116
2020,6,1회차,2020.06.01,황룡강5,4.1,8.6,1.438,0.064
2020,6,2회차,2020.06.08,우치,2.4,10.5,1.881,0.142
2020,6,2회차,2020.06.08,광주천2,5.1,9.1,3.222,0.146
2020,6,2회차,2020.06.08,광주1,3.1,10.6,1.674,0.076
2020,6,2회차,2020.06.08,광주2,6.5,10.5,4.838,0.102
2020,6,2회차,2020.06.08,광주3,8.6,11.1,7.663,0.125
2020,6,2회차,2020.06.08,광산,6.8,13.1,5.22,0.15
2020,6,2회차,2020.06.08,황룡강5,2,8.3,1.185,0.08
2020,6,3회차,2020.06.15,우치,2.9,11.8,2.62,0.185
2020,6,3회차,2020.06.15,광주천2,3.9,6.5,3.954,0.127
2020,6,3회차,2020.06.15,광주1,3,11,2.765,0.171
2020,6,3회차,2020.06.15,광주2,6.4,11.6,3.768,0.176
2020,6,3회차,2020.06.15,광주3,4.5,9.4,3.292,0.18
2020,6,3회차,2020.06.15,광산,6.9,10.8,3.173,0.196
2020,6,3회차,2020.06.15,황룡강5,3.1,9.8,2.526,0.161
2020,6,4회차,2020.06.22,우치,2.5,8.9,2.142,0.138
2020,6,4회차,2020.06.22,광주1,2.1,9.5,2.031,0.075
2020,6,4회차,2020.06.22,광주2,2.9,9.6,4.045,0.102
2020,6,4회차,2020.06.22,광주3,2.6,8.9,5.208,0.175
2020,6,4회차,2020.06.22,광산,5.6,10.1,3.683,0.128
2020,6,4회차,2020.06.22,황룡강5,3.1,8.1,2.011,0.073
2022,1,1회차,2022.01.03,우치,3.1,5.4,3.002,0.097
2022,1,1회차,2022.01.03,광산,5.5,10.4,7.471,0.163
2022,1,1회차,2022.01.03,황룡강5,2.9,4.8,2.163,0.064
2022,1,1회차,2022.01.04,광주1,4.1,8.7,2.592,0.111
2022,1,1회차,2022.01.04,광주2,5.4,9.8,7.923,0.194
2022,1,1회차,2022.01.04,광주3,8.6,9.8,10,0.341
2022,1,1회차,2022.01.10,광주천2,6.9,11.2,5.507,0.362
2022,1,2회차,2022.01.10,우치,3,5.5,2.839,0.074
2022,1,2회차,2022.01.10,광산,6.1,10.1,8.196,0.26
2022,1,2회차,2022.01.10,황룡강5,4,4.9,2.111,0.057
2022,1,2회차,2022.01.12,광주1,6.9,11.5,2.517,0.136
2022,1,2회차,2022.01.12,광주2,6.1,10.7,9.617,0.219
2022,1,2회차,2022.01.12,광주3,8.5,10.8,10.446,0.298
2022,1,2회차,2022.01.17,광주천2,6.2,12.5,5.052,0.104
2022,1,3회차,2022.01.17,우치,3.2,5,2.841,0.056
2022,1,3회차,2022.01.17,광산,6.9,8.7,9.409,0.118
2022,1,3회차,2022.01.17,황룡강5,2.6,5.2,2.253,0.07
2022,1,3회차,2022.01.19,광주1,6,10.7,2.454,0.107
2022,1,3회차,2022.01.19,광주2,6.7,10.5,10.238,0.498
2022,1,3회차,2022.01.19,광주3,7.2,11.4,10.734,0.281
2022,1,3회차,2022.01.24,광주천2,5.7,11.5,2.121,0.054
2022,1,4회차,2022.01.24,우치,2.4,5.3,2.469,0.101
2022,1,4회차,2022.01.24,광산,5.8,10,10.126,0.229
2022,1,4회차,2022.01.24,황룡강5,2.8,6.9,2.484,0.077
2022,1,4회차,2022.01.25,광주1,5.7,10.5,2.138,0.098
2022,1,4회차,2022.01.25,광주2,9,10.8,11.647,0.337
2022,1,4회차,2022.01.25,광주3,9,10.5,11.848,0.384
2022,2,1회차,2022.02.03,우치,3.4,7.9,3.404,0.131
2022,2,1회차,2022.02.03,광주1,8.1,11.3,1.783,0.077
2022,2,1회차,2022.02.03,광주2,5.5,10.7,11.781,0.444
2022,2,1회차,2022.02.03,광주3,6.6,10.7,10.479,0.094
2022,2,1회차,2022.02.03,광산,6.5,10.6,10.986,0.226
2022,2,1회차,2022.02.03,황룡강5,3.7,7.3,2.467,0.085
2022,2,1회차,2022.02.07,광주천2,5.8,11.3,5.652,0.14
2022,2,2회차,2022.02.07,우치,4.3,7,2.608,0.099
2022,2,2회차,2022.02.07,광산,7.7,12.3,9.731,0.178
2022,2,2회차,2022.02.07,황룡강5,4.5,6,2.055,0.087
2022,2,2회차,2022.02.08,광주1,7.6,14.2,2.056,0.094
2022,2,2회차,2022.02.08,광주2,7.3,11.2,11.477,0.152
2022,2,2회차,2022.02.08,광주3,8.4,11.9,11.524,0.282
2022,2,2회차,2022.02.14,광주천2,7.1,14.8,6.602,0.159
2022,2,3회차,2022.02.14,우치,5.4,8.4,2.391,0.096
2022,2,3회차,2022.02.14,광산,7.8,11.5,9.575,0.132
2022,2,3회차,2022.02.14,황룡강5,4.1,6.7,2.218,0.104
2022,2,3회차,2022.02.16,광주1,10.8,18,2.015,0.156
