yyyymm,date,spot,Cyanophytes,Diatoms,Chlorophytes,Others
201701,170102,J2,0,500,50,25
201701,170109,J2,0,500,50,50
201701,170116,J2,0,575,25,100
201701,170123,J2,0,500,50,75
201702,170201,J2,0,575,25,75
201702,170206,J2,0,600,0,50
201702,170213,J2,0,675,25,25
201702,170220,J2,0,1025,200,25
201702,170227,J2,0,1375,50,50
201703,170306,J2,0,1775,25,25
201703,170313,J2,0,1700,75,25
201703,170320,J2,0,2050,25,50
201703,170327,J2,0,2250,25,50
201704,170403,J2,0,2850,25,100
201704,170410,J2,0,2150,75,50
201704,170417,J2,0,1825,75,125
201704,170424,J2,0,1400,25,75
201705,170502,J2,0,1025,100,75
201705,170508,J2,0,950,25,100
201705,170515,J2,0,1050,0,175
201705,170523,J2,0,675,0,50
201705,170529,J2,0,525,0,100
201706,170605,J2,0,1325,0,125
201706,170612,J2,0,575,250,50
201706,170619,J2,0,700,200,100
201706,170626,J2,0,1150,0,100
201707,170703,J2,0,850,125,125
201707,170710,J2,300,625,250,50
201707,170717,J2,400,400,125,75
201707,170725,J2,725,250,150,25
201707,170731,J2,725,225,400,100
201708,170807,J2,675,250,575,25
201708,170814,J2,325,375,1025,75
201708,170821,J2,450,450,825,150
201708,170828,J2,100,225,875,75
201709,170905,J2,725,150,275,75
201709,170911,J2,825,450,400,100
201709,170918,J2,0,500,800,50
201709,170925,J2,0,150,800,75
201710,171010,J2,725,425,600,50
201710,171016,J2,0,950,250,250
201710,171023,J2,425,625,700,100
201710,171030,J2,0,1100,1200,100
201711,171106,J2,200,900,850,225
201711,171113,J2,0,1025,525,150
201711,171120,J2,400,1475,425,25
201711,171127,J2,0,975,175,100
201712,171204,J2,0,625,200,225
201712,171211,J2,0,1125,100,225
201712,171219,J2,0,1300,0,175
201712,171226,J2,0,950,50,175
201801,180102,J2,275,825,0,125
201801,180108,J2,0,875,175,100
201801,180115,J2,0,1550,50,50
201801,180122,J2,0,1300,0,50
201801,180129,J2,0,1100,50,75
201802,180205,J2,0,1850,0,25
201802,180212,J2,0,1700,50,100
201802,180219,J2,0,2075,25,100
201802,180226,J2,0,1450,25,75
201803,180305,J2,0,1550,0,150
201803,180312,J2,0,1375,75,225
201803,180319,J2,0,1300,25,175
201803,180326,J2,0,825,100,175
201804,180402,J2,0,1075,75,100
201804,180409,J2,0,1800,50,50
201804,180417,J2,0,1800,0,75
201804,180423,J2,450,2850,75,125
201804,180430,J2,0,2300,25,25
201805,180508,J2,0,1800,0,100
201805,180515,J2,0,1225,0,75
201805,180523,J2,0,975,0,50
201805,180529,J2,0,450,100,200
201806,180605,J2,0,675,225,200
201806,180612,J2,0,450,0,150
201806,180618,J2,0,725,0,125
201806,180626,J2,0,600,0,225
201807,180702,J2,0,175,0,250
201807,180710,J2,0,180,40,160
201807,180717,J2,19,60,210,60
201807,180724,J2,82,60,260,20
201807,180731,J2,2854,160,600,60
201808,180807,J2,575,280,1050,40
201808,180814,J2,62,90,420,20
201808,180821,J2,107,120,100,60
201808,180828,J2,0,80,80,30
201809,180903,J2,0,50,70,60
201809,180911,J2,22,110,140,250
201809,180918,J2,116,200,350,20
