yyyymm,date,spot,blue,diatom,green,others
201701,170103,T1,0 ,550 ,0 ,50 
201701,170110,T1,0 ,750 ,0 ,25 
201701,170117,T1,0 ,850 ,0 ,50 
201701,170124,T1,0 ,800 ,0 ,50 
201701,170131,T1,0 ,1000 ,0 ,75 
201702,170206,T1,150 ,950 ,0 ,25 
201702,170214,T1,0 ,1800 ,25 ,50 
201702,170220,T1,0 ,1625 ,0 ,50 
201702,170228,T1,0 ,1700 ,25 ,75 
201703,170307,T1,0 ,1975 ,25 ,50 
201703,170314,T1,0 ,1675 ,0 ,50 
201703,170321,T1,0 ,1450 ,0 ,50 
201703,170328,T1,0 ,1150 ,25 ,100 
201704,170404,T1,0 ,1025 ,0 ,50 
201704,170411,T1,0 ,1275 ,150 ,50 
201704,170418,T1,0 ,900 ,125 ,50 
201704,170425,T1,250 ,1000 ,50 ,125 
201705,170502,T1,0 ,1650 ,25 ,50 
201705,170510,T1,0 ,1250 ,0 ,75 
201705,170516,T1,0 ,925 ,75 ,25 
201705,170523,T1,0 ,550 ,0 ,50 
201705,170530,T1,350 ,600 ,0 ,50 
201706,170607,T1,0 ,1075 ,100 ,100 
201706,170613,T1,300 ,500 ,50 ,100 
201706,170620,T1,100 ,600 ,375 ,125 
201706,170627,T1,100 ,575 ,350 ,25 
201707,170704,T1,400 ,300 ,175 ,75 
201707,170712,T1,450 ,200 ,175 ,75 
201707,170718,T1,0 ,275 ,300 ,125 
201707,170724,T1,0 ,150 ,625 ,100 
201708,170801,T1,250 ,300 ,500 ,50 
201708,170808,T1,200 ,250 ,500 ,50 
201708,170816,T1,0 ,300 ,650 ,25 
201708,170822,T1,100 ,375 ,525 ,0 
201708,170828,T1,150 ,250 ,650 ,25 
201709,170904,T1,525 ,825 ,900 ,100 
201709,170912,T1,0 ,300 ,850 ,75 
201709,170919,T1,100 ,525 ,900 ,50 
201709,170927,T1,100 ,625 ,425 ,125 
201710,171010,T1,0 ,550 ,325 ,75 
201710,171017,T1,0 ,400 ,400 ,100 
201710,171024,T1,0 ,475 ,500 ,150 
