yyyymm,date,spot,Cyanophytes,Diatoms,Chlorophytes,Others
201701,170103,T2,0,600,50,50
201701,170110,T2,0,650,0,50
201701,170117,T2,0,750,25,25
201701,170124,T2,0,850,0,50
201701,170131,T2,0,1325,25,75
201702,170206,T2,0,1050,0,100
201702,170214,T2,0,1300,125,75
201702,170220,T2,0,1650,25,75
201702,170228,T2,0,1275,25,50
201703,170307,T2,0,2050,50,75
201703,170314,T2,0,1675,25,125
201703,170321,T2,0,1275,0,75
201703,170328,T2,0,1050,0,75
201704,170404,T2,0,1175,25,75
201704,170411,T2,0,1200,25,150
201704,170418,T2,275,1000,75,75
201704,170425,T2,0,1275,125,100
201705,170502,T2,0,1900,0,175
201705,170510,T2,0,1175,25,75
201705,170516,T2,0,1225,50,50
201705,170523,T2,0,900,25,0
201705,170530,T2,0,725,0,25
201706,170607,T2,0,1025,50,100
201706,170613,T2,0,625,50,100
201706,170620,T2,250,800,200,100
201706,170627,T2,250,450,275,50
201707,170704,T2,350,300,300,75
201707,170712,T2,400,125,125,50
201707,170718,T2,100,300,675,75
201707,170724,T2,425,325,925,50
201708,170801,T2,425,225,575,25
201708,170808,T2,300,275,650,50
201708,170816,T2,100,550,800,50
201708,170822,T2,100,375,725,75
201708,170828,T2,100,425,1050,50
201709,170904,T2,250,375,1425,50
201709,170912,T2,0,525,1000,25
201709,170919,T2,100,600,675,75
201709,170927,T2,200,825,700,125
201710,171010,T2,0,575,550,100
201710,171017,T2,0,425,575,75
201710,171024,T2,100,675,750,75
201710,171031,T2,0,225,825,175
201711,171107,T2,0,325,275,275
201711,171113,T2,300,475,325,100
201711,171121,T2,0,525,300,200
201711,171127,T2,0,450,350,125
201712,171205,T2,0,900,325,350
201712,171212,T2,0,800,275,75
201712,171218,T2,350,1900,50,150
201712,171226,T2,0,2000,125,175
201801,180102,T2,0,1775,25,200
201801,180116,T2,0,1975,0,150
201801,180122,T2,0,1700,125,75
201801,180129,T2,0,2075,125,100
201802,180206,T2,0,1625,25,100
201802,180213,T2,0,1925,50,100
201802,180221,T2,0,2900,50,150
201802,180227,T2,0,2575,25,25
201803,180306,T2,200,4250,0,100
201803,180313,T2,0,4300,50,75
