year,date,spot,BOD,COD,T_N,T_P,TOC,SS,EC,pH,DO,temperature,turbidity,transparency,Chl_a,low,flow1,flow2,reservoir,dominant
2017,170102,J1,0.8,2.9,0.774,0.013,2.1,0.9,77,6.8,9.7,9.6,1.8,3.8,1.2,7193,1.8,3.4,9535,diatom
2017,170109,J1,0.5,2.8,0.712,0.01,2,1.1,76,6.8,8.2,8.1,2.7,3.2,1.6,7180,1,2.6,9440,diatom
2017,170116,J1,0.7,2.9,0.732,0.011,2.1,0.9,75,6.8,8.1,7.2,1.8,4.5,1.9,7166,1,2.6,9339,diatom
2017,170123,J1,0.6,2.8,0.729,0.011,2.1,1,77,6.9,10.7,5.7,1.3,3.7,1.8,7149,0.1,2.6,9217,diatom
2017,170201,J1,0.6,2.6,0.76,0.014,2.1,1.1,78,7,11.5,6.3,1.2,3.8,2.2,7127,0.8,3.3,9060,diatom
2017,170206,J1,0.6,2.8,0.747,0.017,2,1.2,77,7.4,11.1,5.8,2.5,4.2,2.7,7109,0.3,3.5,8933,diatom
2017,170213,J1,0.6,2.8,0.707,0.009,2.1,1.1,84,7.3,12.9,5.8,1.2,4.7,3,7085,1.1,3.5,8765,diatom
2017,170220,J1,0.6,3,0.624,0.008,1.9,1.3,76,7,11.5,5.5,2.9,4.7,2.9,7059,1.1,3.5,8584,diatom
2017,170227,J1,0.6,2.9,0.734,0.011,2,1.1,77,7.1,11.5,7.6,2.2,4.3,3.2,7046,1.8,3.4,8494,diatom
2017,170306,J1,0.6,2.9,0.733,0.004,2,1.2,74,7.1,12,6.9,1.1,3.9,3.8,7024,0.4,3.6,8343,diatom
2017,170313,J1,0.6,2.9,0.768,0.012,2.1,1.3,77,7.1,11.5,8.4,1.4,3.7,3.2,7000,1.2,3.6,8180,diatom
2017,170320,J1,0.6,2.8,0.795,0.005,2,1.6,75,7.1,11.7,8.1,2.8,3.7,3.5,6972,0.5,3.6,7992,diatom
2017,170327,J1,0.8,3,0.828,0.01,2.1,1.3,76,7,11.7,8,3.1,3.2,4.4,6948,0.6,3.6,7833,diatom
2017,170403,J1,0.7,2.8,0.836,0.016,2,1.3,77,7,10.9,11.1,2,3.2,3.8,6925,1.4,3.7,7682,diatom
2017,170410,J1,0.5,2.8,0.746,0.008,2,1.2,76,7.3,10.9,12.4,1.5,3.9,3.6,6970,3.6,3.6,7979,diatom
2017,170417,J1,0.6,2.8,0.748,0.008,2,1.2,77,7.2,10.5,13.2,1.6,3.7,3.7,6973,2.1,2.1,7999,diatom
2017,170424,J1,0.8,2.8,0.734,0.009,2,1.1,76,6.9,11.3,11.6,1.1,4.8,4,6959,0.5,3.6,7906,diatom
2017,170502,J1,1.3,3,0.759,0.014,2,1.5,85,7.4,11.8,11.6,2.6,4,5.1,6934,0.5,2.7,7741,diatom
2017,170508,J1,1.3,3,0.759,0.014,2,1.5,85,6.9,12.5,12.5,2.2,4,2.9,6917,0.4,2.7,7630,diatom
2017,170515,J1,0.8,3,0.755,0.008,2.2,1.3,76,7.4,11.9,12.4,2.1,3.5,2.6,6897,0,2.7,7500,diatom
2017,170517,J1,1.2,3.5,0.759,0.022,2.4,1.7,89,7.5,11.5,16.4,2.2,2.7,6.5,6890,0,2.8,7455,diatom
2017,170529,J1,0.9,2.9,0.727,0.019,2.3,1.2,81,7.3,8.5,19.6,2.1,4,1.6,6844,0.7,3.6,7163,diatom
2017,170605,J1,0.8,3,0.713,0.008,2.3,0.6,81,7.2,8.6,18.9,2.2,3.7,1.8,6807,0,4.2,6932,diatom
2017,170612,J1,0.6,2.9,0.676,0.007,2.4,1,81,7.4,8.5,17.9,1.4,3.2,2.2,6775,0.7,4.2,6735,diatom
2017,170619,J1,1,2.8,0.645,0.006,2.2,0.9,80,7.4,8.6,20.4,1.7,3.5,1.6,6733,0.2,4.4,6481,diatom
2017,170626,J1,0.8,3.2,0.667,0.006,2.4,1.1,80,7.6,8.3,19.1,3.6,3.3,3.5,6693,0.8,4.2,6245,diatom
2017,170703,J1,0.7,3.1,0.659,0.013,2.6,1.4,83,7.8,7.8,20.1,2.5,3,3.4,6666,1.3,3.4,6087,diatom
2017,170710,J1,0.7,3,0.605,0.012,2.3,1,80,7.8,7.7,21.9,1.9,3.1,2.1,6717,2.7,3.3,6386,diatom
2017,170717,J1,0.7,2.8,0.556,0.008,2.3,1.1,79,7.9,7.3,22.6,2.9,3.5,1.9,6691,0.7,3.4,6233,diatom
2017,170725,J1,0.6,2.9,0.621,0.012,2.2,0.8,81,7.6,7.2,22.8,2.7,5.2,1.8,6656,0.2,3.6,6030,diatom
2017,170731,J1,0.6,2.9,0.621,0.012,2.2,0.8,81,7.5,6.6,19,4.3,4.4,1.9,6621,2.7,4.7,5830,green
2017,170807,J1,0.7,2.9,0.588,0.014,2.2,1.2,83,7.6,6.8,24.6,0.7,4,1.7,6590,0,3.8,5656,green
2017,170814,J1,1,3,0.515,0.014,2.3,1.2,81,7.3,7,23.3,3.3,4.4,2.2,6591,24.8,3.7,5661,diatom
2017,170821,J1,0.8,3.1,0.538,0.009,2.3,1.4,86,7,7.3,21.3,1.6,3.7,3,6610,14.7,3.6,5768,green
2017,170828,J1,0.8,3.1,0.624,0.018,2.4,1.2,84,7.1,6.4,22.7,3.2,3.6,2,6633,10.3,3.7,5898,green
2017,170905,J1,1.1,3.4,0.628,0.012,2.7,1.5,85,7,6.2,20.4,2.4,3.8,2.2,6589,0.3,2.8,5650,green
