year,date,spot,BOD,COD,T_N,T_P,TOC,SS,EC,pH,DO,temperature,turbidity,transparency,Chl_a,dominant
2017,170102,J2,0.8,2.9,0.774,0.013,2.1,0.9,77,6.5,10.2,9.4,1.6,3.1,2.2,diatom
2017,170109,J2,0.5,2.8,0.712,0.01,2,1.1,76,7,8.1,8.4,1.4,3.4,3.8,diatom
2017,170116,J2,0.7,2.9,0.732,0.011,2.1,0.9,75,6.6,8,7.4,2.1,4,2.8,diatom
2017,170123,J2,0.6,2.8,0.729,0.011,2.1,1,77,7,11.2,6.5,1.7,3.5,2.6,diatom
2017,170201,J2,0.6,2.6,0.76,0.014,2.1,1.1,78,7.1,11.8,6.6,1.3,3.8,1.9,diatom
2017,170206,J2,0.6,2.8,0.747,0.017,2,1.2,77,7.2,11.4,6.2,2.3,4,2.3,diatom
2017,170213,J2,0.6,2.8,0.707,0.009,2.1,1.1,84,7.3,12.7,5.7,1.3,4,2.8,diatom
2017,170220,J2,0.6,3,0.624,0.008,1.9,1.3,76,7.1,11.9,5.9,2.6,3.5,2.4,diatom
2017,170227,J2,0.6,2.9,0.734,0.011,2,1.1,77,7.2,12,6.5,2.3,3.6,3.5,diatom
2017,170306,J2,0.6,2.9,0.733,0.004,2,1.2,74,7,12,6.8,2.5,3.7,4,diatom
2017,170313,J2,0.6,2.9,0.768,0.012,2.1,1.3,77,6.9,11.5,7.7,2,3.5,2.9,diatom
2017,170320,J2,0.6,2.8,0.795,0.005,2,1.6,75,7.2,11.8,8.1,2.1,3.3,3.6,diatom
2017,170327,J2,0.8,3,0.828,0.01,2.1,1.3,76,7.2,11.5,7.8,2.9,3.4,4.5,diatom
2017,170403,J2,0.7,2.8,0.836,0.016,2,1.3,77,6.9,10.9,9.7,1.8,3.6,3.5,diatom
2017,170410,J2,0.5,2.8,0.746,0.008,2,1.2,76,7.1,10.6,11.1,1.3,3.6,3.2,diatom
2017,170417,J2,0.6,2.8,0.748,0.008,2,1.2,77,7,10,12.1,1.7,3.5,4.3,diatom
2017,170424,J2,0.8,2.8,0.734,0.009,2,1.1,76,7.1,10.9,13,1.9,4.5,3.5,diatom
2017,170502,J2,1.3,3,0.759,0.014,2,1.5,85,7.3,11.4,14,2.8,4.1,3,diatom
2017,170508,J2,1.3,3,0.759,0.014,2,1.5,85,7,12.8,14.4,2.8,4.6,3.1,diatom
2017,170515,J2,0.8,3,0.755,0.008,2.2,1.3,76,7.3,11.4,14.4,2.1,3.7,4.3,diatom
2017,170517,J2,1.2,3.5,0.759,0.022,2.4,1.7,89,7.3,11.2,16.4,1.2,3.7,1.7,diatom
2017,170529,J2,0.9,2.9,0.727,0.019,2.3,1.2,81,7.3,9.3,18.5,3.2,4.5,1,diatom
2017,170605,J2,0.8,3,0.713,0.008,2.3,0.6,81,7.3,9.2,17.3,2.6,4,2.2,diatom
2017,170612,J2,0.6,2.9,0.676,0.007,2.4,1,81,7.5,8.9,16.5,2.7,3,2.8,diatom
2017,170619,J2,1,2.8,0.645,0.006,2.2,0.9,80,7.3,8.5,18.9,1.9,3.7,3.3,diatom
2017,170626,J2,0.8,3.2,0.667,0.006,2.4,1.1,80,7.3,8.5,18.9,2.5,3.2,6.9,diatom
2017,170703,J2,0.7,3.1,0.659,0.013,2.6,1.4,83,7.4,7.8,18.6,3,3.1,5.1,diatom
2017,170710,J2,0.7,3,0.605,0.012,2.3,1,80,7.6,7.5,20.8,1.4,3,4.8,diatom
2017,170717,J2,0.7,2.8,0.556,0.008,2.3,1.1,79,7.9,7.2,21.3,3.2,3.1,3.3,blue
2017,170725,J2,0.6,2.9,0.621,0.012,2.2,0.8,81,7.4,6.9,23.2,2.8,4,3.1,blue
2017,170731,J2,0.6,2.9,0.621,0.012,2.2,0.8,81,8,5.7,21.8,3.4,3,3.9,blue
2017,170807,J2,0.7,2.9,0.588,0.014,2.2,1.2,83,7.6,5.7,24.4,2.7,3.6,4.8,blue
2017,170814,J2,1,3,0.515,0.014,2.3,1.2,81,7.1,5.7,22.4,4.2,4,4.5,green
2017,170821,J2,0.8,3.1,0.538,0.009,2.3,1.4,86,7.1,6.1,20.5,2.5,3.4,4.6,green
2017,170828,J2,0.8,3.1,0.624,0.018,2.4,1.2,84,7,6.5,25.9,4.2,4,3.3,green
2017,170905,J2,1.1,3.4,0.628,0.012,2.7,1.5,85,7.1,5.9,23.9,3.7,3.5,2.4,blue
2017,170911,J2,0.8,3.2,0.639,0.012,2.4,1.9,85,6.8,5.8,22.7,3.3,3.3,4.8,blue
2017,170918,J2,0.9,3.1,0.656,0.015,2.5,1.2,89,6.8,6.3,22.2,3.4,3.8,3.1,green
2017,170925,J2,1.2,3.5,0.911,0.029,2.6,1.7,90,7,4.8,23.2,5.4,3.8,3.3,green
2017,171010,J2,1.1,3.2,0.633,0.012,2.5,2,88,7.1,7.2,23,3.5,3.1,5.5,blue
2017,171016,J2,1,3.3,0.625,0.029,2.2,1.7,88,7,6.8,18.9,2.9,3.3,6.8,diatom
2017,171023,J2,0.9,3.2,0.635,0.017,2.2,1.5,91,7,7,19,2.2,3.3,5.6,green
2017,171030,J2,0.9,3.3,0.586,0.012,2.3,1.8,90,6.8,8.1,18.5,2.2,3.2,7.9,green
2017,171106,J2,0.9,3.3,0.751,0.023,2.4,1.8,95,6.7,8.6,17.4,2.7,3.1,7.6,diatom
2017,171113,J2,0.8,3.3,0.609,0.015,2.4,1.8,93,7.1,8.5,15.7,3.6,2.5,8,diatom
2017,171120,J2,0.7,3.1,0.614,0.01,2.4,2.3,91,6.8,8.7,13.6,2.9,2.5,8.7,diatom
2017,171127,J2,0.7,3.1,0.567,0.009,2.3,1.8,93,7.1,9,12.5,2.5,2.7,4.7,diatom
2017,171204,J2,0.7,3.2,0.541,0.008,2.3,1.8,94,6.8,9.5,10.5,3,2.3,4.3,diatom
2017,171211,J2,0.7,3.1,0.607,0.01,2.4,1.6,90,6.9,9.1,8.9,2.1,2.7,4.5,diatom
2017,171219,J2,0.6,2.8,0.608,0.011,2.3,1.5,92,7.1,10.9,6.5,2.3,2.4,5.8,diatom
2017,171226,J2,0.6,3,0.583,0.012,2.3,1.3,91,6.9,10.7,7,2,2.9,4.3,diatom
2018,180102,J2,0.7,3,0.562,0.009,2.2,1.3,90,7.4,11.1,7,1.9,3.1,4.7,diatom
2018,180108,J2,0.7,3,0.551,0.007,2.1,0.8,93,6.9,11.3,5.8,2.2,3.3,3.8,diatom
2018,180115,J2,0.7,3,0.567,0.012,2.2,0.8,92,6.9,9.5,6.5,2,3.1,4.3,diatom
2018,180122,J2,0.7,2.9,0.574,0.019,2.3,0.8,86,7,9.8,6.7,2.4,3,4.6,diatom
2018,180129,J2,0.6,2.9,0.582,0.013,2.2,1,91,6.9,11.7,4,1.7,2.9,5.3,diatom
2018,180205,J2,0.7,2.9,0.498,0.011,2.3,1,92,7,12.6,2.1,2.4,3.2,6.1,diatom
2018,180212,J2,0.8,3,0.563,0.015,2.2,1.4,92,7,12.9,2.7,2.3,2.9,6,diatom
