code,Anabaena,Aphanizomenon,Asterionella,Aulacoseira,Chroococcus,Coelastrum,Crucigenia,Cryptomonas,Cyclotella,Dinobryon,Fragilaria,Mallomonas,Microcystis,Monoraphidium,Oscillatoria,Pediastrum,Peridinium,Scenedesmus,Synedra,Trachelomonas
17SpJ1,0,0,1496,83,0,0,0,42,56,13,52,6,0,12,0,0,2,0,31,0
17SuJ1,0,0,33,248,31,38,8,33,52,0,69,4,17,0,0,0,29,69,12,10
17AuJ1,0,0,17,179,17,33,33,35,169,13,29,2,0,2,27,83,21,117,204,15
17WiJ1,0,0,258,133,0,27,0,67,33,4,75,2,0,6,0,0,2,27,46,8
18SpJ1,0,0,340,87,0,0,0,87,65,19,38,4,0,12,0,4,12,8,604,2
18SuJ1,0,7,6,36,197,6,3,62,50,17,4,10,11,2,0,0,21,55,33,4
18AuJ1,1,12,56,206,2,25,34,92,68,0,0,8,7,2,8,22,1,15,29,2
18WiJ1,0,0,189,251,0,0,0,49,44,1,88,2,0,9,0,0,6,15,81,2
19SpJ1,0,0,952,52,0,0,0,42,13,8,0,2,0,8,0,0,1,1,181,2
19SuJ1,0,254,3,49,0,22,2,15,6,2,6,1,0,0,20,9,2,3,6,2
19AuJ1,1,2,13,95,0,7,0,16,12,0,8,0,69,0,40,0,0,3,5,1
19WiJ1,0,0,210,174,0,3,0,35,15,0,1,0,0,8,0,0,0,3,16,1
20SpJ1,0,0,327,47,0,0,0,60,7,1,3,3,0,8,0,0,0,0,18,2
20SuJ1,21,11,13,74,0,1,3,55,11,33,32,3,22,3,0,20,14,28,656,1
20AuJ1,20,18,65,202,0,28,3,79,38,0,2,21,40,8,0,8,7,101,558,2
20WiJ1,0,0,53,82,0,3,0,28,15,0,0,1,0,13,0,9,0,14,26,0
21SpJ1,0,0,106,50,0,3,2,63,26,4,0,3,0,7,0,0,9,12,318,1
21SuJ1,6,26,5,19,63,59,4,40,33,0,2,0,107,3,0,5,54,84,44,0
21AuJ1,12,22,5,93,10,18,6,45,48,0,3,5,0,2,13,11,2,102,56,1
21WiJ1,0,0,279,88,0,3,2,55,30,0,2,5,0,13,0,3,4,9,81,0
17SpJ2,0,0,1321,62,0,0,0,48,77,15,62,8,0,21,0,0,2,8,29,6
17SuJ2,0,0,8,335,50,117,31,40,54,0,138,4,81,8,21,42,21,77,12,15
17AuJ2,0,17,17,292,0,260,8,56,165,17,40,2,60,2,165,125,10,75,200,21
17WiJ2,0,0,394,163,0,0,0,79,54,2,108,4,0,15,0,0,0,12,54,12
18SpJ2,0,0,290,215,0,0,0,60,75,37,92,4,0,19,0,0,4,12,788,6
18SuJ2,0,37,41,87,212,29,3,76,51,0,10,2,29,0,5,6,13,72,80,12
18AuJ2,0,8,68,285,5,18,43,58,63,0,0,9,10,5,10,0,0,32,29,3
18WiJ2,0,0,200,218,0,10,12,66,52,2,383,2,0,13,0,0,0,3,207,2
19SpJ2,0,0,1260,31,0,0,0,27,10,0,5,2,0,5,0,0,0,0,288,1
19SuJ2,3,245,4,41,0,2,0,12,7,0,15,1,24,0,30,0,2,2,4,1
19AuJ2,3,6,2,78,0,3,0,8,13,0,0,0,27,0,15,0,1,0,10,0
19WiJ2,0,0,189,109,0,0,0,44,5,0,2,0,0,16,0,0,0,0,16,0
20SpJ2,0,0,270,15,0,1,0,57,8,3,9,2,0,8,0,0,3,0,10,2
20SuJ2,3,9,12,115,0,8,0,36,11,3,85,4,18,3,0,28,10,42,537,0
20AuJ2,40,24,89,199,0,12,2,44,64,0,5,8,6,18,2,24,7,75,532,1
20WiJ2,0,0,43,81,0,6,0,65,12,0,2,1,0,17,0,15,0,15,26,1
21SpJ2,0,0,99,35,0,0,5,58,33,4,0,4,0,9,0,0,7,8,328,1
21SuJ2,14,43,4,29,56,28,3,48,33,0,9,1,85,3,5,4,18,118,112,1
21AuJ2,4,56,30,105,8,12,9,35,42,0,0,6,0,2,8,6,2,102,87,1
21WiJ2,0,0,271,100,0,8,7,69,34,0,0,5,0,15,0,2,5,16,107,1
17SpT1,0,0,62,846,0,0,0,48,46,2,135,0,0,10,0,0,0,12,83,8
17SuT1,0,12,4,158,123,0,31,33,179,0,27,2,0,0,0,0,8,131,25,25
17AuT1,0,0,21,73,31,0,75,50,329,2,0,2,29,2,0,0,8,263,8,42
17WiT1,0,0,110,856,0,38,0,54,63,0,137,2,0,4,0,0,0,15,15,33
18SpT1,0,0,350,365,0,0,0,163,163,12,23,4,0,35,0,0,8,23,644,37
18SuT1,1,0,5,196,155,12,6,41,478,0,0,5,1,12,0,3,20,178,12,12
18AuT1,0,0,0,1140,6,249,68,72,272,0,0,3,92,2,0,6,0,80,6,2
18WiT1,0,0,294,756,0,13,0,58,97,0,25,0,0,19,0,3,1,19,294,63
19SpT1,0,0,14,183,0,6,0,63,46,0,0,2,0,27,0,0,3,5,28,4
19SuT1,0,0,17,98,152,0,14,31,26,0,0,1,9,2,0,6,1,48,9,1
19AuT1,0,0,31,167,0,3,0,13,21,0,33,0,2,0,0,0,0,3,1,0
19WiT1,0,0,44,345,0,20,0,43,50,0,9,2,0,19,0,1,2,0,17,0
20SpT1,0,0,1404,38,0,0,0,21,6,1,129,0,0,0,0,0,0,1,23,0
20SuT1,0,0,40,83,18,3,17,20,27,0,455,1,14,0,0,0,1,15,2,0
20AuT1,0,0,26,148,24,3,7,23,45,0,21,1,2,0,0,0,1,9,3,0
20WiT1,0,0,109,50,0,0,0,29,12,0,37,0,0,0,0,0,0,0,3,0
21SpT1,0,0,2330,251,0,0,0,36,28,0,4,1,0,20,0,0,1,0,114,0
21SuT1,8,1,47,64,37,3,3,14,17,0,249,1,10,2,0,0,4,12,8,0
21AuT1,0,5,1,233,5,0,18,24,48,1,4,2,0,1,0,15,5,12,1,0
21WiT1,0,0,400,314,0,5,0,16,23,7,100,1,0,9,0,0,0,3,7,0
17SpT2,0,0,88,869,0,10,0,62,65,4,144,0,0,6,0,0,4,8,98,8
17SuT2,0,0,6,194,146,44,31,27,219,0,6,2,50,0,0,0,10,142,17,25
17AuT2,0,0,0,142,54,63,133,52,354,0,0,8,0,0,0,0,2,254,0,46
17WiT2,0,0,98,842,0,21,0,65,54,0,131,0,0,8,0,0,0,23,29,33
18SpT2,0,0,381,362,15,0,0,142,296,21,33,2,0,38,0,0,4,8,587,46
18SuT2,1,0,24,563,145,15,105,65,647,0,0,11,6,5,0,0,22,153,12,11
18AuT2,0,0,0,1356,15,263,49,68,226,0,2,4,184,1,0,25,0,89,5,0
18WiT2,0,0,306,702,0,8,0,57,85,2,33,0,0,19,0,0,1,8,360,56
19SpT2,0,0,49,142,0,6,0,45,36,2,0,1,0,48,0,6,0,6,23,2
19SuT2,0,0,7,90,120,6,22,25,24,0,0,0,10,0,0,14,2,35,8,2
19AuT2,0,1,33,105,0,0,0,17,15,0,8,0,6,0,0,0,0,0,2,0
19WiT2,0,0,45,220,0,9,0,39,23,0,13,1,0,16,0,3,1,1,13,0
20SpT2,0,0,1055,82,0,0,0,12,7,0,166,0,0,1,0,0,0,0,24,0
