code,BOD,COD,TOC,SS,pH,DO,Temperature,Turbidity,Transparency,Chla,Inflow,Discharge,LowWaterLevel,Reservoir,EC,TN,TP
17SpJ1,0.8 ,2.9 ,2.1 ,1.3 ,7.2 ,11.3 ,11.7 ,2.0 ,3.7 ,3.7 ,0.9 ,3.2 ,6943 ,7800 ,79 ,0.765 ,0.011 
17SuJ1,0.8 ,3.0 ,2.3 ,1.1 ,7.5 ,7.5 ,21.1 ,2.5 ,3.7 ,2.2 ,4.5 ,3.9 ,6676 ,6149 ,82 ,0.618 ,0.011 
17AuJ1,0.9 ,3.3 ,2.4 ,1.8 ,6.9 ,6.8 ,17.7 ,3.7 ,3.2 ,4.0 ,0.4 ,2.1 ,6537 ,5366 ,90 ,0.655 ,0.016 
17WiJ1,0.6 ,2.9 ,2.1 ,1.2 ,6.9 ,10.1 ,7.3 ,2.3 ,3.4 ,2.4 ,0.7 ,2.7 ,6898 ,7677 ,82 ,0.681 ,0.011 
18SpJ1,0.9 ,3.2 ,2.3 ,1.9 ,7.3 ,10.4 ,11.9 ,2.3 ,2.6 ,5.2 ,6.0 ,1.9 ,6420 ,4776 ,97 ,0.763 ,0.014 
18SuJ1,1.2 ,3.4 ,2.9 ,3.3 ,7.2 ,6.8 ,20.7 ,4.4 ,3.3 ,2.1 ,3.8 ,3.7 ,6557 ,5484 ,93 ,0.916 ,0.019 
18AuJ1,1.0 ,3.9 ,3.1 ,1.9 ,6.6 ,6.3 ,19.0 ,2.6 ,2.8 ,4.2 ,2.2 ,2.2 ,7212 ,9706 ,79 ,0.711 ,0.018 
18WiJ1,0.7 ,3.1 ,2.5 ,1.1 ,6.9 ,10.4 ,7.3 ,1.5 ,3.6 ,2.4 ,0.6 ,2.0 ,6576 ,5886 ,86 ,0.583 ,0.013 
19SpJ1,0.8 ,3.3 ,2.1 ,1.2 ,7.5 ,10.7 ,10.2 ,1.1 ,3.2 ,3.2 ,3.7 ,1.9 ,7144 ,9181 ,77 ,0.609 ,0.023 
19SuJ1,1.1 ,3.7 ,2.8 ,1.8 ,7.9 ,7.3 ,18.6 ,2.2 ,3.4 ,2.8 ,20.6 ,4.8 ,7372 ,10909 ,84 ,0.612 ,0.015 
19AuJ1,1.0 ,3.7 ,2.5 ,2.6 ,7.0 ,6.1 ,18.5 ,2.7 ,2.9 ,5.1 ,4.7 ,2.5 ,7864 ,15113 ,79 ,0.794 ,0.019 
19WiJ1,0.8 ,3.4 ,2.7 ,1.0 ,7.0 ,9.8 ,8.6 ,0.6 ,3.6 ,2.6 ,0.5 ,1.9 ,7470 ,11859 ,76 ,0.715 ,0.011 
20SpJ1,0.6 ,3.2 ,2.1 ,1.3 ,7.7 ,10.6 ,10.4 ,0.9 ,4.4 ,1.2 ,2.6 ,4.8 ,7736 ,13947 ,73 ,0.823 ,0.007 
20SuJ1,1.0 ,3.6 ,2.4 ,2.5 ,7.6 ,7.7 ,18.3 ,3.5 ,3.2 ,6.8 ,10.5 ,16.0 ,7676 ,13435 ,75 ,0.803 ,0.014 
20AuJ1,1.0 ,3.6 ,2.0 ,2.8 ,6.7 ,6.7 ,18.4 ,4.9 ,2.2 ,6.9 ,5.0 ,7.6 ,7535 ,12294 ,68 ,0.812 ,0.017 
20WiJ1,0.7 ,3.2 ,2.0 ,1.2 ,7.2 ,9.8 ,9.0 ,0.8 ,3.9 ,1.7 ,1.9 ,3.2 ,7698 ,13741 ,73 ,0.773 ,0.009 
21SpJ1,0.7 ,2.8 ,2.0 ,1.4 ,7.8 ,10.7 ,9.6 ,1.1 ,2.8 ,3.4 ,5.2 ,2.0 ,7297 ,10481 ,74 ,0.666 ,0.008 
21SuJ1,1.3 ,3.4 ,2.5 ,2.4 ,7.7 ,6.5 ,17.9 ,2.6 ,2.7 ,4.2 ,7.0 ,13.6 ,7511 ,12202 ,81 ,0.679 ,0.015 
