season,spot,BOD,COD,TN,TP,TOC,SS,EC,pH,DO,Temperature,Turbidity,Transparency,Chla,LowWaterLevel,Inflow,Discharge,Reservoir
spring2017,J1,0.6,2.9,0.742,0.01,2,1.2,77,7,10.9,7.2,2,4,2.7,7081,0.9,3.29,8747
summer2017,J1,0.9,3,0.733,0.011,2.2,1.2,80,7.3,10.3,15.2,2,3.7,3.3,6871,0.84,3.42,7342
autumn2017,J1,0.8,3.1,0.628,0.014,2.4,1.3,84,7.4,6.7,21.7,2.8,3.8,2.5,6625,4.51,3.42,5858
winter2017,J1,0.8,3.2,0.613,0.014,2.3,1.7,91,6.8,7.9,13.5,3.6,2.6,3.8,6471,0.33,1.75,5019
spring2018,J1,0.7,3,0.571,0.013,2.2,1.2,92,7,11.4,6.2,2.1,3.3,3.6,6265,2.98,1.99,3998
summer2018,J1,0.9,3.1,0.878,0.014,2.4,1.8,98,7.4,9.2,14.9,1.8,3.2,4,6491,3.55,2.61,5128
autumn2018,J1,1.3,3.8,0.856,0.022,3,3.7,88,7.1,6.5,22.1,5,2.7,3.2,6720,4.82,3.3,6469
winter2018,J1,0.7,3.8,0.669,0.017,3.2,1.6,78,6.6,6.9,15.8,1.8,3,3.1,7290,1.16,1.9,10257
spring2019,J1,0.6,3.4,0.64,0.014,2.5,1,76,7.2,11.1,7,0.7,3.6,2.9,7171,0.8,1.92,9380
summer2019,J1,0.9,3.4,0.595,0.022,2.2,1.2,79,7.5,9.6,12.9,1.2,3.4,3.1,7164,4.02,2.68,9324
autumn2019,J1,1.1,3.8,0.636,0.017,2.9,2.1,84,7.7,6.6,19.7,2.6,3.2,2.8,7493,22.66,4.46,11861
winter2019,J1,1,3.5,0.854,0.015,2.5,2.1,76,7,6.9,15.4,2,3,4.7,7992,1.78,2.1,16247
spring2020,J1,0.7,3.3,0.838,0.009,2.2,1.3,75,7.2,10.4,7.9,0.5,4,1.4,7875,2.2,4.22,15176
summer2020,J1,0.6,3.1,0.801,0.007,2,1.1,73,7.6,9.3,13.6,1.1,5,1.1,7684,5.03,5.55,13498
autumn2020,J1,1.2,3.9,0.824,0.019,2.5,3.6,71,7.3,7.3,19.7,6.2,1.8,10.9,7655,12.77,19.14,13257
winter2020,J1,0.9,3.3,0.751,0.012,1.7,1.9,69,7,7.7,14.9,2.5,2.9,3.6,7440,0.19,2.91,11568
spring2017,J2,0.6,2.9,0.742,0.01,2,1.2,77,7,11.1,7.2,2,3.6,3,7081,0.9,3.29,8747
summer2017,J2,0.9,3,0.733,0.011,2.2,1.2,80,7.2,10.3,15,2.2,3.8,3.3,6871,0.84,3.42,7342
